,kam,eng
0,Ũwau wa Kolona,About Coronavirus
1,,
2,Translated by Ruth Munguti,
3,,
4,Ve kĩndu kĩmwe kya vata twaĩle kũelewa ĩũlũ wa ũndũ ũwau wa kolona,
5,ũkwatanaw'a.,
6,mũnuka,
7,many'ũũ,
8,metho,
9,malika,
10,Mũndũ ute mũwau,
11,mũndũ mũwau,
12,Kolona ĩkwatanaw'a yĩla mata ma,
13,Ũngama vaasa: mita ilĩ wĩĩthwa weesiĩĩa kumana na kolona.,
15,Mita ilĩ,
16,Akyiũũ,
17,"Woona mũndũ aikooa, kwathimũa kana mũndũ mũwau, nyũva kwĩka atĩĩ:",
18,Mũnenge kĩkunĩki kya mũnuka kana masiki.  Mũndũ nĩũkooea kana akathimũĩa vo na aisũvĩa andũ ala angĩ.,
19,kelĩ,
20,Mũnenge  ĩthangũ ya kwathimũĩa.,
21,Kana,
22,"Nĩvatonyeka akethwa ate mũwau, lakini ekĩte kwĩĩsiĩĩa.",
23,"Andũ ala mena kolona nĩmatonya kwĩthwa mateonekana me awau, ĩndĩ nĩmatonya ũkwatya andũ angĩ ũwau ũsu. ",
24,Ndũkathi vala ve andũ aingĩ nũndũ ndwĩsĩ nũũ ũla wĩna kolona.,
25,Isikonĩ,
26,Mũndũ ũte mũwau,
27,Ikwatĩli,
28,Livutinĩ,
29,Ĩthangũnĩ ya kyoonĩ,
30,ikombenĩ,
31,"Simũnĩ, kombyũtanĩ",
32,Ona nza wa kĩkunĩki kya mũnuka,
33,Ikwatĩli sya ngolova,
34,Kw'oko kwa kombyũta,
35,Tũlamu,
36,konzinĩ,
37,Moko moo,
38,Mata ma mũwau wa kolona nĩmatonya kũkwata syĩndũnĩ ingĩ ta ithi:-,
39,Inywonthe nĩmũtonya ũkwatwa nĩ kolona.,
40,"Kana ũikwata ũthyũ wa ala me vakuvĩ naku,",
41,"Ũikiitha metho,",
42,"Wakwata syĩndũ ithi kwa vaati nthũku, na ũikwata ũthyũ waku,",
43,"Nzĩa nzeo ya kũmina kolona nĩ kũthamba moko na savunĩ, kana mbinyu ĩla ĩtumĩawa sivitalĩ.",
44,Kolona nĩtonya kwĩkala masaa maingĩ syĩndũnĩ.,
45,Savunĩ,
47,Nĩkyo kĩtumi twaĩle kũatĩĩa nzĩa ithi sya kwĩĩsũvĩa:,
48,Thamba moko nginya vaa,
49,savunĩ,
50,kĩngokoa,
51,"Ndũkakwate ũthyũ waku kana wa mũndũ ũngĩ.  Kethwa nĩ mũvaka ũkwate ũthyũ, thamba moko na savunĩ mathee.",
52,Kana ũthambe winĩte wathi wa kũlulukya mwana.na ũithambũka,
53,Uungu wa mbwaa,
54,Tala ĩmwe nginya mĩongo ĩlĩ na ũithambũka,
55,Katĩkatĩ wa syaa,
56,Thamba moko nthĩnĩ na nza,
57,Kũthamba moko vyũ nĩ Kũthamba ata?,
58,"Ethwa nĩwakwata, ndũkamake, thamba moko na savunĩ.",
59,Ndũkakwate nza wa kĩkunĩki kya mũnuka.,
60,mata,
61,Kĩko kĩlikaa nthĩnĩ wa kĩkunĩki wekala nakyo masaa maingĩ,
62,"Ĩkya kĩkunĩki kya mũnuka kyamesya kĩw’u, kana woona kĩna kĩko.  Ndũkatũmĩe kĩkunĩki kĩmwe mala elĩ.",
63,Tũmĩa kĩsiko kya kwĩvũa,
64,Mwana,
65,Tata,
66,Mami,
67,Kĩla mũndũ atũmĩe taũlo yake,
68,"Ndũkaĩsanĩe lĩu, tũikatũmĩanĩe mĩio ya kũĩĩa, ikombe kana taũlo.",
69,Ti laisi kũkwata ũthyũ waku na kĩngokoa.,
70,"Vingũa na ũivinga mĩomo na kĩngokoa kana kĩtuo vandũ va kũtũmĩa moko, ethwa nĩvatonyeka.",
71,Mũsyĩ,
72,Wauma nza wa mũsyĩ,
73,Mbee wa kũya lĩu,
74,Thamba moko na savunĩ kĩla ĩvinda,
75,"Na ĩndĩ mũthya,",
77,Kĩla mũndũ eesũvĩe!,
