lts,lmy,eng,ind
Olumbe lwa Korona,Tutge kapore Korona,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Diha WUWE lara badatadayi tutna kapore Korona bana pala ta diha ata-diha ata ,,
,ta baana,,
,ta karruna,,
,ta matana,,
,we tarumna ata kalawara bana tamawe ,,
,Ata ai kalawara,,
,Ata kalawara ,,
,"Kapore Korona napala wali ta, ",,
,"Hamarau wikna. Kailam yanau we tarumna bamudedewu, duda dapa wali ta ata kalawara",,
,1,,
,"0,5m-2m",,
,Ihoo!!,,
,"Nyi bamuetayi ata kalawara katagge, kaihora ",,
,YID MASKER. Tanam badatagge waleka badaihoraka kana engage lar tamasker illa napala we ta ata heka. ,,
,2,,
,Wai limmagu ,,
,"WALEKA,",,
,Noto hege nade ata walena kalawara’ma. Tanyiduwe karawa dahenage tauna.,,
,"Ata behayanna bena kapore dadi ai kamang tadkana, tanyiduwe engadauge banapala kapore wal ta barana ta diha ata. ",,
,"Kahada baningu kada hadikorauge tauda wal ta ata buta, oroge aida tadayi baiyai ka kalawara. ",,
,hatauwai haya ,,
,ata ai kalawara ,,
,hanaro ta kareta ,,
,tombol lif ,,
,tisu,,
,koba we pa enu ,,
,komputer/hp ,,
,pan masker ,,
,ta nauta ,,
,maus,,
,pena,,
,bina,,
,Limmada,,
,"Tanyiduwe, we tarumna ata kalawara na da’we bana kadaktawe ta… ",,
,tangami engam yanakahami kapore Korona.,,
,"waleka mata ata olem ta uma, ",,
,bamkoheyi matam ,,
,"Nyi ai wuk kamuge bamunarodi rattu tangadi kadana, lodoge bamnaroge matam, ",,
,"Wuwe lara kahadda yannana kadahilpa walta kapore Korona balidaka bahayi limmada waina habo, waleka alkohol.",,
,Kapore Korona natahna kahha diki dokabul pata jam ta pan tangngadi hadau. ,,
,Habo,,
,Oro bataudage dau dahage dokge rade pata pahilpa dangngada. ,,
,Baha waina habo kahha nehe.,,
,Hima’la,,
,Ilam jojawe matam (mono mata ata wadeka).,,
,Natujawe badagaileni “dikin lado rahidadi” haduni. ,,
,ta kabu kukku ,,
,kahha dokabullu detik ,,
,ta ka­­panga karak limma ,,
,Bahayi kabedo limma ,,
,Aga linna dawe hada baha limma kana murahai? ,,
,"Bajojawe, ilam madautaka. Geha bahayi limma waina habo.",,
,Ilam jojawe pan’ge masker. ,,
,Ne we tarum ,,
,Kapore naha ana lar tamasker bana mojage bada waige. ,,
,Baitage maskerumu bana matkage. Ila waikana masker reh walta wu lado. ,,
,Waina hodeka rubba ,,
,Lakawa,,
,Ama,,
,Inya,,
,Waina kaba hahopwai dauda. ,,
,"Ilam dudana haya, ilam hawukanahatauwai haya, koba we ha enu, mono kaba hahopwai. ",,
,"Wale nadadimawe bammu jojawe matamu waina hima’la daumu, kaba’moge. ",,
,"Bana da’kawe, bugerage mono tonwe bina waina hima’la waleka bale. ",,
,Umma,,
,Be bamhagawu aimu tamahou ta umma ,,
,Aim yahowu ,,
,Baha hakitad limmamu waina habo… ,,
,"Habewai, ",,
,Hamatarakige ilam kalawara! ,,
,Habo ,,
,Bacayi hatak wadeka hatulha radde dete! ,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
,Hatulha kahadabaningna tutge hatak medis: ,,
,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
,,Diterjemahkan dalam Bahasa Lamboya oleh Alexander H. Marabbi and Semuel Baga,
,,"Diperiksa oleh Timotius T. Lado, Matius Dapakuri dan Yohanis Habba Rita",
,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
,,"Created by Weiman Kow, instagram: weimankow",
