fra,eng
"Aba, Fify et le COVID 19",
,
,Conception: Olga Nka Texte; Ivanova Fotso Illustration: Abby Grace Assistance technique: David Nka et Nelly Krist
"Un soir calme, dans une maison du village de Bé, Maman fait griller du maïs à la braise dans un coin de la cour. Assis à côté d'elle, Papa épluche un épi. Aba et sa petite soeur Fify jouent à la toupie, tendant l'oreille en espérant entendre: Les enfants, venez manger! Mais ce qu'ils entendent, c'est plutôt une conversation qui les inquiète: ",
"Papa: Ma chère, le coronavirus a tué beaucoup de gens dans le monde entier, surtout les personnes âgées. Maman: C'est terrible! Et maintenant le virus est dans certaines villes de notre pays. Qu'allons-nous devenir? Papa: Le gouvernement a pris des mesures. Les écoles ont été fermées et les grands rassemblements sont interdits. En plus, tout le monde doit porter un masque.  Aba et Fify se regardent, inquiets!",
"Aba: Tu as entendu? Les gens sont morts à cause du cononavirus! Fify: Je pense qu'il a dit: coronavirus. Quels sont ces masques qu'on doit porter? Aba: Des masques comme celui du justicier masqué peut-être? On ne va plus se reconnaître. Fify: Est-ce que ca va aussi arriver dans notre village? Est-ce que Grand-père et Grand-mère vont mourir?  À ce moment, le téléphone de papa sonne.  Papa: Allô? Oui mon frère... Ah bon? Les enfants sont déjà à la gare? Je vais les chercher.",
"Noah et Ani, le cousin et la cousine d'Aba et Fify sont arrivés au village, puisque leur école a été fermée. Papa va les chercher à la gare.  Quelques minutes plus tard, ils sont là. Chacun d'eux porte un masque qui couvre leur nez et leur bouche.  -      Attendez! Disent-ils. Nous allons enlever nos masques et bien nous laver les mains avant de venir vous saluer. ",
"Quand ils sont propres, les quatre enfants se retrouvent pour partager les nouvelles et le maïs grillé. Aba: Donc les masques doivent se porter sur le nez et la bouche? Tu vois Fify, et nous qui pensions qu'il fallait les porter comme les superheros! Noah: Ah oui! Même si tu n'arrives pas à respirer, tu dois le garder, sinon tu peux attraper ou partager le virus qui va te tuer! Aba et Fify sont effrayés par ces paroles. Mais Ani les rassure. Ani: Noah, pourquoi cherches-tu à leur faire peur? Avant tout, je vais vous annoncer une bonne nouvelle: beaucoup de personnes guérissent du coronavirus, ou COVID19. Aba et Fify poussent un soupir de soulagement.  Fify: Ah! Quand-même! Que doit-on faire pour éviter la maladie? ",
,
"Noah: Il faut respecter les geste barrières: -      Éviter de se saluer en s'embrassant -      Rester à la maison et porter un masque quand on doit sortir. -      Se laver régulièrement les mains avec du savon et de l'eau courante -      Tousser dans le creux du coude ou dans un mouchoir jetable -      Et si on tousse et on a de la fièvre, il faut aller à l'hôpital pour faire le test. ",
