,spa,eng
0,Sobre Coronavirus,About Coronavirus
1,,
3,Hay solo UNA cosa que usted necesita entender de como un coronavirus,
4,SE PROPAGA,
5,la boca,
6,la nariz,
7,los ojos,
8,entran en,
9,Persona Sana,
10,Persona Enferma,
11,El virus se propaga cuando estas gotitas,
12,"Mantener distancia. Una distancia de 0,5m a 2m le protegerá de gotitas grandes.",
13,1,
14,"0,5m-2m",
15,¡Achís!,
16,"Entonces, si ve a alguien que tose, estornuda o está visiblemente enfermo, puede escoger",
17,Darle un cubrebocas. Puede toser o estornudar y este protege a todos los que lo rodean.,
18,2,
19,Gracias,
20,"O,",
21,"Tal vez no está enferma, sólo está protegiéndose.",
22,"Puede que personas infectadas no muestren síntomas, pero aún así son contagiosas.",
23,"En general, es buena idea evitar a las multitudes, porque no sabe quien puede estar enfermo.",
24,botones de elevadores,
25,pañuelos,
26,vasos,
27,dispositivos digitales,
28,y aun el exterior del cubrebocas.,
29,pasamanos,
30,ratón,
31,lapiceros,
32,perillas,
33,las manos,
34,"Sin embargo, a veces la saliva de un enfermo puede pegarse en otras cosas...",
35,puede que todos ustedes se contagien.,
36,o la cara de un querido,
37,"o frota los ojos,",
38,"Y si toca una de estas cosas sin querer, y después se toca la cara",
39,y la única manera eficaz de eliminarlos es lavarlos con jabón.,
40,"Los virus pueden durar hasta 48 horas en objetos,",
41,jabón,
42,precauciones,
43,"Por eso, también es bueno seguir estas",
44,lávese hasta aquí,
46,codo,
47,Lávese las manos completamente con jabón y agua por al menos 20 segundos después de tocar una superficie presuntamente contaminada.,
48,"Tiempo suficiente para cantar ""Happy Birthday"" dos veces",
49,debajo las uñas,
50,por 20 segundos,
51,entre los dedos,
52,lávese el dorso de las manos,
53,"¿Qué quiere decir ""completamente""?",
54,"Si lo hizo, no se preocupe.  Solo lávese las manos con jabón después.",
55,"Además, no toque el exterior del cubrebocas si puede evitarlo.",
56,gotitas,
57,La bacteria crece en el interior del cubrebocas si lo usa demasiado tiempo.,
58,Cubra la tos con un pañuelo desechable y tírelo inmediatamente en un bote.  No use un cubrebocas más de un día.,
59,nene,
60,papi,
61,mami,
62,"No se toque los ojos, las orejas ni la nariz.",
63,Cada quien tiene su propia toalla,
64,"Evite contacto con personas enfermas.  No comparta artículos personales, cubiertos, vasos ni toallas.",
65,Busque atención médica si está enfermo.,
66,"Y finalmente,",
68,"¡Cuídense, todos!",
70,"Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0.",
72,Traducido a español por Matthew A. Gray con consejos de Gamaliel Astivia y Alfredo Balbuena,
73,"Creado por Weiman Kow, instagram: weimankow",
78,"Sobre Coronavirus   Hay solo UNA cosa que usted necesita entender de como un coronavirus SE PROPAGA la boca la nariz los ojos entran en Persona Sana Persona Enferma El virus se propaga cuando estas gotitas Mantener distancia. Una distancia de 0,5m a 2m le protegerá de gotitas grandes. 1 0,5m-2m ¡Achís! Entonces, si ve a alguien que tose, estornuda o está visiblemente enfermo, puede escoger Darle un cubrebocas. Puede toser o estornudar y este protege a todos los que lo rodean. 2 Gracias O, Tal vez no está enferma, sólo está protegiéndose. Puede que personas infectadas no muestren síntomas, pero aún así son contagiosas. En general, es buena idea evitar a las multitudes, porque no sabe quien puede estar enfermo. botones de elevadores pañuelos vasos dispositivos digitales y aun el exterior del cubrebocas. pasamanos ratón lapiceros perillas las manos Sin embargo, a veces la saliva de un enfermo puede pegarse en otras cosas... puede que todos ustedes se contagien. o la cara de un querido o frota los ojos, Y si toca una de estas cosas sin querer, y después se toca la cara y la única manera eficaz de eliminarlos es lavarlos con jabón. Los virus pueden durar hasta 48 horas en objetos, jabón precauciones Por eso, también es bueno seguir estas lávese hasta aquí jabón codo Lávese las manos completamente con jabón y agua por al menos 20 segundos después de tocar una superficie presuntamente contaminada. Tiempo suficiente para cantar ""Happy Birthday"" dos veces debajo las uñas por 20 segundos entre los dedos lávese el dorso de las manos ¿Qué quiere decir ""completamente""? Si lo hizo, no se preocupe.  Solo lávese las manos con jabón después. Además, no toque el exterior del cubrebocas si puede evitarlo. gotitas La bacteria crece en el interior del cubrebocas si lo usa demasiado tiempo. Cubra la tos con un pañuelo desechable y tírelo inmediatamente en un bote.  No use un cubrebocas más de un día. nene papi mami No se toque los ojos, las orejas ni la nariz. Cada quien tiene su propia toalla Evite contacto con personas enfermas.  No comparta artículos personales, cubiertos, vasos ni toallas. Busque atención médica si está enfermo. Y finalmente, jabón ¡Cuídense, todos! Sobre Coronavirus Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0.  Traducido a español por Matthew A. Gray con consejos de Gamaliel Astivia y Alfredo Balbuena Creado por Weiman Kow, instagram: weimankow    ",About Coronavirus                                                                     About Coronavirus        
