,lts,eng,lti,ind
0,Olumbe lwa Korona,About Coronavirus,Kapansa Korona Virusdia,Tentang Virus Corona
1,,,,
3,,,,
4,,,"Ali, Nara, musti omwanarti Korondia nlewarla rie. ",
6,,,Nuarmu ,
7,,,Iranmu,
8,,,Matmu ,
9,,,Nla ,
10,,,Tamak’kassre,
11,,,Mak’kassre ,
12,,,Kapansa korondia nlewar lola mak’kasre aparne.,
13,,,Yena idame nwakrani ido. Otamreran nena kapansa Korondia kalo tambwakrani makkassre meter woruo. ,
14,,,1,
15,,,"2m - 0,5 m",
16,,,Heeeetsse! ,
17,,,"Emmeka omtoli rie irassorna, iranursu, irpopra, ertaede rkasra: ",
18,,,"Mela masker la mak’kassre. Emmeka, iranursu/irasornde, ira liatne, nurasni, nane aparne rtuin la maske ryarampo totpo yena nena rie. ",
19,,,2,
20,,,"Trima kasih ali, nara… ",
21,,,ERTAE DE ,
22,,,"Pwata dedi de, mungkin tangkasaro. Mekmeka ensia kelelledpo yena nreran nena kapanse.",
23,,,"Ria makodi Korondide, dumde tarkasra, tarasorna, ne tarpoparo. Mene irodi kapanse. ",
24,,,"Weanne mekde, yena mblya nyawoka nyaleu. Unnemeka itapninu sei ngkasra ne sei ta.",
25,,,"Lari, kani, snyuri ",
27,,,Tnyurunweni la kereta tade motor ,
28,,,La tombol lif ,
29,,,Tisu ,
30,,,klasi ,
31,,,Laptop nora Ha’pe ,
32,,,Masker ulatni ,
33,,,Tnyurunweni la retne ,
34,,,Maus leptop ,
35,,,Pelpe’ene ,
36,,,Pworse ,
37,,,Ira limne ,
38,,,Makasre ira nurasni nor aparni bisa ntampiaspo nel’la:,
39,,,Mimnyomwou bisa la mkyasaro. ,
40,,,Ertae de mkyakla ria makdenlola mia unne. ,
41,,,Mikudi matmi ,
42,,,"Emmeka mipninu ne mkyakla samek-meka hora, epo mkaykla mia wo’one,",
43,,,"Totpo virus enmollu, weanne mekla itwuri ita limne nora Sabnu, ertae de alkohol. ",
44,,,"Kapansa Korondia ndenla ora ai, watu,plastik, besi, nora sameke de ja’ame werrua wa’atto, lir Malay nwene 24 jam. ",
45,,,Sabnu,
47,,,Itsi emmede totpo yena itreran nena kapansa Korondia ,
48,,,Mimbyuri nor sabnu meknene ndawar ma dedi ne.,
50,,,Sik-siku ,
51,,,"Yena mkyakla mia woone (ertaede duma irawo’one).  Emmeka tamtyaan nene de, mimbyuri limmi (nora wo’omi) nora sabnu ",
52,,,Emmeka bjasnyara “Selamat Ulang Tahun” reene woruo ,
53,,,Sik-sikmi n’naine ,
54,,,Kir-kira detike werruo. ,
