eng,bag,fra
What you need to know about the CORONAVIRUS or COVID-19,Até éyé no geremenamó ojembe na wusó wá mɔnɔ́ ámá anáá NKORONA ebérááná hée anáá COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Iwónjá íjí na Kamerúun na wusó wá ocekiiye ówó enjárá ra Irɔŋgɔ na póópona ra enjárá ra ebyánávéná,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret proviennent du site internet de l'Organisation Mondiale de la Santé (OMS).  https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL Web : www.cabtal.org Mail : info_cabtal@cabtal.org Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659 B.P. : 16 550 Yaoundé, Cameroun "
,,
                    SUMMARY,                           Báyé báyé ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Mɔnɔ́ má nkorona - Vato ává vá ámó késék na otimbetavana - Ndeme - Ibékíiye rá mɔnɔ́ má nkorona - Mbákámááná e ámó twiní ? - Twiní owo o geremenamó weŋga ŋgí má wo bákáná ? - M̀perésáná ra viŋgéké vyá vipéŋgé ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6 p.8  p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Mɔnɔ́ má nkorona ebérááná hée anáá COVID – 19 a ámó m̀kpámáká ra mɔnɔ́. Na póná vá ma me núútáná na edɔŋgɔ yá vasinwáa na wutúú 31 ohé rá Visaŋgena M̀beya 2019. Ǹdeme ráá í punaanamó na iji rá enɔ́nɔ́, kó í mé obonda nugwé ; na ombunu ómó ójó í mé jwíyé. A máná vásétá na ombunu rá vidɔŋgɔ na cí ra ndono. Ŋgúréná ra mɔnɔ́ mwáné e árɔ́ɔ́ ka jembevena.  ","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Vagónó vá vato,Personne âgée
Person with a heart condition or disease,"Vato ává vá timbamó mɔnɔ́ má otémá, ítɔɔ ává vinɔ́.",Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Vato ává vá mé késék anáá má timbeta  M̀kpámáká ra masámá ééjé e mé obatemena ekara iŋgimé. Vagónó vá vato na ava vá timbamó mɔnɔ́ ámá kɔ́ɔ́m ( amó idúdú, mɔnɔ́ má sóka, mɔnɔ́ má otémá, taŋsíyóŋo ) vá mé késék anáá índi vá obána vambé vá vinɔ́ na wusó wá masámá áámá. ","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,Oduutana wá nótó Sɔ́mɔ́,- Fièvre - Fatigue
Dry cough Muscle aches and pains,Ekósóma éyé cɛ́ŋ Nótó ra okáná,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Ǹdeme  Ǹdeme rá mɔnɔ́ má nkorona í puranamó na iji rá enɔ́nɔ́ : oduutana wá nótó, ekósóma éyé cɛ́ŋ, nótó ra okáná, sɔ́mɔ́. Vinɔ́ vímó ví owámó wokáná, ohombá ó júré miné, ojórá wá ohombá, tuú rá kɔ́rɔ́ oŋgendɔ ómó ibumu ná owúsána. Vato vámó vá ámó orií vinɔ́, ndeme ka je vátíhíye kó vá vábúŋganamó dɔ́ɔ́ŋ. Ombunu rá vato ó ondówanamó ka wɔ́rɔ́ itɔɔ maváró mámó.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Moto ójó a kósómamó,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ibékíiye yá mɔnɔ́ má nkorona  Vato ává vá byámó masámá má COVID-19 káva vá békíiyamó. Itíndíkáná íjí enɔ́ é kósómamó oŋgendɔ ómó é céríme, é húmíyamó cérétena na ohombá ítɔɔ na uŋgúté. Ŋ̀gí moto a sórímeta cérétena ímíji, a mé owɔ́rɔ́ mɔnɔ́ má nkorona. Ŋgí moto a táhéta wandá ówó wó timbamó cérétena ímíji kaá oje vátáhéta aŋgísó, ohombá ítɔɔ uŋgúté, a mé hónó owɔ́rɔ́ mɔnɔ́.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Mbákámáná e ámó twiní ?,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. Osáára ovátáhétana aŋgísó, ohombá, uŋgúté.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. Ovásóosowa embɔɔ́ na matéyá ámá má jórá na sɔ́ve. Tii waá oje pímbí na tɔ́wɔre ójó mpúbáná.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. Okósóma kó océrímé naáté yá evana yá ikɔ́ŋgɔ́nɔ́.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4. Osáára onyá ówó viwésíyé vyá njámbó kó na otáhá ówó nama íjí í hwenámó.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Orií kenjere méta mbímí na váánó ójó a kósómamó ítɔɔ ójó a cérímamó. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Osáára mbétíyé ra embɔɔ́. O vávétíyáná bɛ́ŋ na ijiye ucé oŋgendɔ ómó na uŋgúté.,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Osáára mbáwónjyááná. ,7. Eviter les rassemblements.
8. Restrict movement.,8. Otombye eŋgendɔ.,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,9. Ovátɔ́rɔ́ cómó owunde okweesye ŋ̀gúréná cómo maté.,9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Oje eŋga twiní ŋ̀gí mɔnɔ́ má o bákáná ?  Ŋ̀gí wa timbe ndeme : - Osáá orií berebe na vasɔ́ɔ́. - Orií pandó emweesíí na itíŋgé. - Béráánánó nɔmbɔ 1510 kaá vinó weŋga amó tévéré rá bondó í né oné ojanamó. Nɔmbɔ índyé íjí késék na wambaana :,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Hwɔs wusi ówó, maváró mámó má orɔndɔ ówó mɔnɔ́ má nkorona má ta ámó ááwɔ́, ítɔɔ náná vaŋgɔ́mɔnɔ vá endamó na wusó na osɔsɔ anáá vá wɔ́ŋgɔ́ maváró má wondóna.  Amó moto a geremenamó omema kó wijata vesi vá ŋgeŋgéná na wusó wá ovákámana na okamana ówó cúúcúú rá visó.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
