,qub,spa,eng
0,¿Imataj Coronavirus?,¿ Que es Coronavirus?,Coronavirus
1,,,
3,,,
4,Chay gueshya imano jogukushantapis tantiyakuy,,
6,shimikiman,,
7,sengaykiman,,
8,ñawikiman,,
10,sänu runa,,
11,gueshyaykaj runa,,
12,Chay gueshya jogucun gueshyaycajpa lausan ichicllapis chayashuptiqui.,,
13,Karullaman witikuy. Togaynin mana chayashunaykipaj ishkay metruchöna kankiman.,,
17,"Juc runa gueshyaykajta, gosuykajta u wishgaykajta rikar kayno rurankiman:",,
18,Shimi chapakunata goy. Chaura chay runaga gosur y wishgar jukta mana joguchinganachu.,,
21,Kaynöpis rurankiman,,
22,Capas payga gueshya jogunanta mana munar chapakuykan.,,
23,Wakinga gueshyaykashan mana musyakanchu. Ichanga gueshyata joguchishunqui.,,
24,Chaymi ama aywashunchu achka runakuna kaykashanman. Mana musyanchichu maygan gueshyaycashanta.,,
25,matikunaman kashpikunaman,,
26,sänu runakunaman,,
27,charikuna kösakunaman,,
28,botonkunaman,,
29,mandilkuman,,
31,"       celularman,        computadoraman,",,
32,shimita chapakuna jananmanpis chayanmanmi.,,
33,barandakuman,,
34,mouse nishanman,,
35,lapikerukunaman,,
36,charikunaman ,,
37,makiman,,
38,Aybësi gueshyaykaj runapa lausan chayanman kaykunaman:,,
39,llapanmi gueshyanman.,,
40,familiyaykita yatar,,
41,ñawikita yataptiki,,
42,Chay kösakunta mana musyaypa yatarkur shimikita yataptiki...,,
43,Chay gueshyataga wañuchinki jabunwan mayllar u alcohol nishanwan kupakur.,,
44,Chay gueshyaga achka hörami kösakuna janancho kawan.,,
46,kösata ruray.,,
47,Mana jogushunaykipaj kay,,
48,jabunwan mayllakuy.,,
49,jabon,,
50,kukushnikitapis,,
51,"Käraykita ama yataychu, ni jukpatapis. Yatakuyta munarga sumajraj makikita mayllakuy.",,
52,kantapallapa may-öra makinchita mayllashun.,,
53,shillutapis sumaj mayllashun,,
55,dëdu kallashkunatapis sumaj kupashun.,,
56,maki guepanta mayllashun,,
57,¿Imanötaj makinchita sumaj mayllakushun?,,
58,Yatar-imarga makikita sumaj mayllakuy.,,
59,Shimikita chapashayki janantaga ama yataychu.,,
61,Achka junaj chayllata charaptikiga chay chapakuna gueshyata ruriman yaykuchinmanmi.,,
62,Shimikita chapakushayki ganra kaptinnaga basüraman jitariy. Juc junajllami üsankiman.,,
63,Garanaykipaj juc kucharon kachun.,,
67,Kada ünuykipa kachun toallayki.,,
68,"Jukwan ama mañanakuychu cucharata, pusilluta. nï toallatapis.",,
69,Kukushnikiwanga manami käraykita yatayta kamäpakunkichu may-jina munarpis.,,
70,Punkuta u ventanata kichay makiwan mana yatayllapa.,,
71,wasi,,
72,cällipita wasiman kutirir.,,
73,manaraj mikur,,
74,Achca jabunwan makikitaga mana gongaypa mayllakuy.,,
76,Jabón,,
77,Kuydakuy Llapayki!,,
78,Kuydakuy,,
85,"Masllata willaparkushayki: Kaycho willapaykäshushayki sumajmi yanapäshunki tukuy gueshya mana jogushunaykipaj: wishga, gosu.  Waran-waran mayllakushun gueshya mana kaptinpis. Kay willakuy casha COVID19 gueshyapita 28 de febrerukama musyashantami.",,
87,,"Imágenes en las páginas Tapa, 1–18 por Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Imagen en la página 19 por SIL LEAD, Inc.. CC0 1.0.",
89,,Traducido por Pacha Waray,
90,,"Created by Weiman Kow, instagram: weimankow",
95,"¿Imataj Coronavirus?    Chay gueshya imano jogukushantapis tantiyakuy  shimikiman sengaykiman ñawikiman  sänu runa gueshyaykaj runa Chay gueshya jogucun gueshyaycajpa lausan ichicllapis chayashuptiqui. Karullaman witikuy. Togaynin mana chayashunaykipaj ishkay metruchöna kankiman.    Juc runa gueshyaykajta, gosuykajta u wishgaykajta rikar kayno rurankiman: Shimi chapakunata goy. Chaura chay runaga gosur y wishgar jukta mana joguchinganachu.   Kaynöpis rurankiman Capas payga gueshya jogunanta mana munar chapakuykan. Wakinga gueshyaykashan mana musyakanchu. Ichanga gueshyata joguchishunqui. Chaymi ama aywashunchu achka runakuna kaykashanman. Mana musyanchichu maygan gueshyaycashanta. matikunaman kashpikunaman sänu runakunaman charikuna kösakunaman botonkunaman mandilkuman         celularman,        computadoraman, shimita chapakuna jananmanpis chayanmanmi. barandakuman mouse nishanman lapikerukunaman charikunaman  makiman Aybësi gueshyaykaj runapa lausan chayanman kaykunaman: llapanmi gueshyanman. familiyaykita yatar ñawikita yataptiki Chay kösakunta mana musyaypa yatarkur shimikita yataptiki... Chay gueshyataga wañuchinki jabunwan mayllar u alcohol nishanwan kupakur. Chay gueshyaga achka hörami kösakuna janancho kawan.  kösata ruray. Mana jogushunaykipaj kay jabunwan mayllakuy. jabon kukushnikitapis Käraykita ama yataychu, ni jukpatapis. Yatakuyta munarga sumajraj makikita mayllakuy. kantapallapa may-öra makinchita mayllashun. shillutapis sumaj mayllashun  dëdu kallashkunatapis sumaj kupashun. maki guepanta mayllashun ¿Imanötaj makinchita sumaj mayllakushun? Yatar-imarga makikita sumaj mayllakuy. Shimikita chapashayki janantaga ama yataychu.  Achka junaj chayllata charaptikiga chay chapakuna gueshyata ruriman yaykuchinmanmi. Shimikita chapakushayki ganra kaptinnaga basüraman jitariy. Juc junajllami üsankiman. Garanaykipaj juc kucharon kachun.    Kada ünuykipa kachun toallayki. Jukwan ama mañanakuychu cucharata, pusilluta. nï toallatapis. Kukushnikiwanga manami käraykita yatayta kamäpakunkichu may-jina munarpis. Punkuta u ventanata kichay makiwan mana yatayllapa. wasi cällipita wasiman kutirir. manaraj mikur Achca jabunwan makikitaga mana gongaypa mayllakuy.  Jabón Kuydakuy Llapayki! Kuydakuy       Masllata willaparkushayki: Kaycho willapaykäshushayki sumajmi yanapäshunki tukuy gueshya mana jogushunaykipaj: wishga, gosu.  Waran-waran mayllakushun gueshya mana kaptinpis. Kay willakuy casha COVID19 gueshyapita 28 de febrerukama musyashantami. ¿Imataj Coronavirus?        ","¿ Que es Coronavirus?                                                                                      ¿ Que es Coronavirus? Imágenes en las páginas Tapa, 1–18 por Weiman Kou, © 2020 Weiman Kou. CC BY-NC-SA 4.0. Imagen en la página 19 por SIL LEAD, Inc.. CC0 1.0.  Traducido por Pacha Waray Created by Weiman Kow, instagram: weimankow    ",Coronavirus                                                                                      Coronavirus        
