,lts,eng,dnw,ind
0,Olumbe lwa Korona,About Coronavirus,Kugi Andi corona mendak liru mbanak,Tentang Virus Corona
1,,,,
3,,,,
4,,,Iyalok Lombok kugi andi corona nogo nano paga wiganage megerak kinenu arinuk lipiyak,
6,,,Inambe pagga,
7,,,Inogobak pagga,
8,,,Inegen pagga,
9,,,Inikime unggage megerak nogo ,
10,,,Akumi andi inoba lek mee ,
11,,,Ambi akumi andi paga ,
12,,,Kugi andi wiganariyak nogo ambi ninolagi amburu yagatuk wakwi paga,
13,,,Tayorogon mban logorak. Yagatuk wakwi inolagi tegetogon kinoba age keero Kinebe 2m tayo yeromongotak  paga kinagap ndakolamugup.  ,
14,,,1,
15,,,"2m-0,5m",
16,,,Haaachi!! ,
17,,,"Ndi, kit kinegen akumi ambi kondok yogwe/yagatuk wakwi/ambi andi inoba keenok:",
18,,,Inete  abir waka wagarorak. Tinuk it yagatuk wakwi/ kondok yugwi eremenggarak nogo akumii ambi inom wonogwe inoba age kero inagap ndarogo,
19,,,2,
20,,,Aeeee waaaa inete abir waka  ,
21,,,ATTA,
22,,,App tii nogo Andi oba lek. Ata at ebe agap ndakolorak paga oba ngarenggolange. ,
23,,,"Akumi kugi andi inoba wonage nogo yelok iorak mea, kwe kugi andi nogo endak wiganiyak ",
24,,,"Abok lipurak nogo ambi, akumi komarak wonogwe time andi inoba wonage kineggolek mee, tayo yurak. ",
25,,,Mbi nengga paga ,
26,,,Akumi andi inoba lek paga ,
27,,,Keluwi mbutimanggen  nginum wurik paga,
28,,,Tuu lagangga inenggi tobengwi paga,
29,,,Inamburu mbangga paga,
30,,,Yiwak paga ,
31,,,Leptop paga ,
32,,,Inete paga nabeka ambokam pangwe kunduk,
33,,,Inenggi pigagangga paga ,
34,,,Tatak paga ,
35,,,Liru mbangga paga ,
36,,,Tungangi pagga ,
37,,,Inenggi paga ,
38,,,"Togop kagak kwe, akumi andi inolagamburu nabenariyak endak nogo ambi",
39,,,kiit abok aret andi ekinabiyak endak.,
40,,,Ambi kinetengen koreluk ambi kimbirak lambungwi paga ,
41,,,Ambi kineggi paga kinenegen alle kokwi nogo ,
