lts,eng,dnw,ind
Olumbe lwa Korona,About Coronavirus,Kugi Andi corona mendak liru mbanak,Tentang Virus Corona
,,,
,,,
,,Iyalok Lombok kugi andi corona nogo nano paga wiganage megerak kinenu arinuk lipiyak,
,,Inambe pagga,
,,Inogobak pagga,
,,Inegen pagga,
,,Inikime unggage megerak nogo ,
,,Akumi andi inoba lek mee ,
,,Ambi akumi andi paga ,
,,Kugi andi wiganariyak nogo ambi ninolagi amburu yagatuk wakwi paga,
,,Tayorogon mban logorak. Yagatuk wakwi inolagi tegetogon kinoba age keero Kinebe 2m tayo yeromongotak  paga kinagap ndakolamugup.  ,
,,1,
,,"2m-0,5m",
,,Haaachi!! ,
,,"Ndi, kit kinegen akumi ambi kondok yogwe/yagatuk wakwi/ambi andi inoba keenok:",
,,Inete  abir waka wagarorak. Tinuk it yagatuk wakwi/ kondok yugwi eremenggarak nogo akumii ambi inom wonogwe inoba age kero inagap ndarogo,
,,2,
,,Aeeee waaaa inete abir waka  ,
,,ATTA,
,,App tii nogo Andi oba lek. Ata at ebe agap ndakolorak paga oba ngarenggolange. ,
,,"Akumi kugi andi inoba wonage nogo yelok iorak mea, kwe kugi andi nogo endak wiganiyak ",
,,"Abok lipurak nogo ambi, akumi komarak wonogwe time andi inoba wonage kineggolek mee, tayo yurak. ",
,,Mbi nengga paga ,
,,Akumi andi inoba lek paga ,
,,Keluwi mbutimanggen  nginum wurik paga,
,,Tuu lagangga inenggi tobengwi paga,
,,Inamburu mbangga paga,
,,Yiwak paga ,
,,Leptop paga ,
,,Inete paga nabeka ambokam pangwe kunduk,
,,Inenggi pigagangga paga ,
,,Tatak paga ,
,,Liru mbangga paga ,
,,Tungangi pagga ,
,,Inenggi paga ,
,,"Togop kagak kwe, akumi andi inolagamburu nabenariyak endak nogo ambi",
,,kiit abok aret andi ekinabiyak endak.,
,,Ambi kinetengen koreluk ambi kimbirak lambungwi paga ,
,,Ambi kineggi paga kinenegen alle kokwi nogo ,
,,"Iringa kalenga endage yogorak nogo oberak leek mee kineggi piganuk, tinuk kinenggi kinete paga nabengwi nogo, ",
,,"iyalok Lombok kugi andi wage wapaturak nogo, ninengi toop paga mondok koriyak.",
,,Kugi andi nogo nabenak iriga kalega paga kagak onegen kuben nen oo’ kibariyak kulli.,
,,toop ,
,,wopaturak nduk nit eriyak nogo.,
,,"Togop keenok, yugu ndak-ndak eriyak ",
,,Kinenggi toop paga kinegoragan paga  kuli koriyak,
,,Inegoragan ,
,,Kenggi kette mbaniyak leek (atta akumi ugun kunduk leek). Ndi ambi abu togop aret keenok. Kinenggi ndukak  toop paga mondok mbelektogon koriyak.,
,,Wakagak ndawi ndanagatak paga wakwi nogo mbeere kuli wariyak ,
,,Kinegi enegen abume ,
,,Onegen wakaga liru gorek Kwak nogo 20 kuli ndan-ndandak koriyak.,
,,Kineggi egelame time ,
,,Kinenggi  ambokame koriyak ,
,,Nogop erogo kinegi mbelektogon koriyak nogo?,
,,Ndi kinegi paga mbanage keenok kinagabiti arugup. Kinegi toop paga mbet-mbet koriyak. ,
,,Kinegi inetegen nabeka awiga paga mbaniyak leek. ,
,,Inolagi amburu tegetogon nage nogo ,
,,"kugi yi nogo wiganariyak tii ambi, inetegen nabeka nogo yirik mban logorak keenok. ",
,,Ienetengen nabeka mili age keenok mbo napurak. Yirik mban kigak oo ambir kibariyak mage. ,
,,Igirok lakomegarak ,
,,Agaluk ,
,,Ogoba ,
,,Agalo ,
,,Inamburu mbaga inamendek Lombok mban eriyak ,
,,"Mbi nega inom, yiwak inom, inamburu mbaga  ti nogo abok lambunik  eriyak leek. ",
