,spa,nst,eng
0,Sobre el Coronavirus,Korona Vairas’ Dfisix Thfax,About Coronavirus
1,,,
3,,,
4,, Korona Vairas’ dfisix thfax kä yamlai phan väx ràtäq kàrä säp thüx cyängz. ,
5,,Àràngaüx ràtàlawx ,
6,, Nü ,
7,,      Khüz ,
8,,Mäk ,
9,,Maicmiix phänä àrä tiim mäq ràlüz raütä mi ngaüx vanx kàphaü. ,
10,,Hanzsängx àhia ti,
11,, Dfisix thfax si ti ,
12,,Àrä àshäng àmüz sez tiim raok kiz raüyäq ràngaüx tàlawx. ,
13,,Fut 6 tàluz nä cyapngax kä dfisix thfax kaü tiim chitlit vaz lawt mäk mi räq.,
14,,1,
15,, Fut 6 ,
16,,    Hatchü ,
17,,"Kàkhäx khamäq, maic vez shiz saw khaok, hatchü chü, kàmäq àdfisix chiz haüxyäq àrä lamkiq väx àkhäx kàlawz maix tàlawx. ",
18,,"Tsängxshiq mäx khüzpängx cyängz mask kuq läq. Kàrä khüzpängx cyängz kàyäq hatchü chü, saw saw khamäq phaix àphax tàrawri nä si tàläq ti tiim mäx mi tawz lawt.",
19,,2,
20,, Kecyu àyaong (hatchü ti) ,
21,, Ràmäk raü ,
22,,Maic vez shiz raz kä àdfisix àhüz li nguzraü mänz maicmiix naix maicmiix tàchiixvinx lam mawz räq.,
23,,"Dfisix thfax li ngaüx raü mänz dfisix lam yaqlaw tàsäp lawt mäk shaq mawz yax. Liyàmänz, dfisix thfax kä àhinx nä hali mi ràlüz mi ràngaüx naongz. ",
24,,Yu phänä dfisix thfax si tàläq kä ràkhaq liz säp lawt maix khamäq maicphaongx maicphii nä khumxshiimx kaivax kä àpyen ràraongx läq. ,
25,,Hawxrixkiiz (chopstick) ,
27,,Renx/noztoz yaqranx ,
28,,Cyak hiqkhu ,
29,,Tätcyezyaq (tissue) ,
30,, Khuz kaok kham kaok ,
31,,Lairäp cyak hupsam thunx ,
32,,-     Khüzpängx cyängz àkii nüx ,
33,,Hiqkhu yaqranx ,
34,,Maos’ (Mouse) ,
35,,Laizkiiz (Bawpenz) ,
36,,Kixlü yaqranx ,
37,,Tsängxshiq yaq ,
38,,"Kàmäq, dfisix ti saw naix thfaw tiim kä yiiqshizshiz laihinx hup àsam tiim nä mawz chit hawx. Bawmxthi - ",
40,,Vàtarü mawz dfi kai/vàtarü räq dfisix thfax mawz ngaüx baic,
