,lts,khc,eng,ind
0,Olumbe lwa Korona,Te Kabara u Virusu Corona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Buntu sa asa ako waralu kodhumahani wana umpa na virusu corona o linda kua mia hele,,
6,,Ngusu ,,
7,,Ngo'o ,,
8,,Mata ,,
9,,Maso kua laro ,,
10,,Mia nami leama ,,
11,,Mia moho ,,
12,,Te virusu o dhari o linda ara ane kene ilu,,
13,,"Bhara i hetangku, Ikoo ako ki umama mina i winsa u uwe u ilu ara kijumaga helaiasi ano lai dhua metere ",,
14,,1,,
15,,"2m-0,5m",,
16,,Haaachi!! ,,
17,,"Dhari ara i ita temia more, umatiho, moho, te i komiu dhumari kipumili ako; ",,
18,,"Hu""uke te maskere. Ako dhari o atiho/more i laro u maskereno, bhara ako o lindati te mia. ",,
19,,2,,
20,,Tarima kasih *SROOOT* ,,
21,,Atawa ,,
22,,"Umura te mia meana'e mbeaka nomohoo, buntumo o opa'ama te orunguno. ",,
23,,"Te mia i rahomo umohoo umura mbeaka otoita na tanda tandano, toka ojari uka na lumindatiko te mohoono. ",,
24,,"Sabanaranomo, helaisi'e na rame toumpa mbeaka u dhahani'e te emai na mia mohoo. ",,
25,,I ala alati u manga'a,,
27,,I konta'a u kereta ,,
28,,I tindisi'a u lift,,
29,,I tisu ,,
30,,I tonde ,,
31,,I ala alati u digital mai ,,
32,,Umura uma i liku u maskere atawa i bhanto u ngusu kene ngo'o ,,
33,,I uranga u parangkai'a i au soha ,,
34,,Tetikus ,,
35,,I pena ,,
36,,I konta'a u soha ,,
37,,I Limano ,,
38,,Mou wana umpa te ilu mia moho ojari na rumapi i ,,
39,,sabha'angkomiu odhari ki moho.,,
40,,"Atawa te rou umia i lepe miu atawa te hesulu miu, wana kua te ana miu, ",,
41,,Kilumole te mata ,,
42,,"Ara te ikomiu mbeaka ki mepu mepu kidhumingku te bara bara i ngaa i bhaiya ha atu, maka amo kidhumingku te rou miu, ",,
43,,"Sa'asa asano ako dhunari umambe te virusu meana'e ai sa buntumo kiwumuwu'i na lima miu kene ki pumake te sabo, atawa te Pemutih, atawa te al kohol.",,
44,,Te virusu meana'e ai o dhari na umidho i wawo u bara bara awana: ,,
45,,Sabo,,
46,,"te mingku bhara ako raho kita, umane dhi gau ako u parenta, mea na'e.",,
47,,"Dhari bhara ako i moho, hengantulu ",,
48,,Wu ike te sabo apa ana ,,
50,,Siku lima ,,
51,,"Bhara i dhingku dhingku na rou miu atawa te roumo u emai emai. Ara kua tabedha ki kumontane na rou atu, wuwuike na lima miu lagi lagi te sabo. ",,
52,,Awana kilumagu ako te lagu Selamat Ulang tahun dhua Wali ,,
53,,I woru uka ukuku lima miu ,,
54,,Salengo 20 detiki ,,
55,,I antara uka u wunga u lima miu ,,
56,,Wuwuike na liku lima miu ,,
57,,Wana umpa na cara hewanu'a atawa wuwuika nulima kumobhe?,,
58,,"Buntu kua ara i sala dhingkune bhara uka i harai sambira, hagori wuwu ike na lima miu te sabo. ",,
59,,Bhara i dhingku dhingku te luara u maskere miu. ,,
60,,Te wiwinsa u ilu ,,
61,,Te bakteri o dhari na umidho i laro u maskere ara ki pumake'e harai molengo. ,,
62,,Kabhiemo na maskere miu ara i namisie kua o rakisomo. Bhara i pake te maskere o labhi mina sa'oloo! ,,
63,,Pake te sidhu ro'okau ,,
64,,Anabhou ,,
65,,Ama,,
66,,Ina,,
67,,Pake te handu miu samia nsamia ,,
68,,"Bhara i pake koruo te i manga, te bara bara wana i pake i manga'a wana te piri, te tonde, kene uka wana handu. ",,
69,,"Toumpa mbeaka ako na dhmari kodhuningku te rou'u kene kopumake te siku'u, soba'e gara ara mbeaka u piri saea hehehe. ",,
70,,"Ara ane nodhari, leka'e atawa sopone na sona pake te siku atawa te bhahu miu. ",,
71,,Wunua,,
72,,Ara i waliako mina dhi halia'a i luara u wunua ,,
73,,Mina mbeadho i manga ,,
74,,Pande wuwuike na lima miu te sabo ,,
75,,"Ahirino, ",,
77,,Dhagane na kesehatan niu bhara i moho mohoo! ,,
80,,Basa te cara cara heleno mai i buria umane i buria i wawo ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Te tampa basaa lumeama ako te nguru u kesehatan ,,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
88,,,Diterjemahkan dalam Bahasa Tukang Besi Utara oleh Sumiman Udu ,
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
