qaa,eng
Uncerita Virus Corona,About Coronavirus
,
,
Mesa tu parallu lami tandai umba nakua tu virus malele,
Puduk,
Illong,
Mata,
Lutama,
To maleke,
To masaki,
Virus lamalele yake narua ki tu ufalena,
Jagai komu allami dio mai ti bissikna ufalena batu jagai allami dadua metere.,
1,
2m - 0.5m,
Bisa komu sikambela,
Yake untiro ko'mu to toso/tassik/masaki bisa komu:,
Benganni tau tu petampun puduk. Anna bisa toso laan petampun puduk anna bisa unjagai tau dio liu sandakna.,
2,
Kurre sumanga,
"Batu,",
Ambi tau iya te tae na masaki appo tu lambi unjagai kelena.,
"Tau to mangaka naleli saba ambi ta na katiroan, apa inan tata iya la palelean.",
Ya mo tu ta kambelai tu kamaroa roasan saba tae ta tandai tu mena masaki.,
Parefa dapo,
Tofeanna kereta,
Tombol lift,
Pepadi,
Cangkiri,
Parefa gigital,
Salianna petampun puduk,
Tofeanna eran,
Balafo,
Polpen,
Tofeanna ba'ba,
Limanna tau,
Na moi na lasusi to appotu ufai elona tau masaki lamelleke lako...,
Ngasan komi bisa la masaki.,
"Batu lindona tau siandami,",
Urussa matammi,
"Yake tae mi sengaja uruai tu pabarang ami mane untofe lindomi kalena,",
"Mesari tu carana lau galai virus yamoto umbasei umpake sabung, mabusa, batu alkohol.",
"Virus la tahan lambi dua pulo, appa jamna diong tu pabarangan",
Sabung,
umba nakua ulafai.,
Yamoto tu ta turui,
Basi umpake sabung ratu langan to,
Singkungmi,
"Dangi mi mitofe lindomi batu lindona tau batu menna. Yake parallu, basei barasi yolo limami umpake sabung.",
Susi to menani salama ulang tahun si penduan.,
Rampe diong kanuku,
Lambi dua pulo detik,
Alla rangka,
Basei boko limami,
Umba nakua umbasei limanta lambi barassi?,
Yake mi rumbu i sa'mi mataku basei unpake sabung.,
Sa'mi tofei tu salianna pesampun puduk.,
Tibissikna ufale,
Saki bisa membea lan pesampun piduk yake di pake masae maro.,
Tibeani tu pesampun puduk yake bureremi.  Dangimi mi pake pesampun puduk lifa dio mai sagallo.,
Pakai sendok pantollo,
Anak,
Ambe,
Indo,
Pantan pake komi handukmi.,
"Dangi mi pake sibafa kumande, piring, cangkiri anna handuk.",
Saba Tae na bisa unrumbu lindota umpake singkungta.,
Bisa komi umbukka pintu umpake singku batu kalempengmi.,
Banua,
Ke manesulekomi dio mai salian banua,
Yake la kumande,
Po'pa biasai umbasei limami umpake sabung...,
"Tampakna,",
Jagai tu kamaleke yanmi!,
Bacai tu umba nakua cerita rampe afo!,
"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020)",
Angenan to mapakuli:,
"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.   Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
,Diterjemahkan dalam bahasa Seko Lemo oleh David D. Tibualle
,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), penerjemahan dalam bahasa daerah: https://suluh.org"
,"Created by Weiman Kow, instagram: weimankow"
