,spa,csn
0,SÍNTOMAS DEL COVID-19,
1,,
5,,"Lengua de Señas Colombiana: Sebastian Nuñez Filmación: Eudes de Armas y Kelly Rojas Editor: Luis Forero y Sebastian Nuñez ilustradora y subtitulación: Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT"
6,,Agradecemos a los generosos donantes que hicieron posible este proyecto.
10,La seña de coronavirus,
11,¿Qué es el coronavirus?,
12,Es un virus que puede causar enfermedades en humanos como infecciones respiratorias.,
13,¿Cuáles son los síntomas de COVID-19?,
14,Fiebre,
15,Tos seca,
16,Cansancio,
17,Dolor de cuerpo,
18,Dolor de garganta,
19,Diarrea,
20,Conjuntivitis,
21,Dolor de cabeza,
22,Pérdida del sentido del olfato,
23,Pérdida del sentido del gusto,
24,Dolor en el pecho,
25,Dificultad para respirar,
28,SÍNTOMAS DEL COVID-19    SÍNTOMAS DEL COVID-19      La seña de coronavirus ¿Qué es el coronavirus? Es un virus que puede causar enfermedades en humanos como infecciones respiratorias. ¿Cuáles son los síntomas de COVID-19? Fiebre Tos seca Cansancio Dolor de cuerpo Dolor de garganta Diarrea Conjuntivitis Dolor de cabeza Pérdida del sentido del olfato Pérdida del sentido del gusto Dolor en el pecho Dificultad para respirar  ,"     Lengua de Señas Colombiana: Sebastian Nuñez Filmación: Eudes de Armas y Kelly Rojas Editor: Luis Forero y Sebastian Nuñez ilustradora y subtitulación: Lisseth Amaya Asesora técnica: Sonia Shannon, SIL GSLT Agradecemos a los generosos donantes que hicieron posible este proyecto.                     "
