,fra,bkm,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Iwo Zɨ̀-ì a Wà N-kelɨ sɨ nà Kya Kûm Ànfyèmtɨ̀ a Kòronà a?,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
11,,,                    SUMMARY
12,,-Ànfyèmtɨ̀ a kòronà -Ghelɨ fem ibol -Nchwaesɨ ikoʼi -Dzɨ sìsɨ̀ a ikoʼi ateyni nɨn dyâŋ ateyn -Sɨ kɨ̀ŋtɨ ngêŋ zyâ -Sɨ chuʼ ikoʼi nâ yènì ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,,"Ànfyèmtɨ̀ a kòronà  Ghɨ n-toŋtɨ̂ kɨmɨ ànfyèmtɨ̀ a kòronà nâ kèynà na covid bèŋ 19. A n-ghɨ ìkoʼi ifɨ-i ta yi gvì, fɨsɨ̂  ànfyèmtɨ̀, mɨtì ma yi kù wul sɨ a ŋaŋ, yi kâʼ a yi zue. Yi n-lae fvɨ̀ ilaʼ i Chaynà sɨ asɨ a bêŋ 2019, nà sɨ ghɨ lvɨ̂yn ma yi jelɨ meyn tɨlaʼ a mbzɨ tɨ dvɨ̂ kɨ tèyn. Ghɨ n-kya wi na ikoʼi nâ yènì lù nô wo a.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,, Chyeʼwù,Elderly person
22,,Wùl vzɨ̀ a wù sɨ kelɨ ngeʼ a ŋweyn item,Person with a heart condition or disease
23,,"Ghelɨ fem ibol  Ànfyèmtɨ a kòronà nɨn ku kɨ ghelɨ ghɨ̀jɨ̀m, ku woynda, ku ghɨ̀lema, mɨtɨ̀ ndù sɨ̂ wùl vzɨ̀ a wù lum sɨ chi kelɨ akesi a zwaenɨ-a, kèsa wù sɨ̀ kelɨ àfo ichɨ ibɨ nɨ̀ mɨ̀lûŋ ɨ̀nkòʼnɨ̂, kɨ gvɨ kɨ sɨ ito.    ","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
