,oki,eng
0,Agōpo kuutigoop Koroona,About Coronavirus
1,,
2,"Translated by: Stephen Leshao, Francis Lesingo, Joyline Chepkoech",
3,,
4,Indee kiit ageenge nē maktaat inay agōpo kiit nē kiitooy ingēēnoomndooy keey,
6,Kōōtēēt,
7,Sēruunēēk,
8,"Koonyeek,",
9,Kiit kochut,
10, Chiito nē    pēērēy keey,
11,Chiito ne miāni,
12,Kinoomndooy keey kuutichu ēn pēēk chē soitooy chēpo,
13,"Inaaktaa-e, iyē tēēn Mita-iitsyek o-ēēny si kōmoipiisiin  pēēychoon isooytooy chiichoon po o-ēēny",
14,1,
15,Mita-iisyek o-ēēny,
16,Atisyōō!,
17,"Ko aynyōōn kiit ka isuwe  chiito nē loolēy, nē iryoonēy nē mi-āni kō maktaat:",
18,Igoochin kiit nē tuchēēn sēruunēēk ak kōōtēēt.  Kō paanan kōmuuchēy kōloolchi onoon kōryoonchi  si kōmainaamda piik chē nēēgitēēn,
19,o-ēēny,
20,Kiit nē kituchēēn sēruunēk iyoon kiiryoonēy,
21,ONOON,
22,"Imuuchēy kōmo miāni, kōēk kityō  riipēy keey.",
23,"Piik chē kiigonaamda kōmuuchēy kōmotook kōlē tinyēy, iskō ais inoomdooy piik.",
24,"Iskō kōmyēēy  kōmoinēēgitē  iyē chaang' piik, ingaap moingēēn ilē ainōōn ēn piichoon nē  miāni.",
25,Siipitik chē kigutēēn keeleek,
26,Chiito nē pēērēy keey,
27,Kiit nē kināmēy ēn kariitaap maat,
28,Ki-oon kichiilēy ēn lift,
29,Kartasiit ne tangus,
30,kigomba-iik,
31,Kōmpuuta ak siimoit,
32,Agōt karaastaap kiyoon kiituchēēn  kōōtēēt ak sēruunēk,
33,Tuguchoon kināmootēy ingēloonyēy patay ko,
34,Kiit nē kichiilēēn kōmpuuta,
35,kilaamit,
36,Chapii inaan kigērēēn kurgeet,
37,Ē-iinēkyuwaak,
38,Is kōmuuchēy ais  kōsoychiin  ng’uleegaap chiito nē mi-āni tuuguugoop chiit age…,
39,Kō  omuuchē omi-āsē tōgōl,
40,Onoon kō togoitaap tilyonuutiguuk,
41,Itinytiny konyeeguuk,
42,"Kō ōt inam tuguuchu komaay inay, is inam togoita,",
43,"Kō kiit nē kiitooy kityō komanamin kō kee-uun e-iinek ēn sopuniit, onoon kō tuguuk che kiigitesta rootiik",
44,Imuuchēy kōsopcho kuutichaan ēn patay tuguuk ēn tuchuupo saa-isya,
45,sopuniit,
46,Riipēētoop keey,
47,Noon omunee si kōmaktaat kēēsip ng'aleechu,
48,I-uunēēn  sopuniit oōt iitis iyu,
50,Tutunytoop ē-uut,
51,"Me inam  togoitang’uung’. (Onoon kō togoitaap chii agetōgōl.) Kiit kaimach inam, igan i-uun ē-iinēguuk kōsiing'ōōy ēn sopuniit.",
52,Saa-it nē yāmēy iguurtoo-ē tyēni porēy  “Happy Birthday” kip o-ēēny ,
53,Oriitoop siilolik,
54,segoontiisyek  20,
55,Tooytoop moriik,
56,I-uun rēpēito ak patay ē-iinēguuk,
57,Kōsiing'ōōy kō nee?,
58,"Ōt inam, kō moimwēy. I-uun ē-iinēguuk ēn sopuniit.",
59,Kōgēny kēēr ilē maay inam oriit ēn  maskinaan,
60,Pēēk chē soitooy,
61,"Piitunēēn oriitoop masking'uung'  kuutik chē kēēguurēēn ""bacteria"" kiita kailaach pēsyōōsyēk  che chaang'.",
62,Mētēēn maskit  iyoon kay komuny. Me ilaach ōt isiiris  pēsyēēt  ageenge!,
63,Pchē-ēēn  segeetyet nē ōw,
64,Laakweet,
65,Paapa,
66,"Ēyōō,",
67,Ōngōtinyēy chiitōgōl  toulōinyiin,
68,"Moam omdit ēn saniit ageenge, onoon o-āmisiē kurpeet ageenge onoon ōsuchēgēēy toulōit ageenge.",
69,Moimuugoksēy itwaa-e togoitang'uung' tutuunytoop ē-uut agōt inda iyōōtē.,
70,"Yaateen kurgeet tutunytoop ē-uut onion kō tigikyoot nē kata iyootēēnē ē-uut, ōt kōmuugoksēy.",
71,Kaaw,
72,Ak iyoon kay imang'de ēn iyē indēē piik.,
73,Kōtōōmo iāmiisyē,
74,I-uunēēn sopuniit ē-iinēguuk kōtēēn kay…,
75,"Nēpo lēt,",
76,Sopuniit,
77,Riip keey chiitōgōl,
80,Sooman siruutik  siinay che chaang’!,
81,"1.     “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ",
82,"1.     “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) ",
83,"1.     “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020) ",
84,Iyē kinyōōrchin ng'aleegaap konyoo-isēēt: ,
85,"Siruutik alak: Waakta nēyuu ni nē kimwooyto-ēēn agōpo tiliilindoop pōōrto kō siingōōy agōt ēn mwaaytaa-etaap miānweek alakchē yuu ting'ōōwēk, iskō maktaat kēēsip ēn pēsyōōsyēk tōgōl agōt iyoon moindēē miāndo nē yuu ni. Iyē kinyōōrchin ng'aleek: Ng'aleechu kōyoopu koguuyēētoop COVID19 ot koit 28/2/2020 is kēēnyōōrchin iyu: https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Ng'aleek alak: Imuuchē inyēmu siruutik alak chē indēē ēn PDF kō maay kiyaachin ēn iyu: https://gumroad.com/weimankowart iyētoop yayiisyēēt. Iyoon igoito-ii ipwaat Ng'aleechu sōmōk: 1) Mogiiyānjin chiito agetōgōl kowal ng'aleek chē indēē puguuni. 2) Mogiyāyēēn biashara puguuni. 3) Ōt kō indēē internet imwaay chiito nē kiiyāyu Ng'aleechu ilē @weimankowart onion kō @weimankow Ōt imāche inay kiit nē kiitooy puguuni, isoom ēn comicsforgood@gmail.com",
88,, Bible Translation & Literacy E.A
89,,"Translated by Stephen Leshao, Francis Lesingo, Joyline Chepkoech"
90,,"Created by Weiman Kow, instagram: weimankow"
