,kli,eng
0,Saki palelean ba'tu' saki korona,About Coronavirus
1,,
3,,
4,Mesari lammu penondai isanga titattanna saki palelean ba'tu' saki korona,
6,Puduk,
7,Illong,
8,Mata,
9,lutama,
10,To maleke,
11,To masaki,
12,Tibisi'na elo'na tau iamo to'o uppodadi saki palelean ba’tu’ saki korona lako tau buda,
13,"Ato'i sialla'mu lako tau. Kemalako ungato’ sialla'mu lako tau si 2m, tae' siako lanna basa tibissi'na elo'na tau.",
14,1,
15,"2m-0,5m",
16,Haaachii!!,
17,"Kedeenko ummita tau to'ko'/Koroan/masaki, malako uppokau' susi te'te:",
18,Benganni kain petutu' puduk solamu. Anna malara unjakai padanna rupa tau. ke to'ko'i deen sia kain petutu'  puduk ullawai.,
19,2,
20,Kurresumanga' “SROOT”,
21,Ba’tu’,
22,Deen tau tae' masaki palelean. Appo’ parallu unjakai kalena.,
23,"Kedeen mi tau nalelei saki ia to'o Ke ikitai tanda-tandana, susu to tae' nabasa saki palelean.",
24,"Biasanna napokau' tau buda, mapianna ake' tae'ki' si ko'bon-ko'bon dolo lalan kamaroasan, anu' tae' issan benanna masaki ba'tu' to maleke.",
25,Parewa dapo',
27,Pettoean kereta,
28,Pa'temmesanna lift,
29,Tissu,
30,Tanggi' kaca,
31,Parewa digital,
32,Sallianna petutu' puduk,
33,Pettoean eran,
34,Balao,
35,Pattuli',
36,Pettoean ba'ba,
37,Limanna tau,
38,"Moi to Susi o, biasa wai elo'na tau mekke'pe' lako…",
39,Mittu'mu to'o mala ko nabasa saki palelean ba'tu' saki korona.,
40,Ba'tu' lindona solah-solahmu tomusikadappisan,
41,Urussa' mata,
42,"Anna ke' tae' musengaja urrumbu parewa-parewa susi tomai, anna urrumbu boi lindomu,",
43,Mesa'ri pa'pokausan marrasana mala ipokau ke moraiki uppa'dei saki palelean iamo ke' ibasei uppake sabung anna  cukka.,
44,Anu' ia to'o saki palelean mala masaeng mekke'pe' lako parewa- parewa susi tu mai,
45,Sabung,
47,"Adi' ke malai, pa'pokausan mapia uppeula'i ki pellaoan marrasa dio te'e.",
48,Basei pake' sabung lambi’ ia to'o,
50,Sikku,
51,Damo urrumbu lindomu (ba'tu' lindona tau senga'). Appo' ke marru tae’ mi musara basei dolu limammu pake' sabung.,
52,Susi nanian “Tanete Sandapang” ipenani penduan.,
53,Kale dokkona kanuku,
54,Lambi' dua pulo detik,
55,Alla' alla'na rakka' lima,
56,Basei boko' lima,
57,Umbanakua carana umbasei lima lambi’ barassi?,
58,"Appo' ke' manda' irumbu, damo mataku'. Mati'pa' ko umbasei limammu pake' sabung.",
59,Damo rumbui sallianna kain petutu' puduk.,
60,Natibissikki wai elo',
61,Saki mala membea' illalan kain petutu' pudukta ke marru masaemi ipake.,
62,Tibemi kain petutu' pudukmu ke bureremi. Damo pake' kain petutu' puduk ke melawemi sangallo.,
63,Pake' i sendo' nasuan,
64,Ana',
65,Ambe',
66,Indo',
67,Kana' upakeko handu'mu tae' mala musibala'-bala'i.,
68,"Damo sola-soalai parewa kakumandean, tanggi’, anna handu'.",
69,"Anu’ tae' ko mala urrumbu lindo  uppake siikku kalemu. Ade' pokau' i mala raka, tae' raka mala.",
70,"Kemalai, sikkummu ba’tu’ boko’mu mupake umbukka' anna uttutu' ba’ba.",
71,Banua,
72,Ke manda' moko lao mallai lalanmai banua,
73,Ke ta’e poko kumande,
74,Basei tarru' limammu pake' sabung...,
75,Kasundunanna,
77,Jakai kalemu ndana' masakiko!,
80,Bacai pellaoan mapia to ituli' dengena' yao!,
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
83,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020)",
84,Parallu iperangi'I to'o napokadanna mittu'na sa' dotto':,
85,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja. Saat membagikan komik ini, ingat 3 hal berikut: 1) Dilarang mengedit gambar komik yang akan dibagikan. 2) Komik ini tidak dapat diperjualbelikan. 3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
88,,Diterjemahkan ke dalam Bahasa Kalumpang oleh Nikolaus.
89,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam bahasa daerah : https://suluh.org"
90,,"Created by Weiman Kow, instagram: weimankow"
