,mya,ahk,nst,eng
0,Covid-19ကို ရှောင်ရှားခြင်း , Covid-19ကို ရှောင်ရှားခြင်း,Kovit-19 mäx tawzlawz lam,Avoid covid-19
1,,,,
5,,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
6,,,,Literacy for Women in Africa
7,,,,"Translator Kham, Illustrator Ai Yawn Kap"
11,,,,"Yaq kàrä sazbon mäq khaqkhaq hez ruq hez raongx läq. Kàmäq, louxngix (spirit) tsiqkham tai mäq àkàlawz thüx yaq hex cyängz jel mäq mänz samhia hexhiiq àmaix."
12,,,"Mäk, khüz naix nü kàrä naq thänxshäm kiq.","Avoid touching eyes, nose and mouth. "
13,,,"Hatchü, saw khaok raüyäq khüz naix nü kàrä yaqlaok tànaongx mäq law tätcyezyaq (tissue) mäq law tànap pängxvängx raongx läq. Kàrä langx ye tätcyezyaq kàrä sinzcyiiz thiix cyängz nä baicsaic läq.",Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
14,,,Maic vez shiz naix vez shiz kä àkawmx punzthum mitar 2 (fut 6) tàhiiz raongx läq.,Maintain 2 meters distance between yourself and others.  
15,,,"Hanzhia mäk nguz raükä yäm nä haixngax raongx läq. Saw khaok, dfidfüx tàtaüz naix dfisix àsi nguz raükä àye punzthum tsiqrung nä kizvaz tàchixhax raongx läq.","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
16,,,Kovit-19 raix sengx raütä thawx àpha ànyenye tiim lap thüx raongx läq. Hanzsängx lam airut mäq tàdaongx tàtaicyaong kuq tàläq phanxcyanx cyängz lamz àli thunx kàrä samhia phancyan raongx läq.,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
19,Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း               , Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း              ,"Kovit-19 mäx tawzlawz lam    Kovit-19 mäx tawzlawz lam        Mäk, khüz naix nü kàrä naq thänxshäm kiq. Hatchü, saw khaok raüyäq khüz naix nü kàrä yaqlaok tànaongx mäq law tätcyezyaq (tissue) mäq law tànap pängxvängx raongx läq. Kàrä langx ye tätcyezyaq kàrä sinzcyiiz thiix cyängz nä baicsaic läq. Maic vez shiz naix vez shiz kä àkawmx punzthum mitar 2 (fut 6) tàhiiz raongx läq. Hanzhia mäk nguz raükä yäm nä haixngax raongx läq. Saw khaok, dfidfüx tàtaüz naix dfisix àsi nguz raükä àye punzthum tsiqrung nä kizvaz tàchixhax raongx läq. Kovit-19 raix sengx raütä thawx àpha ànyenye tiim lap thüx raongx läq. Hanzsängx lam airut mäq tàdaongx tàtaicyaong kuq tàläq phanxcyanx cyängz lamz àli thunx kàrä samhia phancyan raongx läq.  ","Avoid covid-19    Avoid covid-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Translator Kham, Illustrator Ai Yawn Kap    Yaq kàrä sazbon mäq khaqkhaq hez ruq hez raongx läq. Kàmäq, louxngix (spirit) tsiqkham tai mäq àkàlawz thüx yaq hex cyängz jel mäq mänz samhia hexhiiq àmaix. Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
