,tvs,eng
0,Malosha  wanga ya bhiambu bhya Korona,About Coronavirus
1,,
2,"Translated by Matayo Tariwoi M., Daniel Kichogha M. & Mathias Letiaki A.",
3,,
4,Hena tiki kindu KIMWE ukundike kutwarija bhundu bhiambu bya korona ,
5,BHINARARIA,
6,Momo,
7,Fua,
8,Meso,
9,Bhiingia kubhetia na,
10,Mndu mzima bee,
11,Mndu muwaji,
12,Bhiambu bhinararia igheri  mate hai lukoho luna bhiambu,
13,Kuikaa hae naye. Bhueza bhwa kusongeriana mashoghwe bhwa mita 2 bhukukinda na mate ma lukoho.,
14,1,
15,Mita 2,
16,Eeepya!,
17,Hena hubho ukambhona mndu ekoha pada/ebigha fua/ebhonekana muaji uidima:,
18,"Muinge kitambaa cha kuchunga fua na momo.﻿ Bheidima kukohia kana kubigha fua na cho, na kubhakinda na bhiambu bhandu bhose bheoho afuhi nabho.",
19,2,
20,Haika pada ﻿*ejutia ifufa*,
21,Kana,
22,"Hengi esi muwaji, eteoho ekukinda tiki",
23,"Bhandu bhebhabhiwa bheidima bhasibhonyanye mibhonire  ya ndwari, kake bhena luidimo lwa kiambu ",
24,"Na hena ibhi bhyose tuidima tukaghamba iti ni chedi mndu akubhike hae na mbotu ya bhandu, amu usiidima kutwarija iti niani eidima kuoka muaji.",
25,Bhitunga majegho,
27,Mikwa ja igari la moshi,
28,"“Bhifungo, bhya lifuti’",
29,Malalu ma ‘tissue’,
30,Bhikombe,
31,Bhia bhya kijiditali,
32,Naetee mbai ya shighati ya kitambaa chako cha kujibha fua na momo.,
33,Mishighi ya ngazi,
34,Mkono wa kompiyuta,
35,Kalamu,
36,Chabi ja lughwi,
37,Mikono yabho,
38,"Kake naetee hubho, hena igheri mate ma mndu muwaji meidima mekaoka na bhindu ibhi…",
39,muidima bhose kuoka bhawaji.,
40,"kana kubhagura bhakundwa bhako bhusho,",
41,"usighise meso,",
42,"Na ukakunda bhindu ibhi usibharirie, na ade ugure bhusho bhwako,",
43,"na zia yedi tiki ya kubhikenja ni kuoja bhia ibhyo na sabuni, bhikuruta ikwe, kana bhiengeji.",
44,Bhiambu bhiidima kuoka moo hena masaa matare  bhireoho na bhia,
45,Sabuni,
46,Bhila twaaghanywa,
47,Ichi nicho kindu kioho kiinga tughambe iti ni chedi kuyoa iti tuoho turateria  ,
48,Oja nezo na sabuni mhaka aha.,
50,Kikokora,
51,"Usigure bhusho bhwako. (Kana bhusho bhwa mndu ungi.) Na ikaoka iti nire ugure bhusho, oja ini nezo mikono yako na sabuni.",
52,Igheri lifishie kubhina kibhini cha ‘Izirihiwa msi wa Kubhoneka’ ndekero keeri.,
53,Sii ya ngombe,
54,Hena sekunde 20,
55,Ghati na ghati ya bhichaa,
56,Oja mghongo wa maghaza mako,
57,Kuoja nezo ni kuketa ze?,
58,Ukakunda  usiituke. Oja tiki mikono yako na sabuni.,
59,Kaja uidima usikunde mbai ya shighati ya kijibha fua na momo chako.,
60,Mate mena bhiambu,
61,Bhiini bhya Bakitiria bhinamea  mbai ya ndeni ya bhijibha fua na momo bhikadokwa igheri ieza,
62,Bhijibha fua na momo bhidokwe tiki hena msi mmwe!  Ade  bhibhiritwe handu eho bhisiidima kukundwa ni ungi.,
63,Taha kijo na upao,
64,Mwana,
65,Papa,
66,Iya,
67,Kila mndu aoke na taulo yakwe,
