eng,ewo,fra
What you need to know about the CORONAVIRUS or COVID-19,Jam miá yianə yěm mfá mbé okɔ̌n nyɔ́ bá lɔ̂ ná CORONAVIRUS ǒ COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,Minlô minyéglán mfá okɔ̌n nyɔ̂,                                                  SOMMAIRE
,- Coronavirus  - Bot bɛ́ nɛ bi okɔ̌n tē - Mendem a líri okɔn - Mból okɔ̌n tě a kalan - Jam bíá yiane bǒ ná bíá ke mbíl nɛ okɔ̌n - Jé wa yiane bɔ̌ yɔ wa man bi okɔn? ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
,"Coronavirus nyɔ bá lɔ̂ fe ná COVID-19, nyɔ́ a ne kpámák mɔ́ŋgɔ́ ǹsɔ́ŋ. Okɔ̌n tě a ŋgá tári mfá nam Shín, á mimbú 2019, ŋgɔn Desámba, melú mewómlá aa mbɔ́k. Mendem mfá okɔ̌n tě a ne né mboman anɛ́n nyɔ̂, aa awú a ne fe vôl sɔ̂ yɔŋ kókɔ̄n a man kɔn abwǐ. Okɔ̌n tě a ne mfá minam mivɔ́k mfê. Mot tege yěm mfá okɔ̌n tě a sɔ̂.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
,Minǒm,Personne âgée
,Bot bá kɔn mfá nêm ǒ bá kɔn okɔ̌n,Personne cardiaque ou souffrant de maladie
,"Bot bé nɛ jǎm vól bi okɔ̌n  Bot mimbú mísě nɛ ɓɔ́ŋgɔ̂ bɛ́ nɛ bi okɔ̌n nyɔ́ kpámák mɔ́ŋgɔ́ ǹsɔ́ŋ nyɔ̂. Minǒm nɛ bot bá kɔn okɔ̌n wiŋ nɛ́ (okɔ̌n kuk, diabet, okɔ̌n nêm nɛ tansyôŋ). Kán bot tě yɔŋ okɔ̌n tě a kúí bɔ bɔ̂ɔ̄, a ne ŋgul abuí ású mɔ́ŋgɔ́ ǹsɔ́ŋ nyɔ̂. ","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
,- Avêp - Sɔ̂m,- Fièvre - Fatigue
,- Ekɔ́si nɛ́ ŋkōt - Mintáy mfá minson,- Toux sèche - Douleurs musculaires
,"Mendem a líri okɔ̌n   Mendem a líri okɔ̌n nyɔ́ koranovirus nyɔ́ a ne nɛ́: mendem ású ŋgul mboman, avêp, ekɔ́si a nɛ́́ ŋkót, mintáy mfá minson, sɔ̂m. Miŋkókɔ̄n ziŋ míá man bi mintây, jóé a man yêm,  mendím a lot fáá jóe, mintây mfá eŋgɔŋ ó ǹtúi. Vedá bot beziŋ bɛ́ nɛ bi okɔ̌n nyɔ́, jam dá tege yên mendem mfá okɔ̌n tē, bá wôk menyɔ́l bɔ́ mbɛŋ. Buí bot bá man bɔ mvwǎ tege nɔŋ mebálá ziŋ.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
,Mot a kɔ́si,Personne qui tousse
,"Mból okɔ̌n tě a kalan  Okɔ̌n COVID-19 a kalan nɛ bot bɔ́ bilí mɔ́ŋgɔ́ ǹsɔ́ŋ nyɔ́ mfá menyɔ́l bɔ̂. Yɔŋ kókɔ̄n a kɔ́sǐ ǒ a sémlě, mɔ́ŋgɔ́ mendím a kúí tsitsat tsitsat mfá jóé nyɛ̂ nɛ mfá anyu nyɛ̂. Yɔŋ mot a vebe mɔ́ŋgɔ́ mendím nyɔ́, a ne bi okɔ̌n coronavirus nyɔ́. Yɔŋ mot a namba jóm ziŋ a belé nyɔ́ mendím nyɔ́, yɔŋ a namba mís nyɛ, jóé nɛ anyu nyɛ́, a ne fe nɔŋ okɔ̌n tě. ","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
,Mból bíá yiane bagle menyôl bíā,Comment se protéger ?
,"1. Wa tege fid mɔ́ mf́ mís, jóé nɛ anyu. ","1. Eviter de se toucher les yeux, le nez, la bouche."
,"2. Wa yiane sop mɔ́ biyɔŋ bíse nɛ mendîm fúbán nɛ sɔ́bɔ. Mvûús, wa man fími mɔ́ nɛ táwola fúbán.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
,"3. Yɔŋ wa kɔ́sǐ, wa man bɔ wɔ́ wǎ mból ekúra. ",3. Tousser et éternuer dans le creux de son bras.
,"4. Wa tege dí nyumán tsît, wa tege namba tsít a nyiŋ.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
,5. Wa yiane tɔbɔ méta mbɔ́k oyǎp nɛ mot a sémlě ǒ a kɔ́si. ,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
,6. Míá tɛgɛ fɛ sugan nɛ mɔ̂. Míá sugan nɛ nlô ǒ nɛ anyu. ,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
,7. Míá tɛgɛ fɛ tɔbɔ vóm bot bé nɛ abwí abwi.,7. Eviter les rassemblements.
,8. Míá tɛgɛ fɛ wulu abwí abwi.,8. Limiter ses déplacements.
,9. Míá yiane yem mefóe nɛ mfá fóe tě a sɔ̂. ,9. Se tenir informé et vérifier la source de ses informations.
