,kik,eng
0,Mũrimũ wa Korona,About Coronavirus
1,,
2,Translated by Timothy G. Kamau,
3,,
4,No ũndũ ŨMWE tu wagĩrĩirwo nĩ kũmenya ũrĩa mũrimũ wa Korona,
5,ŨGWATANAGIO,
6,Kanua  ,
7,Iniũrũ,
8,Maitho,
9,Twakũingĩra  ,
10,Mũndũ ũtarĩ mũrwaru,
11,Mũrwaru wa Korona ,
12,Mũrimũ ũyũ ũgwatagio rĩrĩa tũmatata tũtũ,
13,Ikara haraihu. Wĩ ũraihu wa mita 2 ndũngĩkinyĩrwo nĩ tũmatata tũrĩa tũnene.,
14,1,
15,Mita 2,
16,Achoo!,
17,Kwoguo ũngĩona mũndũ akĩenda kũhaya/gwathimũra kana ta e mũrwaru no wĩke ũũ:,
18,Kana ũmahe maciki. No mahaĩre kana maathimũrĩre maciki-inĩ ĩyo na kũgitĩra arĩa othe me hakuhĩ,
19,2,
20,Mũhe gatambaya ga *kĩmira* ,
21,"KANA,",
22,"No gũkorwo ti mũrwaru, no kwĩgitĩra tu aregitĩra",
23,"Andũ mena bairasi cia Korona no  maage kuonania ndariri, no marĩ o na ũhoti wa gũcitaambia ",
24,"Nĩ wega mũno kwaga gũthiĩ kũndũ kwĩna andũ angĩ, tondũ ndũngĩmenya nũũ ũngĩkorwo arĩ mũrwarũ.",
25,Tũmĩtĩ-inĩ twa kũrĩa,
27,Mĩcibi-inĩ ya ngari,
28,Mbatoni-inĩ cia ributi,
29,Ticiũ-inĩ,
30,Ikombe-inĩ,
31,Thimũ-inĩ na kombiuta-inĩ,
32,& ona kana na nja wa maciki yaku ya ũthiũ,
33,Cuma-inĩ cia ngathĩ,
34,Maũci  ,
35,Tũramu-inĩ,
36,Icũhĩ-inĩ cia mĩrango ,
37,Moko-inĩ mao,
38,"Ona kũrĩ o ũguo, rĩmwe mata ma mũndũ mũrwaru no magĩe indo-inĩ ingĩ ta …",
39,inyuothe mwahota kũnyitwo nĩ mũrimũ ũyũ wa Korona,
40,kana ũhuutie ũthiũ wa mũndũ wendete     ,
41,wĩrigithe maitho ,
42,"Na ũngĩhuutia kĩmwe kĩa indo ici na mahĩtia, ũcooke wĩhuutie ũthiũ waku, ",
43,"na njĩra ĩrĩa njega mũno ya gũcinina nĩ gũcithaambia na thabuni, kilorini kana dawa ya thanitaitha.",
44,Bairasi cia mũrimũ ũyũ no cikare mathaa maigana ũna indo-inĩ,
45,Thabuni  ,
47,Na nĩkĩo arĩ wega mũno kũrũmĩrĩra motaaro maya,
48,Wĩthaambe na thabuni nginya haha,
49,Thabuni,
50,Kĩgokora,
51,"Ndũkehuutie ũthiũ. (Ona kana ũthiũ wa mũndũ ũngĩ o wothe.) Angĩkorwo no nginya ũhuutie, amba wĩthambe mooko na thabuni weega biũ.  ",
52,O kahinda ta karĩa ũngĩoya kũina karwĩmbo ga gũcũgia mwana,
53,ndwara-inĩ thĩinĩ,
54,gwa kahinda ta ga thekondi 20,
55,gatagatĩ ga Ciara,
56,wĩthambe na thuutha wa mooko maku.,
57,Gwĩthamba mooko weega biũ nĩ ta atĩa?,
58,"No ũngĩhuutia, ndũkamake. Wĩthambe tu mooko na thabuni weega bĩũ.",
59,"Ningĩ, geria mũno ndũkahuutie mwena wa na nja wa maciki.",
60,Tũmatata twa mata,
61,*Mbakitĩria nĩ ikũragĩra na thĩiniĩ wa maciki ũngĩmĩkĩra gwa kahinda karaihu.,
62,Te maciki waigua yambĩrĩria kũgĩa na hinya ũkĩhuhia. Ndũkamĩkĩre makĩria ya mũthenya ũmwe! ,
63,Hũthĩra gĩciko gĩa kũihũra,
64,Mwana,
65,Baba,
66,Mami  ,
67,O mũndũ akorwo na taurũ yake,
68,"Ndũkahũthĩre indo ta ici na andũ angĩ: irio, thaani, iciko, ikombe, taurũ.",
69,Ndũngĩhota kwĩhuutia ũthiũ na kĩgokora gĩaku ona ũngĩgeria. ,
70,"Kũngĩhoteka, hũthĩra kĩgokora kana ciande kũhingũra mĩrango handũ ha mooko.",
71,Mũciĩ,
72,na wacoka kuuma kũrĩ mũingĩ,
73,Mbere ya kũrĩa,
74,Hingo ciothe wĩthambe mooko na thabuni …,
75,"Wa mũthia,",
77,"Nĩ twĩgitĩre, ithuothe!",
80,Mathome ũmenye mangĩ maingĩ!,
81,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
83,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)",
84,Mohoro makĩria megiĩ ũgima wa mwĩrĩ:,
85,"Ndeto makĩria: Mootaro megiĩ ũgima wa mwĩrĩ maheanĩtwo na njĩra ta ĩno ya mbica cia katuni nĩ mateithagia mũno kũrigĩrĩria mĩrimũ ya kũgwatanio ta homa, na no mahũthĩke hingo ciothe, ona rĩrĩa gũtarĩ na kĩng’ũki.   Kĩhumo: Moohoro marĩa me kabuki-inĩ gaka ka mbica cia tũtuni maumanĩte na ũmenyo wa mũrimũ wa KOVID-19 nginyanagia mweri 28 Februarĩ 2020, ihumo cia ndeto ici nĩcio ici ithatũ. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/ https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Moohoro makĩria: No wĩgĩĩre na kabuku gaka ka mbica cia tũtuni ge ka PDF kuuma rũrenda-inĩ rũrũ: https://gumroad.com/weimankowart  Megiĩ Ũhũthĩri: Kabuku gaka ka mbica kaheanĩtwo tũhũ kũrĩ mũingĩ ũgatambie nenda-inĩ, Whatsapp na Telegram. Andũ no marute nenda-inĩ na macabithie na ta mbica cia gũcuuria ciĩ ciao kana irĩ cia kũrutana mĩciĩ-inĩ, macukuru-inĩ, na maobici-inĩ. Rĩrĩa ũraheana kabuku gaka ririkana maũndũ maya 3: 1) Ndũrĩ na rũtha rwa kũgarũra ũndũ ona ũrĩkũ. 2) Mbica iria iria irĩ haha itingĩhũthĩrwo na njĩra ya gwetha mbeca. 3) Angĩkorwo ũrahũthĩra rũrenda-inĩ, onania mũthondeki wa thĩiniĩ wa FB kũrĩa ũgwĩkĩra @weimankowart, na kũrĩ IG wĩkĩre @weimankow (IG), kana wandĩke linki harĩ instagram com/weimankow Nĩguo ũrĩhũthĩre na njĩra ingĩ o ciothe,  tũma ihoya kũrĩ: comicsforgood@gmail.com",
90,,"Created by Weiman Kow, instagram: weimankow"
