fra,lmp,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Nsuŋ Àmbò Yaŋ Kòronà kɛ̀ COVID-19 Ɛ̀,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
,                             BTU LÀA,                    SUMMARY
,- Yaŋ Kòronà - Bèe ce kàtà yi koo woowèe jòr - Mncoò Yaŋ Kor̀ona - Rtuusèe - Kàtà à fiisè à njɛ̌ nɛ - Yuu ce yi kaꞌ koo wɛ̀ à gee ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
,"Yaŋ kòronà  Yaŋ ce a too enɛ kòronà na, yu yaŋ bebep moꞌ ce yi ko kɛꞌkɛ̀ꞌɛ. Yi m kɛ̀ꞌ waꞌŋgàane, (2019) mbe mnòŋ 31 e mbe ŋwɛɛ ŋkàꞌ, nje Cainà. Yi ke lò kɛꞌ ba ne kosɛ̀ ba fashifashì. Kàtà yaŋ anà yi yʉ ŋwɛ̀ àtɛ̀r sê. Yi tuuse a neŋ à btoꞌ jɛɛjɛ̀ɛjɛɛ e njep ŋgòŋ na. Bèe a bee reŋ nè meni ŋwɛ̀ yuu ce yi vʉ̀ nè njɛ̀ɛ yaŋ bebep ca kaꞌ. Bèe ce a kweŋger efa yaŋ ca njep ŋgòŋ na bìi, a tɛɛtɛɛ, laŋlaŋ bèe bbʉʉ.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
,Nliŋwɛ̀,Elderly person
,Ŋwɛ̀ yaŋ ntee,Person with a heart condition or disease
,"Bèe ce kàtà yi koo woowèe jòr  Ŋwɛ̌ kaꞌ tɛ lòr nfèꞌ kaꞌ, kɛ̀ à yu nda, kɛ̀ à yu nda, kàtà à koo yaŋ ca à tɛ̀r sê. Blee bèe, ker ba bèe ce a tʉr byaŋ jɛɛjɛ̀ɛjɛɛ àmbò kosè ryòŋ ker ba byaŋ ce vi ke kòŋ mgwaŋ ba shugà ka nàꞌ, yaŋ ca yi kaꞌ koo woowèe, ba enɛ nlùpnì be ba àgho.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
,-Mbɛp fivà -Bsɛ̀,Fever Fatigue
,-Kosè yuur -Nyor nyayaŋ,Dry cough Muscle aches and pains
,"Mncòo Yaŋ Kòronà  Mncòo yaŋ kòronà ca vi ko ba àmbò vi mbɛp fivà waꞌa: ŋgàŋ be tʉr kosè, ce yuꞌ nyor nyayaŋ ker ba bsɛ̀. Bèe mòꞌ be yuꞌ yap ba àmbò rkàkàr lii yaŋ wowèe, tɛ wèemoꞌ a tʉr yap ba rbʉ̀ʉrtoꞌ. Bèe moꞌ a be yuꞌ a byu yuu kaꞌ, gèe waꞌa, kù tʉr yaŋ ca. Yaŋ ca yii koo bèe moꞌ wowèe a kʉtì ku luŋ à ŋger Nyʉ̀, laŋlaŋ bèe bsii, àmbò Wèmbùm na.","Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment."
,Ŋwɛ̀ yaŋ kosè,Person with a cough
