,eng,ybb,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Aju mīi mpɛ epɔŋtée á lezhɛ̄ ánɛ agɔ zīi mɛ́ tɔ́ŋɔ lɛ Kolonavilwis ká Kovid-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                      METHŪ MENU,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-Agɔ zīI mɛ́ tɔ́ŋɔ lɛ Kolonavilwis -Epuɔ pīi agɔ mɛ́t á gákne ŋkó ánɛ pɔ́p -Metswitɛ́ agɔ -Kolonavilwis a koó ánɛ ŋiŋ lɛ akɔ̄ ? - Ŋiŋ a gɔ lʉɔʼte agɔ mɛ́t é lɛ akɔ̄ ? -Agɔ mɛ́t á pikɛ te ŋkó ánɛ ŋiŋ ŋgaŋ á ghʉ lɛ akɔ̄ ? -Lekyakte mekem ashuŋe,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Agɔ zīI mɛ́ tɔ́ŋɔ lɛ Kolonavilwis Kolonavilwis, ká lɛ Kovid-19 á si ŋgɔ́ agɔ mmɔʼ meŋ agá acʉchʉ lɛ, tɛ ŋgɔ yīi mɛ́ zi ŋgɔ lelɔk menēk njʉ́ɔ mɛ wɛ. Mɛ́ ke zi á lejʉ́ɔ agɔ jʉɔ mɛ́t ánɛ nzoknzem aleʼé ánɛ saŋ aklísimi ánɛ ŋguʼ zīi e ke tɔɔ́k lɛ (2019), á alāʼ zīi mɛ́ tɔɔ́ŋ lɛ Shʉ́ne. Agɔ jʉɔ mɛ́t á zitē páʼ afaʼte lā, ḿbiŋ nzyɛ́tte tɛ ŋgɔ́ yīi á gɔ zwhí á ŋiŋ. Agɔ jʉɔ mɛ́t á ndáʼ ŋkó ánɛ epuɔ ánɛ melāʼ tɛ nzáne á ntē ŋgɔŋ. Mɛ́ zɛɛ́t te zhɛ́ á ajuʼ zīi agɔ jʉɔ mɛ́t á fhɔɔ éwú.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
