,eng,mfj,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Jəhay mala away kur səniya hayaŋ ta KORONAVIRɄS mala mbay KOVID–19,
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
10,,,
11,                    SUMMARY,                          YAŊ TA MA,                                                  SOMMAIRE
12,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words , -Koronavirʉs                            - Nday mala matakwa a wala ce ha de bay - Jəhay mata ŋgərda matakwa vəda ta və ta ndə         - Mazəv nday ta koronavirʉs - Nda ɗal və ɗama?  - Nda gay ɗama mala ka mazəva ma? - Maŋgərda ma hayaŋ ta ma mata cən bay,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3  p.4 p.5 p.6 p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirʉs  Koronavirʉs, nda  zaliya zacacək KOVID-19, aɗa matakwa mawaya. A hənkeke maleləme taɗa ta shinə ha mewen 31 ta kiya ta mazlam 2019. Aɗa va jəhay ta maŋgərda vəda nde, aɗa maməta nda madama, a zlaha da kəɗa ndə mala ka gay taɗa mahwal hwala. Ka kəzl taɗa mata wudəm a ndəvbay hayaŋ ta wuyak. Nda sən jəhay mala matakwa ɗa a dək vəda tapa bay.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,Elderly person,Nday mahala,Personne âgée
22,Person with a heart condition or disease,Nday ma va matakwa mala a hec ta wut ta rəv mala mbay nday mata saw zay ta matakwa,Personne cardiaque ou souffrant de maladie
23,"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Nday mala matakwa a wala ce ha de bay Mapay ta ndəmagəda cucəm ma ha yaŋ ta wuyak. Ko wudede, matakwa mawaya nana ɗa a zlaha da jawa ce. Nday ta matakwa va nday mata saw zay ta matakwa ŋgəɗhay (nda matakwa ta ndə mala a shef va wuɗay, matakwa ta sukwar, matakwa mala a hec ta wut ta rəv, matakwa ta membəz mala a hway va wuɗay ta vəɗ ta membəz) a zlaha da kalda ka həda, mala aɗa mahwal hwala ma məta nda matakwa nana.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,Fever Fatigue,- Kokwa ha və - Metəɓəle  ,- Fièvre - Fatigue
28,Dry cough Muscle aches and pains,- Ɗəsla mata kwal way - Mehec mata slaw ta və,- Toux sèche - Douleurs musculaires
