,lbw,eng
0,Tinamoako pirusu Corona,About Coronavirus
1,,
3,,
4,"O'aso'ikaa paparaluu ito'orikee, keno te'embe pirusu Corona nopesaki",
6,Pondu,
7,Enge,
8,Mata,
9,pewiso i'une,
10,Toono waraka,
11,Toono meohaki,
12,Pirusu tule'i mesaki keno tepidi ni’ino o'eli,
13,Dagai'i polawa. Inggomiu nggo ama ari ine eli tepidi ronga dagai’i polawa 2m.,
14,1,
15,"2m - 0,5m",
16,Haaachii!!,
17,"Dadi, keuponggii toono humongo/te'atiho/meo-haki, inggomiu tule'i:",
18,"POWEE'IRO MASEKERE. Dadi, rotule'i te'atiho/humongo i'une masekerero ano tedagai toono ipambahakono.",
19,2,
20,Tarima kasi “SROOT”,
21,Bara,
22,Ni'ino toono hula ki'oki nolaa meohaki. Nolaakaa dumagai'i dowono.,
23,"Toono kikinonono, hula ki'oki nonio otanda, mano manasa tule'i nopeposaki hakino.",
24,"Masahoro, nggo me'ambono palili'i maroa'a, te'embe ki'oki uto'orike inae-nae laa meohaki.",
25,Parewa mbonggaa,
27,Pepoindi'ano koreta,
28,Petindisi'ano olift,
29,Otisu,
30,Otonde,
31,Parewa digitalo,
32,Sambe ine luarano masekere,
33,Pepoindi'ano la'usa,
34,Mouse,
35,Opilo,
36,Pepoindi'ano otambo,
37,Kaero,
38,"Mano hendenggiro, tembo-tembo elino toono meohaki tule'i tudai ine ...",
39,inggomiu luwuako tule'i meohaki.,
40,"ronga tapura'i toonohako memerambi ihorimiu,",
41,mohahi omata,
42,"Keutaa petu'onggeeki moheu nggiro hapo-hapo'ako, auheu'i tapura'i dowomu,",
43,Aso-asono osala pale me'ambo nggo mombokondesia pirusu ieto mewohiki nggae mombake osabu ronga alokoholo.,
44,Pirusu notule'i mo’ia sambe ruambulo o'omba odaa ine hapo-hapo.,
45,Osabu,
46,peowai mondootondo ilolu ni’ino.,
47,"Ieeto nggiro, me'ambono atowatukee",
48,wohiki’i ronga osabu sambe ikeni.,
50,Hiku nggae,
51,"Iamo heu'i tapura'imu. (Iepo tapura’i toonohako.) Keno nggo'ie'i, wohiki’i ano moroa le’esu kaehakomiu ronga osabu.",
52,Hende laa mosusua “Happy Birthday” monggoruo.,
53,Ilolu ngguku,
54,menggauno 20 dete,
