lbw,eng
Tinamoako pirusu Corona,About Coronavirus
,
,
"O'aso'ikaa paparaluu ito'orikee, keno te'embe pirusu Corona nopesaki",
Pondu,
Enge,
Mata,
pewiso i'une,
Toono waraka,
Toono meohaki,
Pirusu tule'i mesaki keno tepidi ni’ino o'eli,
Dagai'i polawa. Inggomiu nggo ama ari ine eli tepidi ronga dagai’i polawa 2m.,
1,
"2m - 0,5m",
Haaachii!!,
"Dadi, keuponggii toono humongo/te'atiho/meo-haki, inggomiu tule'i:",
"POWEE'IRO MASEKERE. Dadi, rotule'i te'atiho/humongo i'une masekerero ano tedagai toono ipambahakono.",
2,
Tarima kasi “SROOT”,
Bara,
Ni'ino toono hula ki'oki nolaa meohaki. Nolaakaa dumagai'i dowono.,
"Toono kikinonono, hula ki'oki nonio otanda, mano manasa tule'i nopeposaki hakino.",
"Masahoro, nggo me'ambono palili'i maroa'a, te'embe ki'oki uto'orike inae-nae laa meohaki.",
Parewa mbonggaa,
Pepoindi'ano koreta,
Petindisi'ano olift,
Otisu,
Otonde,
Parewa digitalo,
Sambe ine luarano masekere,
Pepoindi'ano la'usa,
Mouse,
Opilo,
Pepoindi'ano otambo,
Kaero,
"Mano hendenggiro, tembo-tembo elino toono meohaki tule'i tudai ine ...",
inggomiu luwuako tule'i meohaki.,
"ronga tapura'i toonohako memerambi ihorimiu,",
mohahi omata,
"Keutaa petu'onggeeki moheu nggiro hapo-hapo'ako, auheu'i tapura'i dowomu,",
Aso-asono osala pale me'ambo nggo mombokondesia pirusu ieto mewohiki nggae mombake osabu ronga alokoholo.,
Pirusu notule'i mo’ia sambe ruambulo o'omba odaa ine hapo-hapo.,
Osabu,
peowai mondootondo ilolu ni’ino.,
"Ieeto nggiro, me'ambono atowatukee",
wohiki’i ronga osabu sambe ikeni.,
Hiku nggae,
"Iamo heu'i tapura'imu. (Iepo tapura’i toonohako.) Keno nggo'ie'i, wohiki’i ano moroa le’esu kaehakomiu ronga osabu.",
Hende laa mosusua “Happy Birthday” monggoruo.,
Ilolu ngguku,
menggauno 20 dete,
Itonga-tonga wua nggae,
Mowohiki toruku nggae,
Te’embe sarano mowohiki okae sambe moroa?,
"Keno niheu, iamo kara, merare pewohiki nggae mombake osabu.",
Iamo heu’i iluarano masekere,
eli tepidi,
Huma-huma tulei te’ule ronga toro ine i’une masekere keto pake’i lalo menggau’a.,
Pewuangge masekeremiu keno mokosisito. Iamo pombake masekere pelalo ari aso oleo.,
Pombake siru purorembu,
Ana,
Ama,
Ina,
Pombake ohandu oka-oka,
"Iamo pombake meronga-ronga kinaa, parewa mbonggaa, otonde, ronga ohandu.",
"Ki’oki utulei humeu’i tapura’imu ronga hiku dowomu, ara-ara’itokaa.",
"Keno tule'i, hunggai ronga tutu’i otambo mombake ohiku bara obose.",
Laika,
Keu'ari peluarako ari ilaika,
Taahori monggaa,
Wohiki'i laulau kaemu mombake osabu...,
"Pondutu,",
Dagai'i waraka’a!,
Basa'i sara-sara suere ine boobo iwawo.,
"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
Boobo me'ambo ine waraka'a:,
"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
,"Diterjemahkan ke dalam Bahasa Tolaki oleh Dr. Tambunan, M.Hum. dan Untung, S.S., M.Pd."
,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
,"Created by Weiman Kow, instagram: weimankow"
