,lts,kps,eng,ind
0,Olumbe lwa Korona,Ni Kaini Buoros Altoil Corona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Ni MRES deri le molot fe buoros altoil Corona ou wbet-bet kein wan na man hra ydain.,,
6,,giet ,,
7,,towadio ,,
8,,sifuon ,,
9,,yloit yse ,,
10,,na hra wdain,,
11,,na wkaini ,,
12,,Buoros ou wbet-bet kein wain fe giet lit-lat ei ,,
13,,"Ntiek nhenti kat ou kniet lak, se bo nen nbot-bot deri. ",,
14,,1,,
15,,"2m-0,5m",,
16,,Atsyeee!,,
17,,"Mde hra nen nhot na mre wto wdeye, wsiede, wkaini, ofo :",,
18,,"Hnak masker man ou. Mto masker mlakti wgiet om, bo wsiede afe wdeye yik deri mabri ati, mabe wleliti na man hra yitaren ei. ",,
19,,2,,
20,,Nai fe na   *srooot*,,
21,,"AFE, ",,
22,,"Bo na okom mkaini dait, msiok krek deri masker mabe mleliti om.",,
23,,"Na oko wkaini wale wak wabri, mahin whok whakta latiot.  Mahin ni kaini om mbet kein whok wata man kdie na man ei. ",,
24,,"Ma bot ma ntiek nehinti kat na marok, fe hra nan nnok dait latiot na man hra wkain ni kaini oko. ",,
25,,finggien ,,
26,,na hra wkaini dait ,,
27,,ni slon ,,
28,,tombol lift ,,
29,,tisu ,,
30,,met ,,
31,,hp laptop ,,
32,,mak fot masker msibiele ,,
33,,bol wlin ,,
34,,maus komputer ,,
35,,pulpen ,,
36,,slon hrede ,,
37,,wna ,,
38,,Na wkaini ou wgiet lit-lat ei bo ybat-bat yin:,,
39,,bo la nan nkaini fot ni kaini okom.,,
40,,"sifuon na wat afe, ",,
41,,"nsifuon afe, ",,
42,,"De hra nen nokot ni mrem mahin ni eke, ofo giet lit-lat ei bo yse fot nen nna om, fo bo nlak oli nnam mak:",,
43,,"Mto nen naisi buoros ou wdain ofo, nware ni bol ei yidien sabun afe, yidien pemutih. ",,
44,,"Buoros ni kaini oko, waheit wase wak ni, wase semfe dait. Wase deri kaide tali mres (24 jam) wak ni man om, ofo wdain.",,
45,,Sabun ,,
46,,ni kakniet mahot le mkei.,,
47,,"Mde, nsiwain wata ",,
48,,Nware nnai yidien sabun kaide hra ko.,,
50,,Na sia ,,
51,,"Mres:  Nokot amot nsifuon. Nto nokot ofo, nware nnai yidien sabun sba se nokot. ",,
52,,Mde hra nen nmenyanyi “Panjang Umurnya” mau lak. ,,
53,,nna kdi ei ,,
54,,kaide 20 detik ,,
55,,nna tofo lalaka ei ,,
56,,Nware nna toin sbiele ,,
57,,Faf fware fnai ybot-bot yde sie? ,,
58,,"Nto nokot ofo, nteit rioro amot.  Nware tamli wata nnai yidien sabun. ",,
59,,"Yei, nnok deri nokot dait masker msibiele om. ",,
60,,batet giet lit-lat,,
61,,"Fe hra nto nsiok lis-lis masker, nware dait, ofo sidiorok ei yfori kaide yrok yik masker mabri. ",,
62,,"Lak: Mde hra nfe masker kertas om mdahan ofo, nbirikat.  Nnok deri nsiok dait masker mak ngiet ago mewer mahin tali mres. Masker hra not om, nware sba ofo nsiok oli. ",,
63,,Nkain wat-wat sendok. ,,
64,,wet ,,
65,,Tono ,,
66,,Teme ,,
67,,Nkain wat-wat handok. ,,
68,,"Tolik: Yei, nsiok sisi dait dan, afe finggien, sendok, handok yidien met. Nkain lok dait. ",,
69,,"Se bo nna tofo ei ydahan dait, ybot deri. ",,
70,,"Hat : Nkotiek hrede afe nlak ti hrede madien nna sia afe, madien nkbek. ",,
71,,BOL,,
72,,"mto nain nse wi wat, nhok oli nak bol",,
73,,Sba se nat ni eit,,
74,,Nware nnai yidien sabun...,,
75,,"Mahot,",,
76,,Sabun,,
77,,Naliek si nen se bo nbot-bot deri! ,,
80,,Baca tips-tips lainnya pada artikel-artikel di atas!,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Nto ndihar info wat Salo Ingris:,,
85,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
88,,,"Diterjemahkan dalam Bahasa Tehit oleh Yoel Klafle, Yoram Sagisolo dan Apolos Klafle",
89,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",
90,,,"Created by Weiman Kow, instagram: weimankow",
