spa,tom,eng
Sobre el Coronavirus,UN TOTOZ KATA'UANTA TUMORO U VIRUS CORONA,About Coronavirus
,,
,Bahasa Tombulu,
,ESA uman un totoz kata’uan nioua tumoro kura u virus Corona,There's only ONE thing ﻿you need to understand about how a coronavirus
,i mahlaputa,SPREADS
,Sumah,Mouth
,Ngirung,Nose
,Weren,Eyes
,muntepa wana am,Get into your
,Tou zéi’kan saki,Healthy Person
,Tou saki,Sick Person
,U virus ém pahkalaputa karia u rura’ pahkapesika kenu,The virus spreads when ﻿these droplets
,Zumou’la. Ni kamu én zéi’kan pahkaayoané u rura’ mahpesiké sa zumou’la 2m.,Keep your distance.﻿2m will keep you safe from large droplets.
,1,1
,½m - 2m,2m
,Haaachii!!,Achoo!
,"Niitumo, sa ni kamu mileka si tou mahenga/mahtihoi/saki, ni kamu é léwo’zéi’:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
,WÉHANA MASKER SÉRA. Ni séra én toro tumihoi/mengah witu u maskerna wo zéi’kan ikaayoma wia sé tou witu réténa.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
,2,2
,Tambér wangko’ *SROOT*,Thank you﻿*sniffles*
,KAAPA,"OR,"
,Si tou itii woo zéi’kan saki. Ni sia éng kimelung uman un touna.,"Maybe she's not sick, just protecting herself"
,"Si tou kinalaputano én zéi’kan kata’uanta, taan toro uman lumaputa u sakina.","People who are infected can show no symptoms, but are still﻿infectious"
,"Um wangun é zumou’mé im wia sé tou lakez, pahpaan zéi’kan kata’uannu séi si léwo’ pendanen.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
,Am pemamakén i mahkan,Chopsticks
,Sé tou lé’o-lé’os uman,Healthy person
,Titionan wana ang keréta,Train straps
,An ipahkepel wana a lif,Lift buttons
,Tisyu,Tissues
,Eelepan,Cups
,"Leptop, HP wo am walina",Digital devices
,U LUARNA u masker,& even on the outside of your face mask
,Titionan an ahzan,Stair bannisters
,Mous ang computer,Mouse
,Potlot,Pens
,Titionan am pepenet,Door knobs
,Lengen néra,Their hands
,"Zozo’ in téntu, satorona u rura’ ni tou saki én toro lumaput wana a…","However, sometimes a sick person's saliva can get on other things…"
,ni kamu péléng én toro uman masaki.,you might all fall sick.
,"kaapa ang gio né tou karaatému,",or your loved one's face
,mahpurisi um weren,rub eyes
,"Sa kamu méikationa wana ang kinuamoma itii, an tumiona ung giomu in esa,","And if you do touch any of these things by accident, and then touch your face,"
,"Un totoz wangun i zuméi’ a virus é mo’as niitu karia  u sabong, um pahkulo’ ang karai, kaapa alkohol.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
,U virus én toro uman tumahang makaz 24 jam witu un apa uman.,"Viruses can last for quite a few hours on objects,"
,Sabong,soap
,an toro wangunen i zuméi’ tanu ang kenu.,precautions
,"Niitumo, um wangun éng kiitala u",Which is why it is also good to follow these
,wo’asan karia u sabong makaz wia’i.,wash with soap up to here
,Siku u lengen,elbow
,TIA' PAHTIONAN UNG GIOMU (kaapa ang gio ni séi uman),"Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
,Tanu makazua kumantara ung kakantaren “Happy Birthday”.,Enough time to sing “Happy Birthday” twice
,sulu,under the nails
,kauréna 20 detik,for 20 seconds
,selat an tutundu’,between the fingers
,Wo’asan murina u rorongkem,wash the back of your hands
,Kura i mo’as u lengen makaz maweresi?,What is thoroughly?
,"Sa kinationannoma, tia’ maarét. Rengan mo’asé lengen karia u sabong.","If you did, don't worry. Just wash your hands with soap after."
,Tia’ pahtionan u luarna masker,"Also, don't touch the outside of the mask if you can."
,kinapesikan rura’,droplets
,Si bakteri én toro malakez witu un untep u masker sa tahlous uré pinaké.,*Bacteria grows on the insides of your mask if you wear them too long
,Sa pahgenangela kotoro u maskermu én itia’moma. U masker én tia’ pahpakén lumangkoia witu u sana endo.,Throw away masks once they feel gross. Don't wear them for more than a day!
,Pahpakéala léper a séndé’en kaapa wawahu’,Use a serving spoon
,Koki’,Baby
,Ama’,Daddy
,Ina’,Mommy
,Mahpakéla tata’saan anduk.,Everyone gets their own towel
,"Tia’ pahwali-walian i mahkan, am pahpakén mahkan, eelepan wo anduk.","Do not share food, utensils, cups, towels."
,"Amoké wa’wa’ela, ni kamu én zéi’kan mamuali tumion ung giomu karia u sikumu.",You can't touch your face with your elbow even if you tried
,Satoro é makéla siku kaapa paluka i muka kaapa menet um pepenet.,"Open & close doors with your elbows or shoulders instead of hands, if possible."
,Walé,Home
,In taré ikaayomé witi walé,and after being out in the public
,Puunala ing kuman,Before you eat
,Sekezé u lengenmu ém pahwo’asala karia u sabong…,Always wash your hands with soap…
,"Kamurian,","And finally,"
,PAHGENANGELA UN TOU ,"Stay safe, everyone!"
,Lakez a méipantik witu tumoro apa an toro wangunen,Read the articles for more tips!
,"""This animation shows how far you sneeze can actually travel."" by Chia-Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)"
