,rel,eng
0,Wori Faayrashi Koroona miinsan,About Coronavirus
1,,
2,"Translated by Joshua Galimogle, Laban Eysinkele & Joshua Borano",
3,,
4,Wohoo kaldaye saggi Faayrashi Koroona itaa’ho at abatti on jira,
5,Saggi us itaaho’,
6,Af,
7,Sam,
8,Indo,
9,Miilassaah,
10,Eti feyyan,
11,Eti khannan,
12,Faayras chirri  hanjufti,
13,Foga ileero: Mitta lamma hanjuf a kaalaabta.,
14,Koow,
15,Mitta lamma,
16,Attissiyo,
17,"’Deerka chirri at etoo yarho, attissiyo ommos khannan agarte waha yeel:",
18,"Dafarti fool lakorsati sii: Intaas a kayarheene ommo a kaattissiyeen, uus ’doo’di isoodow khabsiin",
19,Lamma,
20,Dafarti lakaneebsati,
21,Ommos,
22,Kolossoo ma khannane sugeer on iskajeyissa.,
23,Enenyet a geeddi us khannanyahe i’daasenyi wihi tuso liiargine us enenyet khabsiicho.,
24,Ururre goya iiran a mehe eti khannan ma garatti.,
25,Kho’doomme,
27,Saabab,
28,Meelassi lafuro,
29,Khadaabbe,
30,Kokkoobbe,
31,Bir,
32,Darfohi fool lakorsati kharicho laka,
33,Faaneyohi lakakoro,
34,Ulaa’du,
35,Kalaamoyyo,
36,Afassi minanoot,
37,Dahano,
38,I’daasenyi hanjufti eti khannan ilassa a kidihta…..,
39,Atin tuumman a geeddi atin khannattaan,
40,Ommos fooli etaahkoo ’daarte,
41,Indo isrobto,
42,Chirri at wahanyeyyoha baabul ’daarte at toro foolaah ’daarte,
43,"Ichoow jiti kaldaye at holisso a chirri at saabbuun, ildawa ommos farso kadikhto.",
44,Faayras a geeddi us saha’dohoo meel kijiro,
45,Saabbuun,
46,Waansi,
47,A haaggantahe chirri at waansiha raahto,
48,Miilassa saabbuun kadikh,
50,Dikkil,
51,Foolaah ommos fooli etoo a’daarin. Geeddi at i’daarin dahanohaah koloo saabbuun kadikh,
52,Geedda at dikhatti  geeyoo gaaban kol lamma dowo,
53,Goffanne ilichooda,
54,Geeddoo dikh,
55,Farro dahchooda,
56,Dahanohaah adahcho dikh,
57,Weyti a mehe?,
58,Cha’at ’daarte awa’waa’din. Dahano saabbuun kadikho.,
59,Toro dafartaas fool khariche a’daarin.,
60,hanjuf,
61,Wihi sugeer keeno dafartaas fool goya kasoobahaan cha’at geeddi deer gessatte,
62,Dafarti fool chi’iche geeddoo fiddiite rog. Maalinkoo kalday akutin.,
63,Kucchugati golol lakagessati khab,
64,Weel,
65,Ooyo,
66,Abar,
67,Ebba dafartiis a khabo,
68,"Golol, karmo, kokkoobbe. Darfo isleegismina",
69,Dikkil fool ma ka’daarto koloo kalday laka.,
70,Afaf dikkil ommos barbar kafure ommos kahid dahano birriche mee.,
71,Goob,
72,Ichoow cha’at urur goya katimiy,
73,Geeddi at igolossan,
74,Kol dakkhan dahanohaah saabbuun kadikh,
75,Wihi ’da’ddaboot,
76,saabbuun,
77,"Mujjum fiddiiy, enenyet tuumman",
80,Worassaas mujjum soom,
81,"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
