,ahk,spa,wbm,eng
0,Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ,Sobre el Coronavirus,Grawh grawng viag Corona,About Coronavirus
1,,,,
3,,,,
4,,, Caw ti tawng viag Corona an mawh viag yuh ka mawx?  ,
5,,,Grawng pre viag.,
6,,,Jheeh ,
7,,,Meeh ,
8,,,Ngai ,
9,,,Chix tiang haok ka maix khaing ceu in. ,
10,,,Pui pa nyawm ot,
11,,,Pui koe jhawm saux ,
12,,,Jhawm saux chix pre yam jah rawm in. ,
13,,,"Ot 6 sawk, chix tieb tie ka viag pa yie tiang hu.",
14,,,1,
15,,, 6 sawk ,
16,,,   Haik cho ,
17,,,"Mah kheu nan, phan yaox pui mauk, miah mai saux caw ti hawt been awm pa koe plak greem awx. ",
18,,,"Tawx pa tawb meeh (mask) ka kix. Kheu miah, mauk nawh kadaux man tawb meeh, chix tieb tie ka pui pa koe rob rem tix heue.",
19,,,2,
20,,,Ting buan son (pui miah) ,
21,,,Phan ang mawh nan ,
22,,,Viang nawh ang saux kawx nawh chix tieb tie tokaux tix.,
23,,, Saux viag koe mie ding kaux ang chix goih tawng mawh kheu nan chix tiang hu khaing heue. ,
24,,," Kheu ex ang chix tawng pui mawx pa koe jhawm saux viag, caw tix via khaing dee ot pui hun heue.",
25,,,Thu shiao,
26,,, Pui nyawm ot ,
27,,,maox giex taix daux cheu,
28,,,pa yeen daux bawng cag,
29,,,plah ce,
30,,,kawk rawm  ,
31,,,kraung cag pa shiao ,
32,,, Plak praix man tawb meeh ,
33,,,Taix haok bawng ,
34,,,Maok  ,
35,,,Gawng tiiem ,
36,,,Pang siviex ,
37,,,Taix nawh ,
38,,,Khaix an mia pui saux kawx chix koe ka kraung shiao. Lox tiag ,
39,,,Chix tiang saux ka maix mai kix uik heue.,
40,,,Giex ka ngai baoh pui pa moh ,
41,,,Giex ngai tix ,
42,,,Phan maix krox ngai baoh tix khaing giex ceu an ,
43,,,Phan sang tieb tie caw ti khoek taix tix singax mhawm ka sidah khoek mai rawm sidah plai.,
44,,,Viag an pon ot im ka piang kraung shiao tom rheung heue. ,
45,,, Sidah khoek ,
47,,,Ceu pa caw ti yuh son krax tieb tie,
48,,,-      Phan hawt yuh awm an mawh pa nie mhawm heue. ,
49,,,Khoek tom hoek dee in ,
50,,,Sidah khoek ,
51,,,Jhong taix,
52,,,Paw teeh ka ngai baoh tix (a) ngai baoh pui tang kaux. Phan lo ti krox caw ti khoek taix tix ka sidah khoek mhawm mhawm heue. ,
53,,,Kieh rheeng bawgyam awm ah lox lai iak ra bawg awx,
54,,,Kadaux nghim taix ,
55,,,Rheeng 20 siekan ,
56,,,Sinax giien taix ,
57,,,Khoek plah taix ,
58,,, Kudah ah mawh pa tix? ,
59,,,Phan piawm krox paw khi rhawm caw ti khoek taix tix ka sidah khoek mhawm mhawm heue. ,
60,,,Paw krox ka plak praix man tawb meeh. ,
61,,,Rawm jah ba koe viag.,
62,,,Phan rheung jheep man tawb meeh tix mu viag chix ot ti ting daux man an heue. ,
63,,,Man tawb meeh shiao tix bawg paw shiao lheu khaing tix ngaix phan maox bhaw caw ti tik heue. ,
64,,,Shiao lawk tuh puk taux,
65,,,-  Kawn ,
66,,,Keeing ,
67,,,Miex ,
68,,,Kieh tang shiao man ot cao tix. ,
69,,,"Paw riem shiao ka kraung, kawk rawm, man awt mai priex ih tau. ",
70,,,Maix ang chix yuh jhong taix maix hu krox ka ngaix baoh maix ceeix kawx heue.,
71,,,Phan sang paoh siviex paoh ka jhong taix (a) nyheen paoh ka klip tix. Paw paoh ka taix tix. ,
72,,,Ka nyiex ,
73,,,Yam hoek khaing plak praix,
74,,,Sivoe ang nyang ih priex ,
75,,, Khoek taix ka sidah khoek sijheeng ,
76,,,Dee sidah ,
77,,,Sidah khoek,
78,,,Ot mhawm khaing krax lhat graung ,
79,,,Ot mhawm khaing krax,
91,,,,"Created by Weiman Kow, instagram: weimankow"
