,eng,bhp,ind
0,About Coronavirus,Na bune si virus corona re,
1,,,
2,,Diterjemahkan Oleh Nilahadinil Yakin,
3,,,
4,,Wara sabua pa di bade mena ba ita doho  bune loa kaina virus corona ake  hina rero dou.,
6,,Asa,
7,,Ilu,
8,,Mada,
9,,Ma lu'u ta dei,
10,,Dou ma da supu,
11,,Douma supu,
12,,Virus ake ke na loa hina rero dou ba oi fela ake,
13,,Kodo'o weki. Ita doho wati wara bune na sarica deka si ba oi fela maloasi kado'o weki du'a mete.,
14,,1,
15,,"2m-0,5m",
16,,Haaachiii (Eli be'ni),
17,,"Ndadi, ma eda deka si douma mehe/be'ni/supu, ita doho loa :",
18,,MBEIPU DOU DOHO DI KAPU KAI ASA (MASKER) Ndadi sedoho loa be'ni/mehe ta de'i di kapu kaina asa re lok na loa jaga dou doho ma wara ta kompena.,
19,,2,
20,,"      Tarima kasi ""eli tonto wowa""",
21,,ATO,
22,,Kombi dou akeke wati supu na. Pala sia cuma ruu jaga weki ndaina.,
23,,"Douma ma waura hina ka kombi wati katada na iu au au, pala ntenep loa na ka hina aka dou supu re.",
24,,"Loasi re aina lao aka hidi ma ndiha kai, alumu ita doho ti bade ta cou ncau ma munga supu.",
25,,Di ngaha kai,
27,,Nenti kai kereta,
28,,Kece kai tangga ma teka ese awa,
29,,Osa kai,
30,,Di nono kai,
31,,Alat ma mai bo'u,
32,,Kone ari mai di kapu kai asa,
33,,Nenti kai ncai ma teka londo,
34,,Di' nenti kai pas hengga deka komputer,
35,,Balpoi,
36,,Nenti kai ncai,
37,,Rima dou doho ,
38,,"Konena ndede, oi fela dou ma supu re na loa pandako aka…",
39,,Sara'a ita doho loa hina ba supu re.,
40,,"Ato pahu dou deni labo ta,",
41,,uju isi mada,
42,,"Pala watisi sengaja ta hina nenti sara'a alat edere, nggori ede nenti ta pahu weki ndaita,",
43,,"Sabua pa cara na ma loa poda kalao kai virus re ederu waca rima kani sabu, ka bura kai, atau alkohol.",
44,,"Virus ke na loa midi sampe du'a mpuru upa  jam ese wawo alat dohore,",
45,,Sabu,
46,,ara peso na re bune awa ake ke :,
47,,"Nggara ndede, tahopu batu ta",
48,,Waca kani sabu sampe ta ake wau.,
50,,Kani sumpu cihu rima,
51,,"Aina nenti pahu (ato pahu douma kalai) Nggara poda si harus di nenti, waca karaso wau pu rima ita dohore kani sabu.",
52,,"Bunesi munga  rawa ""selamat ulang tahun"" du'a kali.",
53,,Ta awa mai ba uhu,
54,,Sampe du'a mpuru detik,
55,,Aka niki niki rima,
56,,Waca deri/kontu rima,
57,,De bune carana waca rima sampe raso  re?,
58,,"De wausi hina nenti, aina ipi bune bune. Waca roci rima ta kani sabu.",
59,,Aina nenti ta ari mai ba kapu kai ta asa re.,
60,,Sarica kaiba oi fela,
61,,Bakteri re na loa ntau ana ta de'i kapu kai ta asa makani kantoi si.,
62,,Pakipu ra kapu kai ta asa (masker) wausi iu ta sampuna. Ain sampe kani ta kapu kai asa re ncewi dari sanai.,
63,,Ta kanipu ciru uta mbeca,
64,,Ana,
65,,Ama,
66,,Ina,
67,,Ta kanipu handu weki ndai ta.,
68,,"Aina kani ka sama di ngaha kai, alat di ngaha kai, gela ro osa kai sarumbu (handu).",
69,,"Ita doho wati loata nenti pahu ta kani sumpu  rima ta, coba aja ni.",
70,,"Loasire, hengga ato kapu ncai kani sumpu rima ato ancu.",
71,,Uma,
72,,Nggori lao losa ari lua uma,
73,,Sawatib ngaha ta,
74,,Aina nefa waca rima ta kani sabu...,
75,,"Cumpu kaina,",
77,,Aina nefa jaga weki ndai ta! ,
80,,Baca pu info ra mbei makalai rau ta ese re!,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
84,,Ma paling perlu dibade ta re info medis na:,
