,rus,eng,cgc
0,Способы избежать распространения COVID-19,Ways To Avoid The Spread Of COVID-19,Mga Paagi Para Malikawan Ta Paglapta Ta COVID-19
1,,,
5,World Health Organization﻿Всемирная организация здравоохранения ,,
6,﻿Дарья Давидовская SIL LEAD,,
7,Дарья Давидовская,,
8,"Written in Bisaya by Alec P. Estalilla, Northern Mindanao",,
10,Всегда мойте руки с мылом и водой в течение 20 секунд.,,
11,"Не дотрагивайтесь до лица особенно до глаз, носа, рта или ушей!",,
12,"Носите маску, если вы болеете.",,
13,"Не забывайте протирать ваш телефон, дверные ручки, столы и другие предметы.",,
14,"Усиливайте вашу имунную систему с помощью фруктов, овощей и витаминов.",,
15,Избегайте нахождения в толпе! Держитесь на расстоянии одного метра от других людей.,,
16,"Не паникуйте, покупая продукты в магазинах.",,
17,"Всегда читайте и следите за последней информацией, чтобы избежать фальшивых новостей, которые создают панику. ",,
20,"Способы избежать распространения COVID-19    Способы избежать распространения COVID-19 World Health Organization﻿Всемирная организация здравоохранения  ﻿Дарья Давидовская SIL LEAD Дарья Давидовская Written in Bisaya by Alec P. Estalilla, Northern Mindanao  Всегда мойте руки с мылом и водой в течение 20 секунд. Не дотрагивайтесь до лица особенно до глаз, носа, рта или ушей! Носите маску, если вы болеете. Не забывайте протирать ваш телефон, дверные ручки, столы и другие предметы. Усиливайте вашу имунную систему с помощью фруктов, овощей и витаминов. Избегайте нахождения в толпе! Держитесь на расстоянии одного метра от других людей. Не паникуйте, покупая продукты в магазинах. Всегда читайте и следите за последней информацией, чтобы избежать фальшивых новостей, которые создают панику.   ",Ways To Avoid The Spread Of COVID-19    Ways To Avoid The Spread Of COVID-19               ,Mga Paagi Para Malikawan Ta Paglapta Ta COVID-19    Mga Paagi Para Malikawan Ta Paglapta Ta COVID-19               
