,mya,ahk,pce,eng
0,Covid-19ကို ရှောင်ရှားခြင်း , Covid-19ကို ရှောင်ရှားခြင်း,လုဝ် ဝး ဆဝ် ရောဂါ COVID-19,Avoid COVID-19
1,,,,
5,,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
6,,,,Literacy for Women in Africa
7,,,,"Translator from English-Ah Suhn Translator to Ruching- Ngin, Awk Illustrator Ai Yawn Kap"
11,,,,လုဝ် ဘာယ်ဒဲ တာ ဆာပျာ ဆေဆေ။ အာဝ် ပါယ် တီ၊ လုဝ် တာ အာယဲင်ပျာ ပီ ထုင် ဘ့လေး ဂေ ဆီနမ် အီဇဲန် တီ၊ လုဝ် ဖဝ်း တူထေတ့် ဆီချာ ဒီ ဒဲ အေ။
12,,မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။,ငါယ်၊ ဂုင်မုး၊ အာဝ် လုဝ် ပါ။,"Avoid touching eyes, nose and mouth. "
13,,နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။,ဆေ ဟဲ့ အာစှေး၊ ဘော ကာအုဝ့် လုဝ် ကာဘိတ် ဂုင်မုး ဂေ မူတ့် တာ ဂုင်ဂး၊ ဘော တာ ဇေ န့စမ်။ ဇေ ပီ ဟဲ့ ဟွတ့် တာ တွိုန် လုဝ် ဝဲန် ခဲင် ခွန် ကာအး ​ဒေါမှဝ် ဒေါအန်။,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
14,,လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။,ဒူအီ အူအီ အူအီ နီ လုဝ် ကွယ် ကာတူင့်၊ မုး ပြေတ့် အန်၊ အူအီ နီ၊ တဲး န့မုး အာ မီတာ ကာတူင့် အန်။,Maintain 2 meters distance between yourself and others.  
15,,နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။ ,ဆေ ဟဲ့ ဆဝ် လုဝ် ကွယ် ဒီကာင်။ ဆေ ဘော ကာအုဝ့် ဘော ညှာပ် ဟိုဝ်းဖွိုမ်၊ ဆေ ဘော မိုဝ်း ဆဝ်ဒါတ် လုဝ် ဟာဝ် ဘျာ ဒီယု  ဆီနမ် ဒေါမှဝ် ဒေါအန်။,"Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
16,,COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။,လုဝ် နပ် ဒီဒိုဝ်း ဒီထူမ် ဆီဒါင် ရောဂါ COVID-19 လွင် ပီ ပါယ် အန်။ ဂေ အီ တဲး အာကျာမ် အာငျာန် ပီ ပါယ် ဒီ လုဝ် ဂွင့် ရဲ နီ၊ လုဝ် ထူမ် ဒူပ် ဘူင် ဒူပ် ဆီချာ။,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
19,Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း               , Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း        မျက်စိ၊ နှာခေါင်းနှင့် ပါးစပ်ကို မထိပါနှင့်။ နှာချေ၊ ချောင်းဆိုးတဲ့အခါ သင့်နှာခေါင်းနဲ့ ပါးစပ်ကို တံတောင်ဆစ် (သို့) တစ်ရှူးနဲ့အုပ်ထားပါ။ ပြီးလျှင် ယင်းတစ်ရှူးကို ချက်ချင်းအမှိုက်ပုံးထဲ ထည့်ပါ။ လူတစ်ယောက်နဲ့တစ်ယောက် အနည်းဆုံး ၂မီတာအကွာတွင် နေပါ။ နေမကောင်းဖြစ်လျှင် အိမ်တွင်နေပါ။ ချောင်းဆိုးခြင်း၊ အသက်ရှူရခက်ခြင်းနှင့် အဖျားရှိနေပါက နီးစပ်ရာ ဆေးရုံ ဆေးခန်းသို့ အမြန်ဆုံး သွားရောက် ပြသပါ။  COVID-19 နှင့်ပတ်သက်၍ နောက်ဆုံးရသတင်း အချက်အလက်များကို ရယူပါ။ ကျန်းမာရေးဝန်ကြီးဌာနမှ အခါအားလျော်စွာထုတ်ပြန်ထားသည့် အကြံပြုချက်များကို ကောင်းစွာ လိုက်နာပါ။  ,လုဝ် ဝး ဆဝ် ရောဂါ COVID-19    လုဝ် ဝး ဆဝ် ရောဂါ COVID-19        ငါယ်၊ ဂုင်မုး၊ အာဝ် လုဝ် ပါ။ ဆေ ဟဲ့ အာစှေး၊ ဘော ကာအုဝ့် လုဝ် ကာဘိတ် ဂုင်မုး ဂေ မူတ့် တာ ဂုင်ဂး၊ ဘော တာ ဇေ န့စမ်။ ဇေ ပီ ဟဲ့ ဟွတ့် တာ တွိုန် လုဝ် ဝဲန် ခဲင် ခွန် ကာအး ​ဒေါမှဝ် ဒေါအန်။ ဒူအီ အူအီ အူအီ နီ လုဝ် ကွယ် ကာတူင့်၊ မုး ပြေတ့် အန်၊ အူအီ နီ၊ တဲး န့မုး အာ မီတာ ကာတူင့် အန်။ ဆေ ဟဲ့ ဆဝ် လုဝ် ကွယ် ဒီကာင်။ ဆေ ဘော ကာအုဝ့် ဘော ညှာပ် ဟိုဝ်းဖွိုမ်၊ ဆေ ဘော မိုဝ်း ဆဝ်ဒါတ် လုဝ် ဟာဝ် ဘျာ ဒီယု  ဆီနမ် ဒေါမှဝ် ဒေါအန်။ လုဝ် နပ် ဒီဒိုဝ်း ဒီထူမ် ဆီဒါင် ရောဂါ COVID-19 လွင် ပီ ပါယ် အန်။ ဂေ အီ တဲး အာကျာမ် အာငျာန် ပီ ပါယ် ဒီ လုဝ် ဂွင့် ရဲ နီ၊ လုဝ် ထူမ် ဒူပ် ဘူင် ဒူပ် ဆီချာ။  ,"Avoid COVID-19    Avoid COVID-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Translator from English-Ah Suhn Translator to Ruching- Ngin, Awk Illustrator Ai Yawn Kap    လုဝ် ဘာယ်ဒဲ တာ ဆာပျာ ဆေဆေ။ အာဝ် ပါယ် တီ၊ လုဝ် တာ အာယဲင်ပျာ ပီ ထုင် ဘ့လေး ဂေ ဆီနမ် အီဇဲန် တီ၊ လုဝ် ဖဝ်း တူထေတ့် ဆီချာ ဒီ ဒဲ အေ။ Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
