,lts,nij,eng,ind
0,Olumbe lwa Korona,Pahurui Virus Corona,About Coronavirus,Tentang Virus Corona
1,,,,
3,,,,
4,,Baya ice hal je perlu ikam haratie en arak pahurui virus Corona ,,
5,,MANJAKIT,,
6,,Nyama ,,
7,,Urung ,,
8,,Mate ,,
9,,Tame akan suang ,,
10,,Ulun barihas ,,
11,,Ulun diya barihas ,,
12,,Virus akan manjakit amun samburan iweh tuh ,,
13,,Manjaga kakecau. Ikam akan aman bara samburan danum iweh amun manjaga kakecau 2m. ,,
14,,1,,
15,,"2m-0,5m",,
16,,Haaachii!! ,,
17,,"Jari, metuh ikam manggite ulun bajemuh/banyin/diya barihas, ikam tau : ",,
18,,"NENGA AKAN LUSE MASKER. Jari luse tau banyin/bajemuh njung suang masker je, hapa ngalindung ulun are je tehe kaliling iye. ",,
19,,2,,
20,,Tarima kasih *SROOT* ,,
21,,ATAWAI ,,
22,,Mukin ulun jiye keme arep barihas. Iye baya ngalindung arep’e. ,,
23,,"Ulun je jari tajakit mukin diya ati arak tanda, tapi tatap tau manjakit peres’e. ",,
24,,"Njung akan ita uras, keleh mahila bara ukan ulun rami, gawi ikam diya tawan ewei-ewei je metuh diya barihas. ",,
25,,Pakakas hapa kuman ,,
27,,Tatut njung kareta ,,
28,,Tumbul lift ,,
29,,Tisu ,,
30,,Galas ,,
31,,Pakakas digital ,,
32,,Malah njung hila luar masker ,,
33,,Tatut tangga ,,
34,,Tetikus ,,
35,,Pen ,,
36,,Tatut baun tunggang ,,
37,,Lengen luse ,,
38,,"Manyau kilau jiye, tau kiya danum iweh ulun je dia barihas tau maleket njung… ",,
39,,ikam uras tau hawan kiya. ,,
40,,"atawai baun kare ulun je dani ikau, ",,
41,,manguhus mate ,,
42,,"Amun ikam diya sangaja tatekap barang banda jiye, limbah jiye tatekap baummu kabuat, ",,
43,,"Ice duha cara je paling pas hapa manganan virus jiye, iye je ngenyau hapa sabun, pamuti, atawai alkohol. ",,
44,,Virus jituh tau batahan sapai 24 jam njung ice banda. ,,
45,,Sabun,,
46,,cara mahila kilau tuh.,,
47,,"Gawi jiye, kalamus numun ih ",,
48,,Ngenyau hapa sabun sapai situh.,,
50,,Sikun lenge ,,
51,,"Ilah nekap baumu (atawai bawun ewei bewei). Amun memang diya tau diya, ngenyau barasih lengem umba sabun. ",,
52,,Kilau manyanyi lagu “Happy Birthday” due kali. ,,
53,,Nga penda silu ,,
54,,Katahin 20 detik ,,
55,,nga helang-helang tinjuk ,,
56,,Ngenyau tekuk lukap ,,
57,,En arak cara mengenyau lenge sapai barasih? ,,
58,,"Amun tatekap, ilah gaer. Balias ih ngenyau lenge hapa sabun. ",,
59,,Ilah nekap hila luar masker. ,,
60,,Samburan danum iweh ,,
61,,Bakteri tau manganak manjaria njung hila suang masker amun hapa halau tahi. ,,
62,,Nganan maskermu amun jari balike. Ilah mahapa masker je labih bara jandau. ,,
63,,Hapa ih takip sayur ,,
64,,Nyanak ,,
65,,Yapang ,,
66,,Indang ,,
67,,Hapa ih anduk hai-hai ,,
68,,"Ilah talinjam panginan, pakakas hapa kuman, galas tutang anduk. ",,
69,,"Ikau diya tau manekap baumu hapa sikum kabuat, lauh ih. ",,
70,,"Sabuli-bulih, nguap atawa ngatep baun tunggang hapa siku atawai bahu. ",,
71,,PASAH,,
72,,Limbah miar balua bara pasah ,,
73,,Helu bara kuman ,,
74,,Halajur ngenyau lengemu hapa sabun…. ,,
75,,"Kahapus, ",,
77,,Haga ih karihas! ,,
80,,Mbasa auh-auh beken njung surat-surat je ngambu! ,,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
83,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
84,,Bahan hapa bapikir  hapa mangabar auh medis: ,,
