spa,eng
Una experiencia familiar con COVID-19 en casa,A Family’s Experience with COVID-19 at Home
,
Orientación precisa y de fácil comprensión para las familias y comunidades que deben cuidar a los pacientes con COVID-19 en el hogar sin ayuda médica. ,
"Lois W. Varenkamp  Imágenes por Mark Marcuson, © 2021 SIL International. CC BY-NC 4.0.",
"Adaptado con permiso de “COVID-19 Home Based Care: How  to do it best for the patient and the family,” (Cuidar a los que contagian Covid-19: Cómo hacerlo mejor para el paciente y la familia), 2020, Difaem - German Institute for Medical Mission, www.difaem         Este recurso se ha desarrollado utilizando fuentes acreditadas de salud pública únicamente con fines educativos. No sustituye el consejo médico profesional. Si tiene preguntas o inquietudes sobre cualquier tema descrito aquí, consulte a un profesional de la salud. ",
,
"Anita y su familia viven en un pueblo pequeño. Le encanta su trabajo como maestra, pero la escuela está cerrada debido al virus COVID-19.",Anita and her family live in a small town. She loves her job as teacher but the school is closed because of the COVID-19 virus.
"En casa, Anita ha escuchado programas de radio y ha aprendido mucho sobre el virus y cómo evitar que se propague.","At home, Anita has listened to radio programs and has learned a lot about the virus and how to keep it from spreading."
"Con todo lo que ha aprendido, Anita ayuda a enseñar a su comunidad cómo evitar ser contagiado por el virus.",With all that she has learned Anita helps to teach her community how to keep themselves safe from the virus.
"Aunque salir y hablar con mucha gente aumenta el riesgo de contraer el virus,  ella sabe que es importante que todos sepan cómo prevenir la propagación del virus. Les enseña a sus vecinos: ""Debemos lavarnos las manos con frecuencia""."," Even though going out and talking with lots of people increases her risk of getting the virus, she knows that it’s important for everyone to know how to prevent the virus from spreading. She teaches her neighbors, “We must be careful to wash our hands often""."
Luego explica: “Necesitamos usar mascarillas cuando salimos de la casa o cuando estamos con personas que no viven en nuestra casa”.,"Then she explains, “We need to wear masks when we  leave our homes or when we are with people who do not live in the same house as us""."
"""También debemos tratar de evitar pasar mucho tiempo con personas ajenas a nuestro hogar”.","""We also must try to avoid spending lots of time with people outside of our own household""."
"“Además, debemos mantenernos a dos metros de otras personas cuando compramos, trabajamos o hablamos con los vecinos”.","""Also, we need to keep two meters away from other people when we shop, work or talk to neighbors""."
"""Hacer estas cosas ayudará a evitar que el virus pase de persona a persona"".","""Doing these things will help to stop the virus from spreading from person to person”."
"Un día, Anita no se siente bien. Tiene un fuerte dolor de cabeza, fiebre y ha comenzado a toser. Además, se da cuenta de que no puede oler ni saborear la comida. Anita reconoce que tiene Covid-19.","One day, Anita doesn’t feel well. She has a bad headache, a fever, and has begun to cough. Also, she notices that she cannot taste or smell her food. Anita realizes that she has Covid-19. "
"Inmediatamente le dice a su familia: “Todos debemos quedarnos en casa y mantenernos alejados de los demás. Es posible que ustedes también tengan el virus, aunque no se sientan enfermos. Fácilmente podrían contagiar el virus a otros"".","Right away she tells her family and says, “We all need to stay home and keep away from others. You might have the virus, too, even though you do not feel sick. You could easily spread the virus to others.”"
Entonces Anita comienza a quedarse sola en una habitación separada.Ella no quiere contagiar la enfermedad a su familia.,"Then Anita goes and stays alone in a separate room, away from the family. She does not want to give them the sickness."
"David, el marido de Anita, se hace cargo de ella. Él le trae comida y se lleva los platos vacíos. Él mantiene los platos que Anita usa separados de los que usan la familia.","Anita’s husband, David, takes care of her. He brings her food and takes away the empty dishes. He keeps her dishes separate and only Anita uses them."
David siempre usa una mascarilla cuando entra a la habitación dónde queda Anita. También se lava las manos cada vez que hace algo por ella. Anita también pone una mascarilla cuando él entra a la habitación.,David always wears a mask whenever he goes into her room. He also washes his hands every time he does anything for her. Anita also wears a mask when he comes into the room.
"La familia comparte un baño. Así que, cuando Anita lo usa, siempre usa una mascarilla.","The family shares one bathroom. So whenever Anita uses it, she always wears a mask. "
"Cuando termina, ella limpia el baño con una solución desinfectante antes de regresar a su habitación.","When she is done, she wipes down the bathroom with a disinfectant solution before going back to her room."
"Después de un par de días, Marcos, el hijo de 8 años también comienza a sentirse mal. Luego, a la madre de Anita que vive con ellos, le da fiebre. Ambos se mudan a la misma habitación con Anita para tratar de mantener sanos al resto de la familia.  El marido de Anita sigue siendo el único de la familia que trae comida y cuida a los tres familiares enfermos.  La habitación donde se alojan Anita, su madre y Marcos es pequeña y está abarrotada. ","After a couple of days, Marcos, Anita’s 8 year old son, starts feeling bad too. Then her mother, who lives with them, develops a fever. They both move into the same room with Anita to try to keep the rest of the family safe.  Anita’s husband continues to be the only one in the family who brings food and cares for the three sick family members.  The room where Anita, her mother, and Marcos stay is small and crowded."
"Afortunadamente, la habitación tiene una puerta al exterior. David establece un lugar fuera de la puerta donde los tres miembros enfermos de la familia pueden descansar y disfrutar del aire fresco.","Happily, it has a door to the outside. David sets up a place outside the door where the three sick family members can rest and enjoy the fresh air."
"Para ayudar, las hijas de Anita y David cocinan y lavan la ropa.",Anita and David’s daughters cook and do the laundry to help out.
