,ahk,spa,yin,eng
0,Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ,Sobre el Coronavirus,Lawng yawz ka mah phrihz korona ,About Coronavirus
1,,,,
3,,,,
4,,,Lo mas mok mah phrihz korona ne naeh mah phrihz ceun nae,
5,,,teur takz,
6,,,mony ,
7,,,keu dawhz,
8,,,ngaai,
9,,,Moh aarz ni lan phraeoz a mih,
10,,,ihz moh rak,
11,,,ihz penz ,
12,,,Meuz cakz keu ni car ne aez yawz ka an ni prae. ,
13,,,moh yaan ponz keu teungz leuz ne lawt takz yawz ka.,
14,,,1,
15,,,ponz keu teungz leuz (aarz metz),
16,,,keum casz ,
17,,,"Beuk mih awlz ihz seu hawkz hawkz eulz, keum casz, reum keu ni kaw mih caang cih boh seu meoz meoz. ",
18,,,aez keuh nahz seum bitz keu dawhz.Keuh keum casz nam anz kaw eulz tuhz an diz ne kan aez yawz ka ihz naeh thatz daehz.,
19,,,2,
20,,,kez cuz mawh baaiz (ihz keum okz),
21,,,"nam anz kaw, ",
22,,,sangz daz hnhz nam maang reum kaw hnhz caang kan mial toz daehz.,
23,,,sangz daz maang boh yawz ka kaw nam caang plaez yawz ka keuiz daz caang teur takz boh.,
24,,,kawp nam mas yaeh maang yawz ka rae wiar ihz wungz.,
25,,,kawn kaepz ,
26,,,ihz mok rak,
27,,,tihz law li boh tihz yeu thaz ,
28,,,mangz keur wah,
29,,,cez watz,
30,,,omz klakz ,
31,,,phrihz phrahz caak,
32,,,thaz nawk seum bitz keu dawhz,
33,,,tihz reung duangz,
34,,,seum kraai khuakz caak ,
35,,,seum taemz,
36,,,tihz keur wah,
37,,,tihz keuh,
38,,,omz nyaangz ihz penz keui teur laehz teur pawk caang klaez kaai phrihz phrahz seu meoz meoz.,
39,,,"keuh caang reum, caang takz",
40,,,teu ngaai ihz ti daehz rak ne,
41,,,meuz truz nyual mial ngaai daehz,
42,,,beuk pehz a wa teu phrihz phrahz seu meoz meoz an maang mah phrihz an diz kaw,
43,,,aez ehz kan bawnz ne leh seu pya nam anz kaw leh omz a yaetz phaan cih mok keui khez rak rak.,
44,,,mah phrihz an ni caang moh kaai phrihz phrahz heungz na ri baaiz.,
45,,,seu pya,
47,,,An caang kan naeh hanz meoz,
48,,,cih tawiz keu ni kaw rak baaiz.,
49,,, leh seu pya khez phraeoz a niz.,
51,,,tawkz wawk,
52,,,yak teu ngaai daehz. Nam anz kaw yak teu ngaai ihz. Beuk daz nam teu nam caang daz kaw khez aacz tihz sirz sirz. ,
53,,,aez ceu nawhz seu ngawk haepz piz beutz ta aarz laehz,
54,,,tawiz reum himz,
55,,,ta aarz kawlz caek kaanz,
56,,,tawiz peur lah reum haz ,
57,,,khez butz tihz ,
58,,,Sirz sirz ne daz naehz?,
59,,,beuk lan teu maen kaw yak kawcz phawmz. Leh seu pya khez mial tihz daehz. ,
60,,,yak teu plaakz thaz nawk seum bitz keu dawhz.,
61,,,cakz,
62,,,sapz mok seum bitz keu dawhz ceu nawhz baaiz kaw mah phrihz caang mawh tuhz an diz. ,
63,,,seum bitz keu dawhz teun akz ne yak cao leuz seu seu ngihz. Nuarz a wa thurz kaw thengz. ,
64,,,cao laak sawtz sawtz seu tuhz.,
65,,,kuanz ihz ,
66,,,paz,
67,,,mah,
68,,,cao seum watz daehz leun,
69,,,"seum suamz, klohz sroz seu tuhz sroz kaaiz, klakz omz boh seum watz ngaai keui yak cao teur kawmz. ",
70,,,cih seu naez kaw dangz darz daehz nam caang teu ngaai daehz.,
71,,,meuz lawk dapz keur wah ne leh dangz  darz (nam anz kaw) leh cawkz pahz nyunz. Beuk caang kaw yak leh tihz lawk dapz. ,
72,,,kaang ,
73,,,meuz weng truz thaz nawk,
74,,,meuz maat suamz seum suamz,
75,,,leh seu pya khez tihz se se ,
76,,,meuz teuk wa ,
78,,,moh aez lawt phez klawhz ihz ,
79,,,moh aez lawt phez klawhz ihz,
91,,,,"Created by Weiman Kow, instagram: weimankow"
