,spa,xmm,eng
0,Sobre el Coronavirus,TENTANG VIRUS KORONA,About Coronavirus
1,,,
3,,,
4,,Cuma ada satu hal tu ngoni musti mangarti tentang bagimana virus korona,
5,,bajangke pa orang laeng.  ,
6,,Mulu ,
7,,Idong ,
8,,Mata,
9,,Maso ka dalam ,
10,, Tu orang sehat,
11,,Tu orang saki ,
12,,Ini tasebar pa orang waktu ada virus ,
13,,Bajaga jarak. Ngoni nyanda mo takana akang tu virus kalu ngoni bajaga jarak barang 2 meter.,
14,,1,
15,,2,
16,,Hachi! ,
17,,"So itu, waktu ngoni lia ada  orang bakokehe/bahachi ngoni musti:",
18,,Kase akang masker pa dorang. Dorang bole mo bakokehe di dalam masker for mo jaga tu orang-orang laeng yang ada di dekat pa dia.,
20,,Makase banya * batarek ingus * ,
21,,ATO ,
22,,Ni orang stou nyanda saki mar dia cuma mo jaga de pe diri.,
23,,Bole jadi ada orang yang so takena tu virus mar nyanda ada tanda apa-apa. Dorang bole mo se jangke pa orang laeng ,
24,,Lebe bae bajao jo dari tampa-tampa rame lantaran ngana nintau sapa tu da samantara saki di situ,
25,,Alat-alat makang ,
26,,Orang sehat ,
27,,Tampa pegang kreta ,
28,,Tombol lift ,
29,,Tisyu ,
30,,Glas ,
31,,Barang-barang elektronik ,
32,,Tangga pe tampa pegang ,
34,,Mause ,
35,,Polpen ,
36,,Tampa pegang pintu ,
37,,Dorang pe tangan ,
38,,"Biar lei bagitu, lengkali orang saki pe luda bole mo tatempel di :",
39,,ngoni samua bole mo saki.,
40,,Ato kore tu orang yang ngoni sayang pe muka ,
41,,Kuca-kuca tu ngoni pe mata ,
42,,"Kalu ngoni nyanda sengaja da sontong sala satu jo dari tu barang-barang itu, kong abis itu kore tu ngoni pe muka, ",
43,,"Cuma ada satu cara paling gampang for mo kase mati ni virus. Ngoni musti cuci tu barang-barang itu pake sabong, pemutih ato alkohol.",
44,,"Ni virus bole mo batahang di barang-barang slama bebrapa jam,",
45,,Sabong ,
47,,Cara supaya nyanda mo tajangke ni virus,
48,,"So itu, lebe bae tare ngoni iko ini ",
49,,cuci deng sabong sampe sini ,
51,,Tangan pe siku ,
52,,"JANG KORE NGONI PE MUKA  (ATO TU ORANG LAENG PE MUKA). Kalu memang musti mo kore, tu tangan musti cuci “enteru” dulu pake sabong.",
53,,"De pe lama sama deng da manyanyi lagu ""Slamat hari jadi"" dua kali ",
54,,Kuku-kuku pe bagean bawah ,
55,,Slama 20 detik ,
56,,Di antara jare-jare  ,
57,,cuci  tu tangan pe bagean blakang ,
58,,Apa de pe maksud cuci tangan “enteru”? ,
59,,"Kalu so tapegang, jang tako. Capat-capat jo pi cuci deng sabong tu ngoni pe tangan ",
60,,Jang kore tu masker pe bagean luar ,
61,,Tu Virus ,
62,,"Tu bakteri bole mo jadi lebe banya di dalam masker, kalu ngoni talalu lama pake ",
63,,Buang jo tu ngoni pe masker yang so kotor. Jang ja pake masker lebe dari satu hari! ,
64,,Pake leper sandiri ,
65,,Anak,
66,,Papa,
67,,Mama,
68,,Pake handuk masing-masing ,
69,,"Jang baku berbage makanan, kong tu alat-alat makang deng handuk jang ja baku ganti pake ",
