,fra,bfm,eng
0,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Eghɛ zɛ ə ò kyi sə̂ ke komə̀ KÒLONA VALÙS pî KOVIT-19,What you need to know about the CORONAVIRUS or COVID-19
1,,,
2,,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
5,,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
8,,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P.O. Box: 16 550 Yaoundé, Cameroon"
10,,,
11,                                                  SOMMAIRE,                         ETU Ə GHƐVE ,                    SUMMARY
12,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,-Kòlonavalùs                                         -Ghɨ ghɛ ə ze kaʼa ə ze mbase ko ghənə -Chwìə sə təynse                                  -Ndom tɛ ə kòlonavalòs tyaŋa ətəyn   -Ndom vɛ ə ò kàʼa ò tɔʼne è ngɨŋ zɛzè ətəyn                         -Ò kàʼa ò ghayn ghɛ ezho ghɛ ə zaf ətəynze ko ghô zə?,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
16,p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5  p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
17,"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Kòlonavalùs  Kòlonavalòs mə ə tɔŋtə̂ kəpi nə KOVIT 19,  nyi valòs èfe. E tè zhə̀te ə Chiyna ə 31 ə njɔŋ èpɨyn 2019. Chwìə sə təynse nyi kə azɔ̀ʼ ekwuŋəke, mə ze tsɛ̂nè ə ghò ewìyn, ò kàʼa ò kwu. Ze nyi mə ze ə waŋ ndaʼte tsɨte ə mbi. Ə paʼà nyìəm kê luʼ vɛ ə zaf ətəynze ndô ətəyn.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
20,Personne âgée,Wùə ndumə,Elderly person
22,Personne cardiaque ou souffrant de maladie,Wùə vɛ ə è kyi ləʼke ə və ətəm pî èzaf,Person with a heart condition or disease
23,"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Ghɨ ghɛ ə ze kaʼa ə ze mbase ko ghənə  Valòs èfe nə zɨnə kaʼa è ko naʼà pindè. Ndumneghe è ghɨ ghɛ ə ghe kayne kyi kaynse ətèzaf tɨnə ə ghənə ewìyn, kə (azhwìse, è zaf zɛ ə wùə zhiə tsɛsə̀ shuʼə̀ ze ə ko vəyn, zaf atamze è ndə̂mê kɔʼɔ̂m) nyi ə ghɨ ghɛ ə zaf ətəyn kaʼa ə ze zaŋse ko ghənə naʼà sə atyaʼ.","Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus."
26,- Fièvre - Fatigue,-Wiyn kasəve -Epo,Fever Fatigue
28,- Toux sèche - Douleurs musculaires,"-Zɔ̀ʼ ə zoməke, -Wiyn zafəve",Dry cough Muscle aches and pains
