lts,mkn,eng,ind
Olumbe lwa Korona,Soal virus Corona,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Ada satu hal yang kotong dapa tau soal virus Corona pung tasebar karmana.,,
,mulu ,,
,idong ,,
,pung mata ,,
,pung aer liur maso pi ,,
,Orang sehat ,,
,Orang saki ,,
,Ini virus tasebar kalo,,
,Na jaga jarak. Bosong son akan kena orang saki pung aer liur kalo jaga jarak 2m.,,
,1,,
,"2m-0,5m",,
,Haachii!! ,,
,"Jadi, kalo bosong lia ada orang saki ko batuk ko bersin… ",,
,KASI DONG MASKER. Jadi dong bersin ko batuk na di dalam dong pung masker. Deng bagitu orang laen son kena. ,,
,2,,
,Makasi bam-banya “SROOOT” ,,
,ATO ,,
,"Orang pake bagini, bukan saki te dia ada jaga dia pung diri. ",,
,Kadang orang laen su kana ma kotong son lia dia pung gejala. Biar bagitu dia masi bisa kasi sebar dia pung virus tu. ,,
,"Le bae jang pi di tampa rame, tagal bosong sonde tau sapa yang su dapa ini panyaki/virus. ",,
,Alat makan ,,
,Kareta pung tampa pegang ,,
,Tombol lif ,,
,Tisu,,
,galás ,,
,Hp ko computer ,,
,Masker pung luar ,,
,tangga pung tampa pegang ,,
,Maus,,
,Bolpen,,
,Kanop pintu,,
,Dong pung tangan ,,
,"Jaga-jaga sa, te orang saki pung aer liur bisa tatempel di….",,
,na bosong samua bisa saki,,
,ato raba orang ruma dong pung muka ,,
,"ato goso mata, ",,
,"Kalo bosong son sengaja raba kena itu barang dong, ais raba bosong pung muka sandiri, ",,
,"Ada satu jalan bae ko bisa kasi ilang ini virus, andia deng cuci tangan pake sabun, bycline ko alkohol. ",,
,Ini virus bisa batahan di atas satu benda selama 24 jam ,,
,Sabun,,
,cara jaga diri dari ni virus.,,
,Andia ko le bae iko ini,,
,cuci tangan na cuci sampe siku,,
,Siku,,
,Jang raba bosong pung muka (ato orang laen pung). Le bae cuci tangan pake sabun babae dolu. ,,
,Bisa itong waktu pake manyanyi lagu “selamat ulang tahun” dua kali. ,,
,kuku dong ,,
,salama 20 detik ,,
,cela jari dong ,,
,cuci talapak tangan ,,
,Pake ini cara ko cuci tangan sampe barisi. ,,
,"Kalo son sengaja sonto kena, na capát cuci tangan pake sabun. ",,
,Jang sonto masker pung luar ,,
,aer liur ,,
,Bakteri bisa bakutu di dalam kalo pake talalu lama. ,,
,"Buang masker kalo su kotor. Kalo bisa pake satu hari sa, abis itu buang su. ",,
,Pake sendo sayur ,,
,Ana dong,,
,Papa,,
,Mama,,
,Sat-satu pake dia pung handuk. ,,
,Jang sama-sama pake alat makan ko alat pake macam ke galas ko handuk. ,,
,Kotong son bisa raba muka sandiri pake siku ko bahu to? ,,
,Kalo bisa na buka pintu pake siku ko bahu. ,,
,Ruma,,
,Sabalom maso ruma ,,
,Sabalom makan ,,
,Cuci tangan tarus deng sabun ,,
,Inga! ,,
,Jaga ko jang saki! ,,
