,eng,bax,fra
0,What you need to know about the CORONAVIRUS or COVID-19,Yulerə́ yʉ̄ə̄ á ntâ'’pʉəən yí mf́ nduun yaa tǎ KORÓNA ŋgáāŋgâ COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
1,,,
2,,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
5,,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
8,,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
11,,              NYǗ'SHƏ NDA LEREWA,                                                  SOMMAIRE
12,,"- Tǎ koróna - Pwə́tkêt pʉəən - Rǐ yāā - Nshyeerə yâ myenə pʉəən - Tʉ́ə́’shə́ ŋwə̄t - Yáá kə mve u, u ghet nāā nə? ",- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
16,,p.2 p.3 p.4 p.5 p.6 p.8 ,p.2 p.3 p.4 p.5 p.6 p.7 p.8
17,,"Tǎ koróna yʉ́ə́ pə́ téē mbīt mfūū nə KOVID-19 nā, púa’  poo tǎ mfē. Pum káá pə́ kwə́tə́ ī nā, á poo má Shīna nə 31, tʉ mʉʉt tǒn lʉ̄m, tʉ lʉm 2019. Rǐ shí púa'  ŋgʉə́ŋgʉ̄ə̄ yiekâ yí fūfū'  mbí yetnə̌ ŋɔ́'  mʉʉn  fʉ́'  yie yāā fāām a. Yírə yāā sǎm tʉ sááŋgu rɛ̌ní tʉ nzhʉmáánsyē. Ntwə́ mee ndyɛ̂' shîí, pə́ mâ mbə́ yî ŋá yʉ̄ə̄ yírə̄ yi yāā lɔ̄' na.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
20,,M̀kpara’ mʉʉn,Personne âgée
22,,Ŋgaayāā tʉ lámntʉ̄ʉ̄m,Personne cardiaque ou souffrant de maladie
23,,"Pwə́tkêt pʉəən   Tǎ  myenə pʉəə́n nā mvê ŋguu pʉəən mə́ntén, kpárá'’pʉəən, pǒŋkʉ̄ə̄'. Í nā ndíshə̄  ndóōnə̄ ŋwər i pǒ ŋkwən pwə́tkêt pʉəən yíe kpárá'pʉəən ke pʉəən pʉ́ə́ mǒ'nshyē yáá mbí te mbə́ ŋkwə́n pūə̄ (yiekáá fúfú' ŋkʉ́két,yaa shúkaa, yaa lámntʉ̄ʉ̄m nə yaa tansyóōŋ). ","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
26,,- M̀fʉ́ə̄ - Kɛ́ɛ́nə́,- Fièvre - Fatigue
28,,- Kʉəə nzhʉ́mshə́ - Yaa nzhǎpŋwə̄t,- Toux sèche - Douleurs musculaires
