,luy,swh,eng
0,Kamakhuwa ke bulwale bwa Korona,Virusi vya Ugonjwa wa Korona,About Coronavirus
1,,,
2,,Toleo hili lilitafsiriwa na Timothy G. Kamau,
4,,Kuna jambo MOJA tu unalopaswa kuelewa juu ya jinsi virusi vya Korona,
5,,VINAVYOSAMBAA,
6,,Mdomoni,
7,,Puani,
8,,Machoni,
9,,Vinapokuingia,
10,,Mtu mwenye Afya,
11,,Mgonjwa wa Korona,
12,,Virusi hivi vinasambaa wakati vitone hivi vya mate,
13,,Kwenda mbali. Ukiwa umbali wa mita 2 hutafikiwa na vitone vikubwa vya mate.     ,
14,,1,
15,,Mita 2,
16,,Achoo!,
17,,"Kwa hivyo, unapoona mtu akikohoa/kwenda chafya/mgonjwa unaweza kuamua: ",
18,,Wape barakoa. Waweze kukoholea au kuendea chafya na kuwakinga wote walio karibu,
19,,2,
20,,Vitone vya *kamasi*,
21,,"AU,",
22,,"Pengine yeye si mgonjwa, anajikinga tu",
23,,"Watu wenye virusi huenda wasionyeshe ishara zozote, lakini bado wanaweza kuvisambaza",
24,,"Kwa jumla, ni wazo bora kuepuka umati wa watu, maana huwezi kujua kama kuna mtu mgonjwa.",
25,,Vijiti vya kulia ,
26,,Mtu mwenye afya,
27,,Vishikilio vya gari,
28,,Vitufe vya lifti ,
29,,Tishu ,
30,,Vikombe ,
31,,Vifaa vya kidijitali ,
32,,& hata nje ya barakoa ya usoni mwako ,
33,,Kingo za ngazi,
34,,Kipanya ,
35,,Kalamu,
36,,Vitasa vya mlango ,
37,,Mikononi mwao ,
38,,"Isitoshe, huenda mate ya mtu mgonjwa yakawa kwenye vitu vingine … ",
39,,nyote mnaweza kuugua.  ,
40,,au umguse mwenzako uso   ,
41,,ujisugue macho ,
42,,"Ukigusa mojawapo wa vitu hivi kwa bahati mbaya, kisha ujiguse uso, ",
43,,"na njia ya kipekee iliyo bora kuviondoa ni kuviosha kwa sabuni, dawa ya klorini, au kileo.  ",
44,,"Virusi vinaweza kukaa saa kadhaa juu ya vifaa,",
45,,Sabuni,
47,,Kwa sababu hii ni vizuri pia kuyafuata maelekezo haya,
48,,Oga kwa ﻿sabuni hadi hapa,
49,,Sabuni ,
50,,Kisugudi,
51,,"Usijiguse uso. (Au uuguse uso wa mtu mwingine yeyote.) Iwapo ni lazima ujiguse, kwanza ioshe mikono yako kabisa kwa sabuni.",
52,,Muda sawa na wa kuimba kifungu cha “Wimbo wa Taifa” ﻿https://youtu.be/a37RnI3krzU ,
53,,chini ya kucha  ,
54,,kwa ﻿sekunde 20 ,
55,,katikati mwa vidole ,
56,,nawa nyuma ya mikono yako ,
57,,Nini maana ya kuoga kabisa?,
58,,"Iwapo umefanya hivyo, usihofu. Nawa mikono yako kwa sabuni hapo baadaye.",
59,,"Pia, usiguse upande wa nje wa barakoa iwapo utaweza. ",
60,,vitone vya mate,
61,,*Vijidudu vinavyosababisha magonjwa hukulia ndani ya barakoa unapozivaa kwa muda mrefu,
62,,Zitupe barakoa zinapoanza kuwa nzito. Usizivae kwa zaidi ya siku moja! ,
63,,Tumia kijiko cha kupakulia ,
64,,Mtoto,
65,,Baba,
66,,Mama,
67,,Kila mtu awe na taulo yake ,
68,,"Usitumie kwa pamoja vitu kama chakula,vyombo vya jikoni,vikombe,taulo.",
69,,Huwezi kuugusa uso wako kwa kisugudi hata ukijaribu,
70,,"Fungua na funga milango kwa kutumia kisugudi au bega badala ya mikono, inapowezekana.",
71,,Nyumbani,
72,,na unaporudi kutoka kwa umma ,
73,,Kabla hujala ,
74,,Kila wakati nawa mikono yako ukitumia sabuni …,
75,,"Hatimaye, ",
77,,"Kaeni salama,  Nyote! ",
80,,Soma makala hii ujue zaidi! ,
81,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, ﻿in Business Insider (Jan 21, 2020)",
82,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. ﻿(Jan 25, 2020)",
83,,"""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020)",
84,,Marejeo zaidi ya habari za kiafya: ,
85,,"Hoja za ziada: Maelekezo haya ya kiafya ya vibonzo yanafaa sana katika kuzuia maambukizi ya kawaida kama mafua na homa, na yanafaa kuzingatiwa daima, hata wakati hakuna mkurupuko wa magonjwa. Marejeo: Habari iliyo katika kijitabu hiki cha vibonzo imejikita kwa uelewa wa ugonjwa wa COVID19 kufikia tarehe 28 Februari 2020, na imetolewa kwa marejeo hii tatu. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Habari za ziada: Unaweza kupata toleo la PDF la kijitabu hiki cha vibonzo kutoka kwa tovuti hii: https://gumroad.com/weimankowart  Maelekezo ya Kutumia: Kijitabu hiki cha vibonzo kiko huru kwa matumizi ya umma kupitia kwa tovuti na mitandao ya kijamiii kama vile Whatsapp na Telegram. Vile vile, nakala zinazotolewa kutoka kwa tovuti zinaweza kuchapishwa bure kama vibango vya matumizi ya kibinafsi na kielimu nyumbani, shuleni, na mahali pa kazi.   Wakati unapowapa wengine kijitabu hiki, tafadhali kumbuka hoja hizi 3: ﻿1) Hakuna ruhusa kuhariri chochote kwa njia yoyote unapokisambaza. ﻿2) Vibonzo hivi haviwezi kutumiwa kwa mradi wowote wa kuleta faida. ﻿3) lwapo unakisambaza kupitia kwa tovuti, weka jina la mwandalizi wa kitabu katika FB kwa kuweka @weimankowart, kwa IG kwa kuweka @weimankow (IG), au hata kuandika linki kwa instagram com/weimankow Kwa matumizi mengineyo yote, tafadhali tuma ombi kwa: comicsforgood@gmail.com",
90,,"Created by Weiman Kow, instagram: weimankow ",
95,Kamakhuwa ke bulwale bwa Korona                                                                                      Kamakhuwa ke bulwale bwa Korona        ,"Virusi vya Ugonjwa wa Korona  Toleo hili lilitafsiriwa na Timothy G. Kamau  Kuna jambo MOJA tu unalopaswa kuelewa juu ya jinsi virusi vya Korona VINAVYOSAMBAA Mdomoni Puani Machoni Vinapokuingia Mtu mwenye Afya Mgonjwa wa Korona Virusi hivi vinasambaa wakati vitone hivi vya mate Kwenda mbali. Ukiwa umbali wa mita 2 hutafikiwa na vitone vikubwa vya mate.      1 Mita 2 Achoo! Kwa hivyo, unapoona mtu akikohoa/kwenda chafya/mgonjwa unaweza kuamua:  Wape barakoa. Waweze kukoholea au kuendea chafya na kuwakinga wote walio karibu 2 Vitone vya *kamasi* AU, Pengine yeye si mgonjwa, anajikinga tu Watu wenye virusi huenda wasionyeshe ishara zozote, lakini bado wanaweza kuvisambaza Kwa jumla, ni wazo bora kuepuka umati wa watu, maana huwezi kujua kama kuna mtu mgonjwa. Vijiti vya kulia  Mtu mwenye afya Vishikilio vya gari Vitufe vya lifti  Tishu  Vikombe  Vifaa vya kidijitali  & hata nje ya barakoa ya usoni mwako  Kingo za ngazi Kipanya  Kalamu Vitasa vya mlango  Mikononi mwao  Isitoshe, huenda mate ya mtu mgonjwa yakawa kwenye vitu vingine …  nyote mnaweza kuugua.   au umguse mwenzako uso    ujisugue macho  Ukigusa mojawapo wa vitu hivi kwa bahati mbaya, kisha ujiguse uso,  na njia ya kipekee iliyo bora kuviondoa ni kuviosha kwa sabuni, dawa ya klorini, au kileo.   Virusi vinaweza kukaa saa kadhaa juu ya vifaa, Sabuni  Kwa sababu hii ni vizuri pia kuyafuata maelekezo haya Oga kwa ﻿sabuni hadi hapa Sabuni  Kisugudi Usijiguse uso. (Au uuguse uso wa mtu mwingine yeyote.) Iwapo ni lazima ujiguse, kwanza ioshe mikono yako kabisa kwa sabuni. Muda sawa na wa kuimba kifungu cha “Wimbo wa Taifa” ﻿https://youtu.be/a37RnI3krzU  chini ya kucha   kwa ﻿sekunde 20  katikati mwa vidole  nawa nyuma ya mikono yako  Nini maana ya kuoga kabisa? Iwapo umefanya hivyo, usihofu. Nawa mikono yako kwa sabuni hapo baadaye. Pia, usiguse upande wa nje wa barakoa iwapo utaweza.  vitone vya mate *Vijidudu vinavyosababisha magonjwa hukulia ndani ya barakoa unapozivaa kwa muda mrefu Zitupe barakoa zinapoanza kuwa nzito. Usizivae kwa zaidi ya siku moja!  Tumia kijiko cha kupakulia  Mtoto Baba Mama Kila mtu awe na taulo yake  Usitumie kwa pamoja vitu kama chakula,vyombo vya jikoni,vikombe,taulo. Huwezi kuugusa uso wako kwa kisugudi hata ukijaribu Fungua na funga milango kwa kutumia kisugudi au bega badala ya mikono, inapowezekana. Nyumbani na unaporudi kutoka kwa umma  Kabla hujala  Kila wakati nawa mikono yako ukitumia sabuni … Hatimaye,  Sabuni Kaeni salama,  Nyote!  Kaeni salama,  Nyote!  Sabuni Soma makala hii ujue zaidi!  ""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, ﻿in Business Insider (Jan 21, 2020) ""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. ﻿(Jan 25, 2020) ""How to avoid the coronavirus? Wash your hands"", by Elizabeth Rosenthal, in the New York Times, Opinion. (Jan 28, 2020) Marejeo zaidi ya habari za kiafya:  Hoja za ziada: Maelekezo haya ya kiafya ya vibonzo yanafaa sana katika kuzuia maambukizi ya kawaida kama mafua na homa, na yanafaa kuzingatiwa daima, hata wakati hakuna mkurupuko wa magonjwa. Marejeo: Habari iliyo katika kijitabu hiki cha vibonzo imejikita kwa uelewa wa ugonjwa wa COVID19 kufikia tarehe 28 Februari 2020, na imetolewa kwa marejeo hii tatu. ﻿https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html﻿https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  ﻿https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Habari za ziada: Unaweza kupata toleo la PDF la kijitabu hiki cha vibonzo kutoka kwa tovuti hii: https://gumroad.com/weimankowart  Maelekezo ya Kutumia: Kijitabu hiki cha vibonzo kiko huru kwa matumizi ya umma kupitia kwa tovuti na mitandao ya kijamiii kama vile Whatsapp na Telegram. Vile vile, nakala zinazotolewa kutoka kwa tovuti zinaweza kuchapishwa bure kama vibango vya matumizi ya kibinafsi na kielimu nyumbani, shuleni, na mahali pa kazi.   Wakati unapowapa wengine kijitabu hiki, tafadhali kumbuka hoja hizi 3: ﻿1) Hakuna ruhusa kuhariri chochote kwa njia yoyote unapokisambaza. ﻿2) Vibonzo hivi haviwezi kutumiwa kwa mradi wowote wa kuleta faida. ﻿3) lwapo unakisambaza kupitia kwa tovuti, weka jina la mwandalizi wa kitabu katika FB kwa kuweka @weimankowart, kwa IG kwa kuweka @weimankow (IG), au hata kuandika linki kwa instagram com/weimankow Kwa matumizi mengineyo yote, tafadhali tuma ombi kwa: comicsforgood@gmail.com Virusi vya Ugonjwa wa Korona   Toleo hili lilitafsiriwa na Timothy G. Kamau Created by Weiman Kow, instagram: weimankow     ",About Coronavirus                                                                                      About Coronavirus        
