,toy,eng
0,Hunngano Niteha Virus Corona,About Coronavirus
1,,
3,,
4,"Hameha parallu mu injo, immo fehe virus corona majacci.",
6,Nganga,
7,Onye,
8,Matta,
9,Nandama lou ribolo,
10,To nagassi/ naseha,
11,To Pajuo,
12,Virus namba jacci ane hie ue ilu e,
13,Pario oloto. Dohomoko nibela ue ilu ane olomu romeha meter (2m),
14,1,
15,"2m-0,5m",
16,Haaachiii!,
17,"Jari, ane niturimu todapa nasodu/nasumbai/najuo, bara mala tou:",
18,Baiki Hiro Masker. Jari mala ro na sumbai/sodu ane nambake masker pade doho mujacci todapa ndonino.,
19,2,
20,Makasila 'SROOT',
21,Malafou,
22,"Mala fou he todapa doho najuo, hio ni jagaino tappa fuluno.",
23,"Todapa onu nibela juomo mala rapa to naseha nituri, tapi tatta mala napajacci juono.",
24,"Ni lesei sala nasiroromu, apa doho ni injomu hema rehe najuo.",
25,Panggonia,
26,To pajuo,
27,Pandaka kareta,
28,Tombol lift,
29,Tisu,
30,Kacca,
31,Prangkat digital,
32,Malafou ri luar masker,
33,Pandaka eja,
34,Mos,
35,Polpe e,
36,Pandaka ba ba a,
37,Pale ro,
38,"Nou fou mo mafehe, biasano ue ilu topajuo mala na tikkai lou ri...",
39,Hunggano mi mala galli nibela juo.,
40,atau lenje todapa ribi i mu,
41,Mukahisso mattamu,
42,"Ane doho nitunggaimu nandaka mambabara he mane mutakka lenjemu,",
43,"Hamehango nadui mbu u nipugau nambalesei virus hi, rapa nibasoi pake sabu, pemutih, malafou alkohol.",
44,"Virus hie hi mala natufu hajo hamennyi hendeno, rumbulu patta jang (24 jam) moi ri mambara.",
45,Sabu,
47,"Makkano, nadui ane hie tuntuna no nipuugau.",
48,Basoi nambake sabu beta rehe.,
50,Hikku pale,
51,"Ne mu takka no lenjemu (nou lenje hema). Ane mala, basoi sala palemu nambake sabu.",
52,Rapa hendeno nakelo tou lagu “Puang Neko Mahiri” runggoni.,
53,ri unne kanuppa,
54,Rumbulu manne hendeno,
55,hetu karafe,
56,Basoi bengo pale,
57,Immo fehe carano nambasoi pale sampe napacci?,
58,"Ane nitakkamu di, nemoko mabilla. Basoi tappa mo pale pake sabu.",
59,Nemu takka no onu ri luar masker,
60,Ue ilu,
61,Bakteri tu mala na tufu ri bolo masker ane nahende ndani nipake.,
62,Toji maskermu ane nasaruppu. Nemu mupakke no masker lobi hajo.,
63,Pakei pasidu ifo utta,
64,Ana,
65,Mama/ Bapa,
66,Nene/ Indo,
67,Padami mambake handu,
68,"Neko majulu panggoni, panggonia, kacca pade handu.",
69,"Doho mala  nibelamu lenjemu nambakke hikku motto tu, coba de.",
70,"Ane mabukka atau matutu tou baba a, hikku to ni pakke.",
71,Hou,
72,Ane maloi tou lou ri hou.,
73,Ane mbelu tou manggoni.,
74,Tatta tou mabosoi pale pake sabu.,
75,Kacappuano,
77,Ni jaga kesehatan!,
81,Baca tips-tips lainnya pada artikel-artikel di atas,
82,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
83,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
84,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
85,Referensi utama untuk informasi medis:,
86,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.   Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
89,,Diterjemahkan ke dalam Bahasa Topoyo oleh Kiswan Wahab.
