toy,eng
Hunngano Niteha Virus Corona,About Coronavirus
,
,
"Hameha parallu mu injo, immo fehe virus corona majacci.",
Nganga,
Onye,
Matta,
Nandama lou ribolo,
To nagassi/ naseha,
To Pajuo,
Virus namba jacci ane hie ue ilu e,
Pario oloto. Dohomoko nibela ue ilu ane olomu romeha meter (2m),
1,
"2m-0,5m",
Haaachiii!,
"Jari, ane niturimu todapa nasodu/nasumbai/najuo, bara mala tou:",
Baiki Hiro Masker. Jari mala ro na sumbai/sodu ane nambake masker pade doho mujacci todapa ndonino.,
2,
Makasila 'SROOT',
Malafou,
"Mala fou he todapa doho najuo, hio ni jagaino tappa fuluno.",
"Todapa onu nibela juomo mala rapa to naseha nituri, tapi tatta mala napajacci juono.",
"Ni lesei sala nasiroromu, apa doho ni injomu hema rehe najuo.",
Panggonia,
To pajuo,
Pandaka kareta,
Tombol lift,
Tisu,
Kacca,
Prangkat digital,
Malafou ri luar masker,
Pandaka eja,
Mos,
Polpe e,
Pandaka ba ba a,
Pale ro,
"Nou fou mo mafehe, biasano ue ilu topajuo mala na tikkai lou ri...",
Hunggano mi mala galli nibela juo.,
atau lenje todapa ribi i mu,
Mukahisso mattamu,
"Ane doho nitunggaimu nandaka mambabara he mane mutakka lenjemu,",
"Hamehango nadui mbu u nipugau nambalesei virus hi, rapa nibasoi pake sabu, pemutih, malafou alkohol.",
"Virus hie hi mala natufu hajo hamennyi hendeno, rumbulu patta jang (24 jam) moi ri mambara.",
Sabu,
"Makkano, nadui ane hie tuntuna no nipuugau.",
Basoi nambake sabu beta rehe.,
Hikku pale,
"Ne mu takka no lenjemu (nou lenje hema). Ane mala, basoi sala palemu nambake sabu.",
Rapa hendeno nakelo tou lagu “Puang Neko Mahiri” runggoni.,
ri unne kanuppa,
Rumbulu manne hendeno,
hetu karafe,
Basoi bengo pale,
Immo fehe carano nambasoi pale sampe napacci?,
"Ane nitakkamu di, nemoko mabilla. Basoi tappa mo pale pake sabu.",
Nemu takka no onu ri luar masker,
Ue ilu,
Bakteri tu mala na tufu ri bolo masker ane nahende ndani nipake.,
Toji maskermu ane nasaruppu. Nemu mupakke no masker lobi hajo.,
Pakei pasidu ifo utta,
Ana,
Mama/ Bapa,
Nene/ Indo,
Padami mambake handu,
"Neko majulu panggoni, panggonia, kacca pade handu.",
"Doho mala  nibelamu lenjemu nambakke hikku motto tu, coba de.",
"Ane mabukka atau matutu tou baba a, hikku to ni pakke.",
Hou,
Ane maloi tou lou ri hou.,
Ane mbelu tou manggoni.,
Tatta tou mabosoi pale pake sabu.,
Kacappuano,
Ni jaga kesehatan!,
Baca tips-tips lainnya pada artikel-artikel di atas,
"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)",
"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
Referensi utama untuk informasi medis:,
"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini.   https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html https://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini: https://gumroad.com/weimankowart  Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.   Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
,Diterjemahkan ke dalam Bahasa Topoyo oleh Kiswan Wahab.
,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
,"Created by Weiman Kow, instagram: weimankow"
