,cak,zaw,kek,spa
0,Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS,Yälguijch guichgaroore nani laa “coronavirus”,Na'leb',Chi rix li kaqi yajel
1,,,,
2,,,Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal,
3,,,,
4,,,NAPUKANK,
11,,,Napukank naq narachok li xya'al li qe ut qu'uj ,
16,,,Naq nakoo'atismak ,
20,,,Jo'kan naq aajel ru xtz'apb'al li qu'uj,
23,,,"Naruuk naq li poyanam wank xyajeleb' ut ink'a' nake' xk'ut, ab'an jwal nake'b'onok.",
24,,,B'ar naqataw li kaqi yajel,
25,,,pitz'leb' re taqeek',
26,,,sut,
27,,,sek',
28,,,ulul ch'iich',
29,,,chi rix xtz'apb'al li e,
30,,,xmesb'al uqb',
32,,,tz'iib'leb',
33,,,uk'leb',
34,,,Li uq'b',
35,,,Qakolaq aj wi' li qana' qayuwa' chi ru li yajel a'in,
38,,,Ut k'a' ru tinb'aanu,
41,,,Xch'ajb'al uq'b' rik'in xab'on,
43,,,Jo'kan aajel ru xb'aanunkil li oob' chi na'leb' a'in,
47,,,Xch'ajb'al li rit qatelb',
53,,,Ch'aji xala laawuq'b',
58,,,Li mitz' aj xul nake'tamk chi ru li xtz'apb'al li u'uj wi' najt taawoksi.,
59,,,Ch'aj laawuqb' naq taach'e' li t'ikr ,
64,,,"Maach'e' sa' laawu, laaxik ut lawu'uj.",
66,,,Sik' aj tenq'anel sa' li yajel wi' yook aayajel.,
68,,,¡Qilaq qib' sa' komonil!,
69,,,Il ma xaataw ru,
70,,,K'a' ru nak'utuk re naq yook qajot'b'al li kaqi yajel,
71,,,ojb'il,
72,,,tiq,
73,,,se'ek,
78,,,K'a' ru naruuk xb'aanunkil re xkolb'al qib',
79,,,Elk sa' b'e,
80,,,Xch'ajb'al li quq'b',
81,,,Roksinkil chi chaab'il li xlanb'al u'uj,
86,,,,"Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0."
87,,,,-
88,,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado.   Contextualización:  Elías Caal Oxom.                                                            Edición: Roberto Coc Caz y Hermelindo Quim."
89,,,,"Creado por Weiman Kow, instagram: weimankow. Disponible en bloomlibrary.org"
90,,,978-9929-794-28-3,978-9929-794-28-3
94,Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS                                                                                     Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS        ,Yälguijch guichgaroore nani laa “coronavirus”                                                                                     Yälguijch guichgaroore nani laa “coronavirus”        ,"Na'leb'  Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal  NAPUKANK       Napukank naq narachok li xya'al li qe ut qu'uj      Naq nakoo'atismak     Jo'kan naq aajel ru xtz'apb'al li qu'uj   Naruuk naq li poyanam wank xyajeleb' ut ink'a' nake' xk'ut, ab'an jwal nake'b'onok. B'ar naqataw li kaqi yajel pitz'leb' re taqeek' sut sek' ulul ch'iich' chi rix xtz'apb'al li e xmesb'al uqb'  tz'iib'leb' uk'leb' Li uq'b' Qakolaq aj wi' li qana' qayuwa' chi ru li yajel a'in   Ut k'a' ru tinb'aanu   Xch'ajb'al uq'b' rik'in xab'on  Jo'kan aajel ru xb'aanunkil li oob' chi na'leb' a'in    Xch'ajb'al li rit qatelb'      Ch'aji xala laawuq'b'     Li mitz' aj xul nake'tamk chi ru li xtz'apb'al li u'uj wi' najt taawoksi. Ch'aj laawuqb' naq taach'e' li t'ikr      Maach'e' sa' laawu, laaxik ut lawu'uj.  Sik' aj tenq'anel sa' li yajel wi' yook aayajel.  ¡Qilaq qib' sa' komonil! Il ma xaataw ru K'a' ru nak'utuk re naq yook qajot'b'al li kaqi yajel ojb'il tiq se'ek    Il ma xaataw ru K'a' ru naruuk xb'aanunkil re xkolb'al qib' Elk sa' b'e Xch'ajb'al li quq'b' Roksinkil chi chaab'il li xlanb'al u'uj    Na'leb'     978-9929-794-28-3   ","Chi rix li kaqi yajel                                                                                     Chi rix li kaqi yajel Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. - Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado.   Contextualización:  Elías Caal Oxom.                                                            Edición: Roberto Coc Caz y Hermelindo Quim. Creado por Weiman Kow, instagram: weimankow. Disponible en bloomlibrary.org 978-9929-794-28-3   "
