source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Anu Za MbáꞋa O Tsinɨ Nɨ Njɛ Mbɨ́Ꞌɨ Nɨghɔ Nɨ Korona Kə KOVID-19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","",,
"                                                  SOMMAIRE","   ƗTÚ ƗNU A ƗMU AŊWÁꞋANƗ ZƗŊƏ                ƗTÚ ƗNU TSUMƏ",,
"- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles","- Nɨghɔ Nɨ korona - Ɨbɔrɨkɨ ɨben - Ɨlísə - Mɨdomɨnji mɨ mbyɛ́ʼɛ nɨghɔ nɨ korona - Mɨdomɨnji mɨ nkyɛ́m atúəmbəm zo - Be O byɛ́ʼɛ nɨghɔ nénə O ghɨ lə̂?                                              ",,
"p.2 p.3 p.4 p.5 p.6 p.7 p.8","p.2 p.3 p.4 p.5 p.6 p.8 ",,
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Nɨghɔ nɨ korona  Nɨghɔ nɨ korona mbáʼa bɨ kɨnə ntɔŋə ngə Kovid-19 lá, a nɨ nɨghɔ nə afíə. Ntsámbyi nkfu a ndzúʼə mbɨ́ʼɨ nɨghɔ nénə á bé lá a ɨmu sáŋ Abɨŋafɔ 31st, 2019 aláʼa China ghé. Ɨlisɨ nɨghɔ nénə tsi tso tsɨ sáŋə́, nɨ tsi kɨ zhwîtɨ ɨben bá nɨ tənɨ a nye bó ghé. Nɨ lámnɨ ɨláʼa tsɨ gháʼanɨ a ɨmu mbyi zɨŋə. Nkásɨ adɨ́ʼí zá mbáʼa a jwînɨ nɨghɔ nénə bɨ bvurɨ tɨ zhɛ́.",,
"Personne âgée"," Tənkáŋ ŋwon",,
"Personne cardiaque ou souffrant de maladie","Ngâŋ nɨghɔ nɨ ntəmə",,
