source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Sá bɨn jálá ne lejwɛh dumo ne kolóna ne sóm wé ngʉ̂ KOSÓM-19 yí",,
"","",,
"","",,
"","",,
"","",,
"","",,
"                    SUMMARY","                         TAGA MILɄ̂ ",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kolóna ne sóm wé - Minjʉ̌m me lékwaa - Mendem  me lékwaa - Lenwɔɔla lé kolóna - Mpʉ mʉ̂r siŋá kɨya lekwaa laá yɨ́ - Mpʉ nya gó jálá sâ gó ó, bě ɨ́ si nwuɔ lé wá? - Micima mekǎn mé dí ɨ́ kɔbla má ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6 p.8  p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Lekwaa lé kolóna ne sóm wé, dí ɨ́ lejɛ́baa ntâʼ kosóm-19, yé é, sóm jwɔ̂n. Wé atala nyɨ̂n é ɨ́ si bipum bédi ɨ lejêh besinwâ ɨ́ mbû betɔ́ɔ́sin bebá ne kam ne ɨbǔl, ɨ́ ngɔn mesio mé mbǔ wáá lelú lé mésio. Béndem  be tyɛ̂ mâ pʉná ne maá mé kœ́hœ́ mpyêb, lé sáá jʉ̂ mʉ̂r jɔɔ lé di ɨ sɨ bwɔʼ yɨ. Lɨ́ sɨ́ sɨ jamda í nsugo bipéh bí sɨ́ nyɔ̂ ɨnyɛ̂h. Sʉ́m lékwaa laá lé ajwiho yɨ, yé apǎ jwɛgaa. ",,
"Elderly person","Pʉ́ra lémpǒm: mʉr di ɨ si jwim nyɔ́.",,
"Person with a heart condition or disease","Pʉ́ra mbá: mʉr di mbél lyém nyɔ́.",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Minjʉ̌m me lékwaa  Bʉr bé dɨ ɨ́ lekwɛ̂h lenuwɔ lékwaa laá bá, bé é tááro ɨ́ bikéé to kumo ɨ minjʉ̌m bé ê nkul lenuwo sóm jwɔ̂n wáá. Minjʉ̌m ne bʉr be dí ne mekwaa mé á boobe má(mpʉ lekwaa lé kœhœ mpyêb, mpʉ lekwaa lé mesœh, mekwaa mé lyêm, lekwaa lé lyêm mʉ̂r di é puro mpâl lɨ́) bé é bé dí e buú kwɛ̂h lebwɨ lekwaa le sóm waá.",,
"Fever Fatigue","Pʉra lémpǒm Lejyoo letyɛʼ le nyʉ̌l",,
"Dry cough Muscle aches and pains","Pʉra mbá Kœhœ abe ne lentɔm mekwaa me nyʉ̂l",,
