source,translated,question,answer
"Olumbe lwa Korona","TENTANG PIRUS CORONA",,
"","",,
"","",,
"","Naan ISA hal sa perlu kon tanau ngunau awe pirus Corona tau rampit.",,
"","Mulut ",,
"","Urung",,
"","Mate",,
"","Huluk tong huang",,
"","Lun sa sehat",,
"","Lun sa bereten",,
"","Pirus tau rampit hayak pitek iwei ti ",,
"","Ngajaga jarak. Nu sagar aman neke prik ranu iwei lukun ngajaga jarak 2 meter.",,
"","1",,
"","2m-0,5m",,
"","Haaachii!! ",,
"","Jari amun kon neau lun sa rahat nguku/wenan/bereten, kon tau medi de: ",,
"","OKOI IRE MASKER. Jari ire tau wenan/nguku tei masker-ne lukun ngilindung lun sa naan tei dini-ne. ",,
"","2",,
"","Terima kasih “SROOT” ",,
"","ATAWA ",,
"","Behe ne mo bereten, ne kohoi ngilindung arep-ne gagalo. ",,
"","Lun sa terinpeksi tau bo awe naan siri-ne, tapi tatap tau rampit. ",,
"","Sasara umum, pendapat sa asuh de ningkilah gulumuk lun. Gana kon mo tanau hiye subujur-ne sa bereten. ",,
"","Alat kuman ",,
"","Lun sa sehat ",,
"","Panyabut kereta ",,
"","Tombol lip. ",,
"","Tisu ",,
"","Galas",,
"","Parangkat digital ",,
"","Lukun teituhi ongon masker kon ",,
"","Soronoyan tukat ",,
"","Mouse computer ",,
"","Polpen ",,
"","Panyabut jawong ",,
"","Tangan ire ",,
"","Ngunau awe gin, kakadang ranu iwei sa bereten tau leket tei…. ",,
"","Kongoreng kon tau kuno reten. ",,
"","Atawa rai lun sa sanayang kon, ",,
"","Ngisu mate ",,
"","Lukun amun kon mo daraga banda-banda sa iroh, tahui tangkui rai kon gagalo, ",,
"","Lukun isa cara sa asuh de pajawoh ne nehiyo mui ne pakai sabun, pubura, atawa alcohol. ",,
"","Pirus inuh tau batahan hampe 24 jam tei barang. ",,
"","Sabun ",,
"","tindakan pencegahan ngunau ti.",,
"","Gana hiyo, sa asuh uma ",,
"","pui tangan hampe barasih tikas ti.",,
"","Hiku tangan ",,
"","Ada tangku rai nu (atawa rai lun lain). Amun mela musti, mui barasih dele tangan kon lawan sabun. ",,
"","Sama ngunau manyanyi lagu “Selamat Ulang Tahun’ rueh kali. ",,
"","Tei hane kuku ",,
"","Kengela-ne 20 detik ",,
"","Tei ekang ingking ",,
"","Pui likut tangan ",,
"","Ngunau awe sara mui tangan hampe barasih. ",,
"","Amun takarasi tangku ne, gelek mui tangan pakai sabun libas-ne. ",,
"","Ada tangku tuhi ongon masker. ",,
"","Pitek sa kidik ",,
"","Bakteri inuh berkembang tei tuhi huang masker amun panakai pahalau ela. ",,
"","Tampi masker kon amun nanam ne mo barasih, ada pakai masker labih neke erai andrau. ",,
"","Pakai senuk takar. ",,
"","Anak ",,
"","Amai ",,
"","Inai ",,
"","Pakai anduk galo-galo. ",,
"","Ada sabagi pongokan, alat kuman, galas, lukun anduk. ",,
"","Kon mo inuh tangku rai pakai hiku kon galo, kinam bo. ",,
"","Tengau atawa tangkep jawong pakai hiku atawa puluke, amun perlu. ",,
"","Blai",,
"","Libas neke uneng umum. ",,
"","Samale kuman ",,
"","Talalahui mui tangan kon pakaisabun … ",,
"","Ponomporeng, ",,
"","Sabun",,
"","Jagalei kesehatan! ",,
"","Basa tips-tips lain ne tei artikel-artikel tei moh! ",,
"",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
"",""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
"","Reperensi utama de inpormasi medis: ",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
"","",,
