source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","MƏNU PÁʼ GHO CHÎ NƏ́ MƏ́ JÎ NƏ ŃTÉ KOLÓNÁFÁLƆS KI KOFID 19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","               MƏNU MƏTSƏM ŃTÉ Á ZƏ́ƏLƏ́",,
"","- Kólónáfálɔs - Pəənə ándó mbɔʼ aghɔ zəənə́ á waamə̂ aghóobə́. - Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə. - Ndzaŋ kólónáfálɔsə á lyamnə̂ nə́ - Ndzaŋ mbɔʼ gho kíʼtə mbɨ əzo - Anu mbɔʼ gho ghɛd paʼ tə mbɔʼ á kwú nə́ gho. ",,
"","p.2  p.3 p.4 p.5  p.6  p.8 ",,
"","Kolónáfálɔs  Kolónáfálɔs, kɨ cófid 19 lə́ aghɔ yəfîə. Á nə́ ńchwáakə lə́ á China nə́ əlembî 31 á mə́m sáŋ Kɛlə́səmɛ́lə á mə́m 2019. Akwâgə lə́ yətsə́ ajúmə á mə nɨd nə ńgə́ wə́ələ́ á chî nə ŋwunə, ḿbə́ nə́ əghâ pə nɨ́ nə́, á chî mbɔʼ á jwítə. Á lyamnə̂ nə əláʼ pə nɨ́ nə́ á mə́m mbîə. Pə́ kě kə́ jîə chigə á jú páʼ á fɛ̂ nə́ aghɔ zɨ́d zi pô.",,
"","Ntəŋkaŋə́",,
"","Ŋwu páʼ a túg nə́ aghoonə́ á ntɨ́ yí kɨ mətsə́ məghoonə́",,
"","Pəənə ándo mbɔʼ aghɔ zəənə́ á waamə̂ aghóobə́  Mbɔʼ aghɔ yə əfî zəənə́ á waamə̂ ŋwu tsəmə. Pə təkaŋ ḿbɨ́ ḿbə́ nə́ pəənə ándó pó peg nə́ ńtúg məghɔ mi mə́ ndaʼə ándó (akwágə ntɨ́, aghoonə́ shúga, mətsə́ məghoonə́ á mə́m ntɨ́ ḿbɨ́ ḿbə́ nə́ achǐə yə kɔ́ʼ nə) Mbɔʼ á wam ńté pɨ zɨ á tyantə̂. ",,
"","-Əfə́gə -Mbɨ yi mbwɔd nə",,
"","-Akwágə yə jwúbtə -Mələŋə mə́ mbɨ pó pə mbɨ zaŋnə",,
"","Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə   Mənu mbɔʼ gho zɨ́ gho jî ńgə́ gho túgə aghɔ zɨ mə́ fî mənu məənə́: akwágə, əfə́gə, akwagə́ yə jwúbtə, mələŋmə́ mbɨ mə záŋnə, ḿbɨ́ ḿbə́ nə́ mbɨ yi mbwɔdnə́. Mbɨ pəghɔ pɨ́d pɨ pətsə́ ə́ záŋnə, ajwɛlə́ á fwɔn məlwú mɔ́b, ajwɛlə́ nkǐ nkǐə, asɛlə kɨ ntsə́ŋə. Á pa tə ńchî nə́ pɨ pətsə́ lə́ ńké tə́ nəələ́ pó, pó chîə aghɔ́b əshîʼnə. Pɨ pətsə́ pə́ féŋtə aghɔ́b tsɔʼə tə jîə mbɔŋə afǔə.",,
"","Ŋwu páʼ a túg nə́ akwâgə",,
"","Ndzaŋ aghɔ zəənə́ á lyamnə̂   Aghɔ zəənə́ á fɛ́lə lə́ á mbɨ pɨ pə́ túg nə́ ńdyamnə̂. Mbɔʼ ŋwunə a túg nə́ aghɔ zɨ, a kwag kɨ ńtségnə, məlwî pó pə mətwê mə́ tsɨ́mtə. Mbɔʼ ŋwunə a jwǐə álíʼ yi wɨ́, á twáamə aghɔ yə wə́. Mbɔʼ ŋwunəkwúmə ajú páʼ aghɔ zɨ́d zəənə́ á chî nə́ ə́wɨ́ ḿbɨ́ ńkwum nələ́g jí, ntso yí ḿbá nəlwî jí á ghɔ zəənə́ á lyamnə̂ nə́ yə.",,
"","Ndzaŋ mbɔʼ gho kɨ́ʼtə mbɨ əzo",,
"","1.     Kɔ tə́ ńkwum mə́g mô, ntso gho ḿbá nəlwîə zô.",,
"","2.     Lɔgə̂ asogə ə́sog mbô ə́wɨ́ əghâ ətsəmə ə́sogə̂ ńgɛlə̂ nkǐ ə́ kwɛdnə̂ pə́ ndəsê. Ńdɔgə̂ ajúmə atsəʼ yə ŋwaʼn nə́ ə́shíg ə́wə́.",,
"","3.     Mbɔʼ gho tə́ ńkwágə kɨ ńtségnə, gho néŋə atûə ázô á nəghabtə gho.",,
"","4.     Kɔ tə́ ńkɔ́d na yi mbə́gə, kɔ kə́ tə ńkúmtə əpúsoolə. Lə́ mbɔʼ gho kwúm, gho lɔgə̂ asogə pó nkǐ əsóg mbô ə́wə́.",,
"","5.     Mbɔʼ gho zɨ́ ŋwunə a tə́ ńkwágə kɨ ńtə ńtségnə, kɔ tɨ́ ḿbáatə yə. ",,
"","6.     Kɔ kə́ tə́ chaʼtə̂ ŋwunə apô yə. Mbɔʼ gho zə́ənə ŋwu, gho ŋáʼkə apô azô atǐ ńchaʼtə̂ kɨ gho chaʼtə̂ nə́ atséebə ntsoolə.",,
"","7.     Kɔ pə́ tə́ ńdzâ ńkyetə̂ ə́nə́ənə.",,
"","8.     Kɔ tə́ ńdzâ ńnyi mbǒʼmbóʼə́.",,
"","9.     Ghɛd ndu ntsəmə á mə́ jî nə mənu mə́ tə́ nə́ ńdaŋə̂ ńté aghɔ zəənə́.",,
