source,translated,question,answer
"Sobre el Coronavirus","STOP VIRUS KORONA",,
"","",,
"","Tim Penerjemah Bahasa Wambon",,
"","",,
"","VIRUS KORONAne andagamondik komegegen eptage sanggomo katkenaktak",,
"","etomat",,
"","Bonopka",,
"","Kalitka",,
"","Kelopka",,
"","Hinbalino kap",,
"","Yayuno kap ",,
"","Walokge matomalo topka Viruse moto komegemat ",,
"","Wambemo kamgenakna. Kamge 2 metetkenaknandik, walokge demale gogopwe domandage matetkenamat.",,
"","1",,
"","2m",,
"","     Ahi !!!",,
"","Golo kapwe apyokgup, hiwagilokgup, yayunggupka hetkonamale nemanunantak:",,
"","Egeptaga masketle nandakna. Emanunano egepwe hiwagilokdik goyo apyokdik ewe masket topka si halono sinimo manggopwe lawontakdoe.",,
"","2",,
"","Nombono kapwe epmo yayune bumdik, do ego andit wambemomopsigi masket halogen.",,
"","Viruskola lawatbono kapwe tepwe lapbesanmono katkenagetoendik, ego yayune kamo komegemoge.",,
"","Langkap dagit talokge awopdik yayunggup dimopwe gogopwe amokgolo, matetbaline kap dagit talokge kanaget.",,
"","Bilin sendok",,
"","Mobil talokgo  geleman",,
"","Tombot",,
"","Tisu",,
"","Okdim",,
"","Elektolonik ambat",,
"","Masket mote besan nemet talok",,
"","Halik talok lapdiman",,
"","Mous",,
"","Bolpen",,
"","Aptop geleman",,
"","Ego bisit",,
"","Emandik, yayuno kapko walokge nombombo talokga ambomoge…",,
"","Gogopwe viruskola lawono yayunmonamat.",,
"","koyo gup sinimo manggopko kelopkalit lawatkegele,",,
"","koyo kelopwe lawo hopkotmat, ",,
"","Manggopdoeka imakeman ewe baunbelo dako ga kelopkalitle lawat,",,
"","Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga ogopnundik goyo, alkohol okga geleman talokge hopkotnundik viruse tembetkemat.",,
"","Viruse imakeman ambat talokga bageno satkelopwe 24kupke motomgemoge.",,
"","Nombemanyepmo viruse halongganuntak.",,
"","Ewoptagolo, nombono lukge hetago lapkitmane matet kayan.",,
"","Sabungga ogokmonagano nombephalogen.",,
"","Bisit munggup",,
"","Ga kelopkalitle laphetkoget. (Awopko kelopkalitkup laphetkoget.)",,
"","Kelat topwo na walip kolamo nege.”",,
"","Tutnum topwo na walip kolamo nege, ",,
