source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Epú nuɛsikɛnɛnɛ́ kumenyi ó KOLÓNÁFILUS púnyaánɛɛ́ KOFÍD-19   ",,
"","",,
"","",,
"","",,
"","",,
"","",,
"                    SUMMARY","                 ITÚƐ SÍ MOÓNYI",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kolónáfilus - Pɛɛndu pá katipinuúsínyée - Melinsí - Kiséléméndie kí  kolónáfilus - Tiɛkíɛ pɛnyɛɛ́ kupíkíka - Índi kúkanyi kukutápúkáná ɛɛlɛ tiɛkíɛ? - Kusɛkunu pipúkú pínyɛɛ́ ambákál ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6 p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kolónáfilus páandɛɛ́ apílan ɛ́ɛ kofíd-19 nyi ensíŋí wɔɔkɔ́sikɔ́si ɛ pémeétékí kú kutúán ɔ́ kitɔŋ kí Síine é putúkú pú nitíni na máátá no púmoómíe u oólí ú makandikɛ ɔ́ yɔɔŋ tukúnú túándí no punyo ni  íkénie. Pámanyi pétimenyi niólíní ni kuu.",,
"Elderly person","Pɛɛndu pɛɛsɛ́kúmɛ́n",,
"Person with a heart condition or disease","Penúmí kí itímí púnyaánɛɛ́ kunúma kúlotí",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pɛɛndu pá katipinuúsínyíe  Kunúma kukáání tipá kúéye kúɛ́kɛtikɛn tɛ pilunú tɛ piɔmfú. Pɛɛndu pɛɛsɛ́kúmɛ́n ne epé pánúmanɛ́ manúma molotí insúá (ɛlɛɛ́ kunúma kú kiélumu kusúmbusumb, kunúma kú ɔtímí, kunúma kú manúŋú kuwóon kí iŋaŋá) pɔ́ɔ púnyɛɛ́ laáku ɛ́ɛ kúɛ́tikini pɔ́ɔ kúóndo kúliŋi nɔ niɔ́kɔ́tɔ́nɔ́, é kufikiti kú filus.",,
"Fever Fatigue","Puyo Kuand",,
"Dry cough Muscle aches and pains","Kikɔ́sunu kiilúndán Imekú kutɛ",,
