source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","     KO TAWETE DOW ƊEREYEL NGE’EL",,
"","- Ngilŋgu Korona - Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum - Alaamaaji nyawu ngu’u - Bana noy ngilŋgu Korona raaɓirta yimɓe ? - Bana noy faddaago? - Noy waɗugo to nyaw man naŋngi goɗɗo ? - Sifa kalimaaji caɗɗi",,
"","p.2  p.3 p.4 p.5 p.6 p.8 p.9",,
"","Ngilŋgu Korona  Ngilŋgu Korona ewneteeŋgu boo Kovid-19, ɗum ngilŋgu kesu. Ɗum aarti waŋgugo haa lesdi Sin bee nyalaade 31 lewru Desember 2019. Ngu ɗon waŋga bee alaamaaji nannduɗi ɗi   ndammba, ɗum mbaran to ɗum tulliti. Ɗum ɗon tawe nder lesɗe ɗuuɗɗe  haa duniyaaru fuu. Iwde nyawu ngu’u anndaaka tawon.",,
"","Goɗɗo marɗo duuɓi ɗuuɗɗi",,
"","Goɗɗo marɗo nyawu ɓernde malla maatanɗo nyawu ngoɗŋgu",,
"","Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum  Ngilŋgu ngu’u foti nasta haa yimɓe marɓe duuɗi koo ɗiye fuu. Ngu naŋngan bee koyɗum e ngu torran marɓe duuɓi ɗuuɗɗi e marɓe nyawuuji  masin (bana cukku, nyawu sukar, nyawuuji ɓernde, tansiyon).",,
"","-Yontere -Comri",,
"","-Ndammba caatuka -Naawral haa jokke",,
"","Alaamaaji nyawu ngu’u  Alaamaaji nyawu ngilŋgu korona nanndi bee ɗi marɗo ndammba: yontere, ndammba caatuka, naawral haa jokke, comri. Nyawuɓe woɗɓe boo ɗon maata naawral, kine cukkan, kine ilan, daande naawan malla caarol. Yimɓe woɗɓe ɓe nyawu ngu’u naŋngi mbaŋgintaa koo alaama ngoota, ɓe ɗon maata ɓe yamɓe. Ɓurna yimɓe ɗon nyawndo kurgun kastaaɗum.",,
"","Goɗɗo mo ɗon sonnda",,
"","Bana noy yimɓe ndaaɓirta nyawu ngilŋgu Korona?  Marɓe ngilŋgu KOVID-19 raaɓan woɗɓe. To nyawuɗo sonndi malla ɗisli, kuukon ɗon ngurto  gal kine malla gal hunnduko muuɗum. To goɗɗo foofi, kuukon kon nastan haa maako, nden foti nyaw man raaɓa mo. To goɗɗo meemi huunde nde kuukon kon ɗon dow maajum e to o meemi gite malla kine malla huunduko maako, foti nyaw man raaɓa mo.",,
"","Bana noy faddaago?",,
"","1. Taa meeme gite, kine malla huunduko mon.",,
"","2.  Loote juuɗe bee ndiyam laaɓɗam e bee saabulu. Nden ngooste juuɗe mon bee sarvet laaɗɓum.",,
"","3. Connde malla ɗisle nder newre soɓɓundu mon.",,
"","4. Taa nyaame kusel keccel, ta meeme boo dabbaaji geeti.",,
"","5. Ndaayotire baakin meetir gootel bee coondanɗo malla ɗislanɗo fuu. ",,
"","6. Ndaaye hoofnindirgo juŋngo bee juŋngo. ",,
"","7. Ndaaye mooɓorɗe mawɗe.",,
"","8. Uste gaance mon.",,
"","9. Tefe habaruuji dow ko ɗon saalo e linye iwde habaruuji ɗi’i.",,
"","Noy waɗugo to nyaw man naŋngi goɗɗo ?  To alaamaaji ɗi’i ɗon mbaŋga haa goɗɗo : - Taa kawte bee yimɓe woɗɓe. - Njooɗe haa saare. - Ewne haa lammba 1510  e tokke anndinolji ɗi mawɓe dokta’en anndinta on:  On mbaawan ewnugo boo haa lammbaaji ɗi’i:",,
"","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"","Haa wargo hannde, walaa lekki waawi nyawndugo Kovid-19 ammaa mawɓe lesdi ɗon kaɓda tefugo kurgun maajum. Sey koo moy laato kaliifaajo e sey o huuwtinira sarɗiiji booɗɗi ngam faddaago e faddugo taarde maako. ",,
"","Siifa kalimaaji caɗɗi   Cukku: nyawu poofɗe. Anndinolji: umrooje malla sarɗiiji. Nyawu sukar: Nyawu ngu’u ɗon waŋga goɗɗo to sukar ɗuuɗi nder ƴiiƴam goɗɗo. Kine ilan: Margo kine ilanɗe. Ndammba:  nyawu maa ko nanndi bee ndammba. Tansiyon: To semmbe ƴiiƴam ɓesdi nder ɓanndu bee laawol ngol haanaay. Nyawuɗo: Mo nyawu nanŋgi ɗum Nyawu: Ko torrata yimɓe, foti laato ndaaɓowou Nyawuɗo: Marɗo nyawu Alaamaaji: ko hollata nyawu. Kurgun: lekki, magaani. Ngilŋgu: ngilŋgu ngu yi’ataake, nyawu. ",,
"","",,
"What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                                                               ","Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19  Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation  Sey on annda ɗu’um dow NGILŊGU KORONA malla  KOVID-19            KO TAWETE DOW ƊEREYEL NGE’EL - Ngilŋgu Korona - Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum - Alaamaaji nyawu ngu’u - Bana noy ngilŋgu Korona raaɓirta yimɓe ? - Bana noy faddaago? - Noy waɗugo to nyaw man naŋngi goɗɗo ? - Sifa kalimaaji caɗɗi    p.2  p.3 p.4 p.5 p.6 p.8 p.9 Ngilŋgu Korona  Ngilŋgu Korona ewneteeŋgu boo Kovid-19, ɗum ngilŋgu kesu. Ɗum aarti waŋgugo haa lesdi Sin bee nyalaade 31 lewru Desember 2019. Ngu ɗon waŋga bee alaamaaji nannduɗi ɗi   ndammba, ɗum mbaran to ɗum tulliti. Ɗum ɗon tawe nder lesɗe ɗuuɗɗe  haa duniyaaru fuu. Iwde nyawu ngu’u anndaaka tawon.   Goɗɗo marɗo duuɓi ɗuuɗɗi  Goɗɗo marɗo nyawu ɓernde malla maatanɗo nyawu ngoɗŋgu Yimɓe ɓe nyawu ngu’u naŋngata bee koyɗum  Ngilŋgu ngu’u foti nasta haa yimɓe marɓe duuɗi koo ɗiye fuu. Ngu naŋngan bee koyɗum e ngu torran marɓe duuɓi ɗuuɗɗi e marɓe nyawuuji  masin (bana cukku, nyawu sukar, nyawuuji ɓernde, tansiyon).   -Yontere -Comri  -Ndammba caatuka -Naawral haa jokke Alaamaaji nyawu ngu’u  Alaamaaji nyawu ngilŋgu korona nanndi bee ɗi marɗo ndammba: yontere, ndammba caatuka, naawral haa jokke, comri. Nyawuɓe woɗɓe boo ɗon maata naawral, kine cukkan, kine ilan, daande naawan malla caarol. Yimɓe woɗɓe ɓe nyawu ngu’u naŋngi mbaŋgintaa koo alaama ngoota, ɓe ɗon maata ɓe yamɓe. Ɓurna yimɓe ɗon nyawndo kurgun kastaaɗum.  Goɗɗo mo ɗon sonnda Bana noy yimɓe ndaaɓirta nyawu ngilŋgu Korona?  Marɓe ngilŋgu KOVID-19 raaɓan woɗɓe. To nyawuɗo sonndi malla ɗisli, kuukon ɗon ngurto  gal kine malla gal hunnduko muuɗum. To goɗɗo foofi, kuukon kon nastan haa maako, nden foti nyaw man raaɓa mo. To goɗɗo meemi huunde nde kuukon kon ɗon dow maajum e to o meemi gite malla kine malla huunduko maako, foti nyaw man raaɓa mo.     Bana noy faddaago? 1. Taa meeme gite, kine malla huunduko mon.  2.  Loote juuɗe bee ndiyam laaɓɗam e bee saabulu. Nden ngooste juuɗe mon bee sarvet laaɗɓum.  3. Connde malla ɗisle nder newre soɓɓundu mon.  4. Taa nyaame kusel keccel, ta meeme boo dabbaaji geeti.     5. Ndaayotire baakin meetir gootel bee coondanɗo malla ɗislanɗo fuu.   6. Ndaaye hoofnindirgo juŋngo bee juŋngo.   7. Ndaaye mooɓorɗe mawɗe.  8. Uste gaance mon.  9. Tefe habaruuji dow ko ɗon saalo e linye iwde habaruuji ɗi’i. Noy waɗugo to nyaw man naŋngi goɗɗo ?  To alaamaaji ɗi’i ɗon mbaŋga haa goɗɗo : - Taa kawte bee yimɓe woɗɓe. - Njooɗe haa saare. - Ewne haa lammba 1510  e tokke anndinolji ɗi mawɓe dokta’en anndinta on:  On mbaawan ewnugo boo haa lammbaaji ɗi’i:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Haa wargo hannde, walaa lekki waawi nyawndugo Kovid-19 ammaa mawɓe lesdi ɗon kaɓda tefugo kurgun maajum. Sey koo moy laato kaliifaajo e sey o huuwtinira sarɗiiji booɗɗi ngam faddaago e faddugo taarde maako.  Siifa kalimaaji caɗɗi   Cukku: nyawu poofɗe. Anndinolji: umrooje malla sarɗiiji. Nyawu sukar: Nyawu ngu’u ɗon waŋga goɗɗo to sukar ɗuuɗi nder ƴiiƴam goɗɗo. Kine ilan: Margo kine ilanɗe. Ndammba:  nyawu maa ko nanndi bee ndammba. Tansiyon: To semmbe ƴiiƴam ɓesdi nder ɓanndu bee laawol ngol haanaay. Nyawuɗo: Mo nyawu nanŋgi ɗum Nyawu: Ko torrata yimɓe, foti laato ndaaɓowou Nyawuɗo: Marɗo nyawu Alaamaaji: ko hollata nyawu. Kurgun: lekki, magaani. Ngilŋgu: ngilŋgu ngu yi’ataake, nyawu.   ",,
