source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Səkən ndə huni kaasənə ata KORONAVIRUS aka səku KOVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                            DIW ZLAP",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Koronavirus  - Həji ndə dawər watsa  kefkef a mbəlata aagi - Səkən ma ghal dawər watsa aagi - Zlaŋ ataa wiyə dawər Koronavirus  - Həji a ɗalzə a keŋ ha ara avaŋga? - Səkən ndə  həji kaɗalə  andza dawər watsa ata ala veme? - Ghal ma ma ndəlndəl ndə həji ŋkula sənata abə ma takwa aagi  ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6  p.8   p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavirus, ndə həji yə zhana  KOVID-19, a ɗa wiyə dawər minja, ndə həji kayə viyrus, a may a ghal ya, səkən ma feŋ a taba səkən ma kanda aagi, ndə həji ŋkula gəra abə nja andza  ha ŋkəsaf. Həji diw a zlima shiŋ dawər watsa a hayak Shinwa a wan 31 ataa ŋtəra ta da mavə dəma 2019. A ɗalahəji andza shiɓi, a kavah a dza ala  andza tavəlakənə aara dəy səku. Taɓizh tə vərəm a manahayak. Həji kasən la ndaha dawər watsa kwagwa pa akacihwa səku.",,
"Elderly person","Həji ma ndza abə va dagala aagi",,
"Person with a heart condition or disease","Ala ma ndza abə dawər ma ndza a ꞌunəf aka səku  ma  kasa yaka ara ꞌunəf ma kandirimi",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Həji ndə dawər watsa  kefkef a mbəlata aagi  Wiyə dawər ma ꞌwala payha watsa,  a kagas gas ala, a ɗa watsə mbə aka səku ala ma dagal akas, a mbəla kwa vaye tiwtiw. Həji ma ndza abə va dagala aagi abə həji ma kava ndaha dawər aagi aka səku həji ma ndza abə dawər ndiɓi aagi a zlikusəm andza (dawər ma tak nəp aka, dawər sukar aka səku səkən ma ghinghin aagi, dawər ma ndza a ꞌunəf abə ꞌunəf ma kaghuɗek dəy aha galaŋ) ataa aŋta ya, a kavah a rəzata ata hayak kahkah ana  wiyə dawər watsa səku.   ",,
"Fever Fatigue","-Kusəm ma  kabaz ala kwak aandza kwahu -Ŋtəɓəl ɓəlakaka aka səku zlikusəm ma kaɓec ɓəlakaka",,
"Dry cough Muscle aches and pains","-Kətsəh ma ndza andza ghehw ma kaŋhwal maŋgurlem -Ndirim bildi",,
