source,translated,question,answer
"Olumbe lwa Korona","Aitawang kariri Virusi Corona nei",,
"","",,
"","",,
"","Todoni kontai taramuo kaiwo fuba nei ambori boitawanai na mai kariri Virus Corona nei sefarane. ",,
"","borong",,
"","ubong",,
"","ureng ",,
"","wuai to rorong afui ",,
"","inontarai biriai",,
"","inontarai meninang ",,
"","Virusi sefarane na aiwiwahi tiparai na taborominei",,
"","Boa woiroi – toyari 2 meteri - nana mani aiwiwahi tiparai weru inontaraifoi wiro sobu wau kaha.",,
"","1",,
"","2m-0,5m",,
"","e..hee!!! ",,
"","Ampafe, boti manei sea, kenita, meninang, nanamani wau boyo; ",,
"","OHONG MASKERI WESA ampafe ekanita ete esea na maskerifoi ambori niai pi weru inontarai kefang nansa. ",,
"","2",,
"","Mahikai *srooot* ",,
"","ETE ",,
"","Tarahio inontarai nini wiro meninang kahai, mae deitawang niari wedua ne taraifoi terane.",,
"","Mano sobu maninangfoi mani, tarahai wiro deinawia kaha, wape ambori sefa fimaninangfoi ki. ",,
"","Fi fuba ne mani, mahikai mani, wiro kohefang kaiwasafoi fanai, weo wau wera wawerahaifa we mantei dino sobu maninangfoi ampa. ",,
"","Fiampinai ",,
"","inontarai biriai ",,
"","wa dereung ete andefo ",,
"","Aisu lifi autai nai foi ",,
"","tisufoi ",,
"","gelasi",,
"","Radio tuti hp ",,
"","Ete wea mani niai na maskeri dereung boriai fo",,
"","taru tawarami ",,
"","Fi rufi nai na komputeri ",,
"","Fitoi nai foi ",,
"","Fi taba aisu rahutu ",,
"","ewarami fo ",,
"","Tonanaiki wape, wea mani aiwiwahio inontarai meninang foi, tetaha na... ",,
"","nana mani, miawa we maninangfoi sau we mea kiai ki.",,
"","ete euremi, mano enemuwawusa fosa ",,
"","wukoya uremu ",,
"","Enemufunong wau we waramu kariri fianggeng fuba nani, maiweai waramu we uremuwa nariai ahang, ",,
"","Rang boyari denteng we kaharai weru virusinei mani ruai fianggeng nani na sabong, baiklini, ete alkohol. ",,
"","Virusinei saha na fiea mani, wiataia paria rahida bei sentenang. ",,
"","Sabong",,
"","na kofane, ambori kaharai weru virusinei.",,
"","Ampafe mai mani nari kariri fi ",,
"","Ruai waramufangwa paria waramurengwa",,
"","waramubuka ",,
"","DOHONA WARAMU WE UREMUWA FE (ete inontarai siai euremifo konta fe). Ete, wiro ru uremu ete euremi kaharai mae ruai waramuwa mararebanai na sabong. ",,
"","Kariri rohi rarung Yesusi de damato. ",,
"","Waramudiwa",,
"","Paria detiki 20 ",,
"","Waramu kikeha ruhia wa ",,
"","Ruai waramufang yai wa",,
"","Ampafe todoni e taruai tawarami paria mararebanai? ",,
"","Waramu wea mani, dohona mutai fe, mae wukahera we ruai rurang waramuwa na sabong.",,
"","Dohona waramu we maskeri dereung boriai foi fe. ",,
"","Aiwiwahifoi tipa ",,
"","Maskerinei tatari waroi mani ambori fimaninang antitungfoi sinsung dereung rorong fo. ",,
"","Numuroainso maskeriwai werarikara mani kobioi weruai. Tatari paria rahida bei terai. ",,
"","Ruai fiang na aikahai raung bei. ",,
"","arikang ",,
"","Dai",,
"","Ai",,
"","Meiri wau bufi na nemu handukiwai terai. ",,
"","Dohona metang ruhia fiang fe; dohona metang na rewanguai bei ruhia fe; tuti metunung na gelasi ruhia fe ete handuki ruhiai fe.",,
"","Aweo waramubukawai wiro kefang we uremuwai kaha, nari tituaitai. ",,
"","Mawa mani, fai tuti kufe rahutu na waramubukawai. ",,
"","Munu",,
"","na kutu baraberawau nano kaiwasa bitoya foi ",,
"","na kutu bampi kaharai fo   ",,
"","Ruai waramuwa na sabong... ",,
"","Werea ne mani, ",,
"","Boitawang biriawa! ",,
"","Boitawang biriawa!",,
"","Roto firabang siai kontai kariri fitoi na yai fenina!",,
"",""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
"",""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
"",""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
"","Fiatori we mano manggarawang erufi na munu maninang fosa. ",,
"","Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",,
"","",,
"","",,
"","",,
