source,translated,question,answer
"CANCIÓN DEL CORONAVIRUS","",,
"","",,
"","Lengua de Señas Colombiana: Sebastian Nuñez Filmación: Eudes de Armas y Kelly Rojas Edición: Luis Forero, Sebastian Nuñez Ilustración: Teófilo Padilla Subtitulación: Xiomara Martínez",,
"","Agradecemos a los generosos donantes que hicieron posible este proyecto.",,
" Canción del Coronavirus","",,
"Miramos por todos lados escuelas cerradas y trabajos también.","",,
"Los niños y niñas no entienden y siguen sin entender.","",,
"La esperanza es nuestro futuro si siempre pensamos en la oración.","",,
" Lavarse las manos, usar la mascarilla es así como las familias y amigos deben estar. Quedarse en casa es mantenerse protegido.","",,
"Es tiempo de ver a la familia, abrazarnos con amor y compartir juntos actividades con amor, no sentir temor sino abrazarnos nuevamente como familia.","",,
"Este es el tiempo de quedarse en casa, este es el tiempo de quedarse en casa.","",,
"Lavarse las manos, usar la mascarilla correctamente es cuidarse a sí mismo y a la familia; y al ver a los amigos un saludo cordial nos daremos puño a puño y codo a codo. Es tiempo de seguir esperando, de seguir esperando.","",,
"CANCIÓN DEL CORONAVIRUS    CANCIÓN DEL CORONAVIRUS       Canción del Coronavirus  Canción del Coronavirus Miramos por todos lados escuelas cerradas y trabajos también. Los niños y niñas no entienden y siguen sin entender. La esperanza es nuestro futuro si siempre pensamos en la oración.  Lavarse las manos, usar la mascarilla es así como las familias y amigos deben estar. Quedarse en casa es mantenerse protegido. Es tiempo de ver a la familia, abrazarnos con amor y compartir juntos actividades con amor, no sentir temor sino abrazarnos nuevamente como familia. Este es el tiempo de quedarse en casa, este es el tiempo de quedarse en casa. Lavarse las manos, usar la mascarilla correctamente es cuidarse a sí mismo y a la familia; y al ver a los amigos un saludo cordial nos daremos puño a puño y codo a codo. Es tiempo de seguir esperando, de seguir esperando. Este es el tiempo de quedarse en casa, este es el tiempo de quedarse en casa.  ","     Lengua de Señas Colombiana: Sebastian Nuñez Filmación: Eudes de Armas y Kelly Rojas Edición: Luis Forero, Sebastian Nuñez Ilustración: Teófilo Padilla Subtitulación: Xiomara Martínez Agradecemos a los generosos donantes que hicieron posible este proyecto.               ",,
