source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19 ",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","                NJƐMƐ MOT A WƐL",,
"","- Coronavirus - Bat ba dulagh di ma kwɛl ɔ nyol - Biyemblan - Ditombis dya dulagh dya coronavirus - Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ - Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu",,
"","p.2 p.3 p.4 p.5 p.6  p.8 ",,
"","Coronavirus wa ba baghɛ na si COVID-19, dulagh di kɔlɔn. Ba na kolɛ di byana di botɛ ɔ mu ma lal na yogh, ɔ ngɔnd ya mandindɛn, ɔ mwa bikoli biba na dyɔm na dibugh (2019) Dulagh mɛn di wɛl ɛyɛmblan ya ɛkosi na ɛbomb tɛ di fiti di yɛlan mot ɔ mujumb mwa mudimb. Dulagh mɛn di ma kawɛn ɔ miki jita mya mika mwase. Bibotedi bya dulagh din wan di  si bilɛni.",,
"","Mot a ma jind",,
"","Mot wa a wɛl dulagh dya mulɛm",,
"","Bat ba dulagh di ma kwɛl ɔ nyol  Nyɔŋgɔn ɛsus ba fiti di wɛl dulagh di kɔlɔn din. Bat ba ma jind, na  bat ba ba ma wɛl mulagh na si dulagh dyo ɔ sɔ so pɛmi lɛ, na dulagh dya fikpa na dulagh dya mulɛm, na dulagh dya maki ma kundil ɔ molo mwa mot mɔ ma befi jita na ma tani dulkagh dibey din dya ba fiŋgil na coronavirus.",,
"","-Mubonji -Di jɛ dya nyol",,
"","-Ekosi ya ɛfɛghɛsi-Missis mya mya wa",,
"","Biyemblan Biyɛmblan bya dulagh dya coronavirus bi yɔ mulɛmlɛm na si ɛbomb, mubonji, ɛkosi ya ɛ fɛghɛsi, na missis mya mya wa na di jɛ. Doŋgo dya bat ba wɛl mulagh ba wɛl buwa, na ɛbomb ya etigh mot ɔ dyo, na ɛbom ya ese fɛghɛs. Na buwa bwa etogha ngom. Na dinya dibi dya maki. Ditu dya bat ko kana ba ma wɛl dulagh mɛn, ba si wɛl eyɛmblan nde ba yɔ lɛ. Ditu bá pu esiba na ba bolan mel.",,
"","Mot na ekosi",,
"","Ditombis dya dulagh dya coronavirus COVID-19: dulagh din wan dyá tombɛlɛn na bat ɔ nyol a na bat ba ba wɛli dulagh mɛn, ba vutɛn bapɛ ba ba si wɛli. Na mot a vul ɛkosi ko a simi ma byom bya bya nyet mɔ ɔ dyo na mujum byo bi yɔ dulagh mɛn. Na mot a nɔŋg ɛfu ya mot am koso ekosi, ko di simi dulagh dinu difit di wali mot mɛn. Na mot a myeti yom ya dualgh di ma bandam wɔ, tɛ a myɛti mǐs ɛmawɛ, dyo ɛdyawɛ ko mujum ɛmwawɛ, dulagh dinu di fiti di wali mɔ.",,
"","Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ",,
"","1.  Bol na ɔ si myɛti mǐs,dyo na mujumb ɛmawɛ. ",,
"","2. Yofo maka bité na bité, na sɔpi na mali ma ma yagha, tɛ ɔ tiso na tahili ya esaŋgi.",,
"","3. Ɔ koso na di simi ɔ ɛpapagh ɛyawɛ.",,
"","4. Bol na osi dya nyam ɛpéyn na di myeti biyɛmbɛ bya bi yɔ loŋgɛ.",,
"","5. Ɔ si vutɛn mot wa a koso na wa a simi, ɔ mima mita mwɔgh. ",,
"","6. Ɔ si somɛn bat na maka, ɔ byawan bat na di nughi dya molo kona mujumb. ",,
"","7. Si si yɛlagh ɔ matan.",,
"","8. Si mima fumfogh si si kɛndɛ kɛndɛ.",,
"","9. Si kɛg si baghɛ na di waso myaŋgo mya mya fu ditɛŋgɛn coronavirus.",,
"","Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu  Na ɔ yɛmbi na ɔ mɔ wɛl dulagh mɛn: -         Ɔ si yɛlagh ɔ fatɛn ya bat -         Mima ɔ nadw ɛyawɛ -         Ɔ fiŋgil 1510 tɛ ɔ nan malɛf ma dokta. Ɔ fiŋgil misɔŋgi min wan:",,
"","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"","Kɛntɛ jɛ bwla bwa di puli dulagh dya covid-19 bu sey. Nde bat ba bugha di wasio manjɛ ma di sagh mel ɔ di puli bat. Mot musus a wɛl di nɔŋg jangamɛn ɔ di tati nyol ɛyawɛ na dulagh di bey din na bat b aba vuten mɔ ni di si wali bɔ.",,
"","",,
"","",,
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19    Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19                                                               ","Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19   Cameroon Association for Bible Translation and Literacy  Njɛmɛ mot a wɛl di baghɛ ditɛŋgɛn dulagh dya CORONAVIRUS na COVID-19                        NJƐMƐ MOT A WƐL - Coronavirus - Bat ba dulagh di ma kwɛl ɔ nyol - Biyemblan - Ditombis dya dulagh dya coronavirus - Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ - Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu    p.2 p.3 p.4 p.5 p.6  p.8  Coronavirus wa ba baghɛ na si COVID-19, dulagh di kɔlɔn. Ba na kolɛ di byana di botɛ ɔ mu ma lal na yogh, ɔ ngɔnd ya mandindɛn, ɔ mwa bikoli biba na dyɔm na dibugh (2019) Dulagh mɛn di wɛl ɛyɛmblan ya ɛkosi na ɛbomb tɛ di fiti di yɛlan mot ɔ mujumb mwa mudimb. Dulagh mɛn di ma kawɛn ɔ miki jita mya mika mwase. Bibotedi bya dulagh din wan di  si bilɛni.   Mot a ma jind  Mot wa a wɛl dulagh dya mulɛm Bat ba dulagh di ma kwɛl ɔ nyol  Nyɔŋgɔn ɛsus ba fiti di wɛl dulagh di kɔlɔn din. Bat ba ma jind, na  bat ba ba ma wɛl mulagh na si dulagh dyo ɔ sɔ so pɛmi lɛ, na dulagh dya fikpa na dulagh dya mulɛm, na dulagh dya maki ma kundil ɔ molo mwa mot mɔ ma befi jita na ma tani dulkagh dibey din dya ba fiŋgil na coronavirus.   -Mubonji -Di jɛ dya nyol  -Ekosi ya ɛfɛghɛsi-Missis mya mya wa Biyemblan Biyɛmblan bya dulagh dya coronavirus bi yɔ mulɛmlɛm na si ɛbomb, mubonji, ɛkosi ya ɛ fɛghɛsi, na missis mya mya wa na di jɛ. Doŋgo dya bat ba wɛl mulagh ba wɛl buwa, na ɛbomb ya etigh mot ɔ dyo, na ɛbom ya ese fɛghɛs. Na buwa bwa etogha ngom. Na dinya dibi dya maki. Ditu dya bat ko kana ba ma wɛl dulagh mɛn, ba si wɛl eyɛmblan nde ba yɔ lɛ. Ditu bá pu esiba na ba bolan mel.  Mot na ekosi Ditombis dya dulagh dya coronavirus COVID-19: dulagh din wan dyá tombɛlɛn na bat ɔ nyol a na bat ba ba wɛli dulagh mɛn, ba vutɛn bapɛ ba ba si wɛli. Na mot a vul ɛkosi ko a simi ma byom bya bya nyet mɔ ɔ dyo na mujum byo bi yɔ dulagh mɛn. Na mot a nɔŋg ɛfu ya mot am koso ekosi, ko di simi dulagh dinu difit di wali mot mɛn. Na mot a myeti yom ya dualgh di ma bandam wɔ, tɛ a myɛti mǐs ɛmawɛ, dyo ɛdyawɛ ko mujum ɛmwawɛ, dulagh dinu di fiti di wali mɔ.     Waŋgo ɔ fiti di kombɛn nyol ɛyawɛ 1.  Bol na ɔ si myɛti mǐs,dyo na mujumb ɛmawɛ.   2. Yofo maka bité na bité, na sɔpi na mali ma ma yagha, tɛ ɔ tiso na tahili ya esaŋgi.  3. Ɔ koso na di simi ɔ ɛpapagh ɛyawɛ.  4. Bol na osi dya nyam ɛpéyn na di myeti biyɛmbɛ bya bi yɔ loŋgɛ.     5. Ɔ si vutɛn mot wa a koso na wa a simi, ɔ mima mita mwɔgh.   6. Ɔ si somɛn bat na maka, ɔ byawan bat na di nughi dya molo kona mujumb.   7. Si si yɛlagh ɔ matan.  8. Si mima fumfogh si si kɛndɛ kɛndɛ.  9. Si kɛg si baghɛ na di waso myaŋgo mya mya fu ditɛŋgɛn coronavirus. Njɛmɛ ɔ fiti di bol, na ɔ wɛl dulagh dinu  Na ɔ yɛmbi na ɔ mɔ wɛl dulagh mɛn: -         Ɔ si yɛlagh ɔ fatɛn ya bat -         Mima ɔ nadw ɛyawɛ -         Ɔ fiŋgil 1510 tɛ ɔ nan malɛf ma dokta. Ɔ fiŋgil misɔŋgi min wan:  699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 357 699 986 740 676 466 797 670 113 761  Kɛntɛ jɛ bwla bwa di puli dulagh dya covid-19 bu sey. Nde bat ba bugha di wasio manjɛ ma di sagh mel ɔ di puli bat. Mot musus a wɛl di nɔŋg jangamɛn ɔ di tati nyol ɛyawɛ na dulagh di bey din na bat b aba vuten mɔ ni di si wali bɔ.   ",,
