source,translated,question,answer
"Sobre el Coronavirus","About Coronavirus",,
"","",,
"Hay solo UNA cosa que usted necesita entender de como el coronavirus","",,
"SE PROPAGA","",,
"la boca","",,
"la nariz","",,
"los ojos","",,
"entran en","",,
"Persona Sana","",,
"Persona Enferma","",,
"El virus se propaga cuando estas gotitas","",,
"Mantener distancia. Con una distancia de 2 metros puede evitar contacto con las gotitas.","",,
"1","",,
"2m","",,
"¡Achú!","",,
"Si ve a alguien que tose, estornuda o está enfermo, puede:","",,
"Darle una mascarilla.  Así, la persona puede toser o estornudar sin poner en riesgo a los demás.","",,
"2","",,
"¡¡¡Gracias!!!","",,
"También puede:","",,
"Quizá no está enferma, sólo está protegiéndose.","",,
"Puede que personas infectadas no presenten síntomas, pero aún así son ﻿contagiosas.","",,
"En general, le conviene evitar lugares con mucha gente, porque no sabe quien podría estar enfermo.","",,
"palillos/﻿cubiertos","",,
"persona﻿sana","",,
"agarraderas","",,
"botones","",,
"pañuelos","",,
"vasos","",,
"celulares y computadoras","",,
"hasta en el exterior de la mascarilla","",,
"barandal","",,
"mouse","",,
"lapiceros","",,
"pomos","",,
"manos","",,
"A veces, la saliva de una persona enferma puede pegarse en otras cosas.","",,
"todos podrían enfermarse.","",,
"o la de un querido","",,
"frota los ojos","",,
"Si toca cualquiera de estas cosas sin querer y después se toca la cara,","",,
"La única manera eficaz de eliminarlos es lavar los objectos con jabón, blanqueador o alcohol medicinal.","",,
"Los virus pueden durar muchas horas en los objetos.","",,
"jabón","",,
"precauciones","",,
"Para evitar contagios, siga estas","",,
"lávese con﻿jabón hasta aquí","",,
"codo","",,
"No toque su cara (o la de alguien más).﻿Si tiene que hacerlo, lávese completamente las manos","",,
"el tiempo suficiente para cantar "Cumpleaños feliz" dos veces","",,
"debajo de las uñas","",,
"por 20 segundos","",,
"entre los dedos","",,
"lávese la parte de atrás","",,
"¿Qué quiere decir "completamente"?","",,
"Si lo hizo, no se preocupe.  Solo lávese bien las manos con jabón después.    ","",,
"No toque el exterior de la mascarilla.","",,
"gotitas","",,
"Si la uses por mucho tiempo la misma mascarilla puede acumular bacterias por dentro.","",,
"Tire las mascarillas que estén sucios.﻿¡No las use más de un día!","",,
"Use una cuchara especial para servir.","",,
"Bebé","",,
"Papá","",,
"Mamá","",,
"Todos deben de tener su propia toalla.","",,
"No comparta comida, cubiertos, vasos ni toallas.","",,
"No puede tocarse la cara con los codos, por más que lo intente.","",,
"Abra y cierre las puertas con los hombros o codos. Evite usar las manos.","",,
"Hogar","",,
"y después de estar en la calle.","",,
"antes de comer","",,
"Siempre lávese las manos...","",,
"Finalmente,","",,
"¡CUÍDENSE!","",,
"Lee estos artículos para mayor información.","",,
""This animation shows how far your sneeze can actually travel" por Chia Yi Hou, en Business Insider (21 de enero de 2020)","",,
""The Wuhan Virus: How to stay safe", por Laurie Garrett, en Foreign Policy, Repert. (25 de enero de 2020)","",,
""How to avoid the coronavirus? Wash your hands" por Elizabeth Sosenthal, en The New York Times, Opinion. (28 de enero de 2020)","",,
"Principales referencias médicas:","",,
