source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Yúu mi pʉʉ gẅɛɛ nɛjí nǔu gɔɔ yi pɛ́ fúŋnɛ ŋgɔ Kɔlɔ́navilus covid19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                      MƐTÚ-NU",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Gɔɔ-kɔlɔ́navilus - Pʉɔ pínɛ ḿbɔ́ gɔɔ yɔ fɛ́Ꞌnɛ ŋ́kúu nǔu pɔ́p - Mɛsap mɛ́ - Ntɛ́ yi ɛ́ lɔknɛ ńdɛɛtɛ - Ḿbɔ́ pɛ́ páa gɔɔ yɔ ŋgɔ ku? - Ɛ́ laa ŋ́gẅɛɛ wú ɔ gɛ páꞋa? ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","P.2  p.3 p.4 p.5 p.6 p.8 ",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Gɔɔ-kɔlɔ́navilus  Kɔlɔ́navilus yi pɛ́ pɛnnɛ ɛ́fúŋ ŋgɔ Covid19, ɛ́ táꞋ cucu fí, nduŋmbi zʉꞋ nɛlɛꞋlɛ ka pɔ́ Shînɛ nǔu lɛ́Ꞌ ntsɔ̌pmɔ́Ꞌ mɛgɛ́mɛ́ntát nǔu pɛsaŋ ntsɔ̌ppá nǔu ŋguꞋ ntsáꞋ yɛ́pá nɛ́ ntsɔ̌pnɛ́pfúꞋú. Mɛsap mɛ́ páꞋ fúꞋ lá. Ɛ́ lɛɛ tɛ ŋ́gáꞋ ḿbɔ́ yi ḿbɔ́ ɛ́ jẅí ŋu. Ɛ́́ sat zʉꞋ tsɛt mɛgɔŋ tɛ ńzáa. Pɛ́ pɛ́t kɛ́ jí fúnɛ gɔɔ ɛ̂yá.",,
"Elderly person","Pʉɔ tsʉklɛ́nɛ",,
"Person with a heart condition or disease","Pʉɔ pɔ́p gẅɛɛnɛ gɔɔ nzɔꞋ pɔ́p, mba pagẅɛɛ mɛcɔ́ mɛgɔɔ",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pʉɔ pínɛ ḿbɔ́ gɔɔ yɔ fɛ́Ꞌnɛ ŋ́kúu nǔu pɔ́p  Ḿbɔ́ cucu fí ɛ̂yá kúu nǔu pʉɔ pínɛ pɔ́p gẅɛɛnɛ mba yɛ́tɛ́ ndɛn ŋguꞋ lá. Pʉɔ tsʉklɛnɛ mba pʉɔ pínɛ pɔ́p gẅɛɛnɛ mɛgɔɔ páꞋ: (kẅak tʉʉ, gɔɔ-súkaa tsɛt mɛci, gɔɔtʉ́m (taŋsyɔŋ) ḿbɔ́ pɔ́p vu gɔɔ ɛ́ gáꞋ ntɛ́ cucu ɛ̂yá.",,
"Fever Fatigue","-Lyɔknút -Káa",,
"Dry cough Muscle aches and pains","-Kẅak tʉʉ -Mbʉʉ záŋnɛ",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mɛsap mɛ́  Mɛsap-kɔlɔ́na páꞋ yɛ́ fúꞋ: lyɔknút, kẅak tʉʉ. mbʉʉ záŋnɛ, káa, pɛcɔ́ gaŋgɔɔ pɔ́p zúꞋnɛ kɛpɔŋ mbʉʉ pɔ́p, mɛlẅí cúnɛ, gák záŋnɛ mba fʉꞋnɛpɛm. Cucu ɛ̂yá nǔu pɛcɔ́ pʉɔ lá mbɔɔ nyɛt mɛsap mɛ́ pɔ́, pɔ́p pɔ́p pɔ sʉ́Ꞌnɛ. Nɛzáa pʉɔ fíitɛ mba kɛ́ nɔ́ yɛcɔ́ fu.",,
"Person with a cough","Ŋu ẅinɛ a kẅáknɛ",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ntɛ́ yi ɛ́ lɔknɛ ńdɛɛtɛ  Kɔlɔnavilus covid19 sɛ́ ńdɛɛtɛ ɛ́fú nǔu pʉɔ pi pɔ́p gẅɛɛnɛ cucu, ŋgaŋ lɛɛ tɛ ŋ́kẅák, mba nɛtíkŋɛ, mɛtɛ́ cẅɛt ntsu wɛ́ mba puu nɛcẅɛt mɛlẅí wɛ́. Ḿbɔ́ ŋu laa ńzẅikŋɛ mɛtɛ́ ɛ̂má kúu mbʉʉ yɛ́, ḿbɔ́ kɔlɔ́navilus gʉ ŋ́ḱúu nǔu wɛ́. Ŋu laa ŋ́kuu yúu mi mɛtɛ́ ɛ̂má nǔu ḿbɛn ŋ́kúu mík mɛ́ mba mɛlẅí mɛ́ kɛ pɔ ntsu wɛ́ ɔ́ɔ, ḿbɔ́ gɔɔ ŋ́kúu nǔu wɛ́.",,
"How to protect yourself","Ḿbɔ́ pɛ́ páa gɔɔ yɔ ŋgɔ ku?",,
"1. Avoid touching eyes, nose, mouth.","1- Ḿbáa nɛkuu mík mú, mɛlẅí mú mba ntsu wú.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2- Ɛ́suk mbɔ́ mú nɛ́ ŋki cʉ́ɔnɛ nɛ́ suk, ḿbɛn ńdɔ́k yúundẅí lɛ́ɛnɛ́nɛ ńtuk.",,
"3. Cough and sneeze into the crook of your arm. ","3- Ŋ́kẅák mba nɛtsíkŋɛ tsɛt ŋgít-pɔ́ yu.",,
"4. Avoid eating raw meat and touching live animals.","4- Ḿbáa nɛkwɛ́t mbap kɛ́ pí mba nɛkuu mɛnaa mi pɔ́p pɛ́t ntʉʉ.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5- Ḿbáa nɛtʉ́ʉ mɛtaa nɛjɔ́ŋ ŋu ẅí a kẅaknɛ mba nɛjɔ́ŋ ŋu ẅí fúꞋ nǔu wɛ́ a pɔ́ ńtsíkŋɛ.",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6- Ḿbáa nɛcɛꞋlɛ ŋu nɛ́ pɔ́. maꞋlɛ pɔ́ mba ntsu ńdɔk ńcɛꞋlɛ.",,
"7. Avoid gatherings. ","7- Ḿbáa zʉꞋ pɛ́ cúꞋlɛ́nɛ zúꞋ tɛ ńzáa.",,
"8. Restrict movement.","8- Cẅɛ́tɛ nɛnɛn wu. ",,
"9. Keep informed and verify the source of information.","9- Nɛpɔ́ ńzúꞋ mɛŋkʉʉ ḿbɛn ńtsuŋ ńjí zʉꞋ mɛŋkʉʉ ɛ̂má fúnɛ.",,
"What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:","Ɛ́ laa ŋ́gẅɛɛ wú ɔ gɛ páꞋa?  Mɛsap laa ńcẅɛt nǔu gu: - Ɔ páa páꞋ ḿbɔ́ pʉʉ pɛcɔ́ pʉɔ tɛmtɛ zʉꞋ - Ɔ náŋ ndá. - Ɔ fúŋ (1510) ḿbɛn ńzúꞋ ntík pɛndɔkta. Pɛcɔ́ pɛnɔ́mbaa pʉ́ɔ laa ntsʉ́ʉ.",,
"699 279 622 675 308 373 698 423 929 655 728 884 670 713 979","699 279 622 675 308 373 698 423 929 655 728 884 670 713 979",,
"699 933 725 677 429 357 699 986 740 676 466 797 670 113 761","699 933 725 677 429 357 699 986 740 676 466 797 670 113 761",,
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Yɛ́cɔ́ fu ká pɔ́ gú lɔ́Ꞌnɛ nɛlɔk ńzɔŋ covid19 pɔ́, lá ŋgɔ́mɛna sɛ́ ńdɔɔ shʉ́ nǔu kwaꞋ fu yɛ́.",,
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","",,
"","",,
