source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Ale aməgəsaka aməsəre nəvá kə koronavəyrəws aka Koronavəyrəws bəyɗu kovəyd-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                      MA TOFL GA",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","-Koronavəyrəws -Ndam məsəye avəya ahay -Məwere ahay -Məjəve anga koronavəyrəws -Məjəgorakəvá va ná memey? -Asa ajəvan avá ana məze ná məgəye na ahàŋ ná memey? -Məpəseke ma ahay məgəye gar ahayga  ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6  p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Koronavəyrəws  Koronavəyrəws ná, sləmay aháŋ ese ɗəw ná, kovid-19. Ndahan ndana vəyrəws wawəyga, angazlava cecəkem ná a Səyn, məndəye 31 anga kəya hazlav məvəye 2019. Məwere ahàŋ ná azavá nə anga mədegeŋ nata a slam enen ava ɗəw asa adəla gədan avá ná, azala meməɓəsem. Awəɗəvá kə wəyen ahay aka góbay, hərwəyen həddek. Ale amazala cəje ndana məsəre va ga bay.",,
"Elderly person","Məze aməgarəvá məvəye",,
"Person with a heart condition or disease","Məze aməgarəvá cəje a ɓərav bəyɗəw aməsəye avəya nə cəje",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Ndam məsəye avəya ahay Məze ahay aməgarəvá məvəye kó weley weley bom nata babəza ahay jəyga, vəyrəws wawəyga nehe ná, anjavá aməjəvata. Məze ahay aməgarəvá məvəye nata məze ahay amanday aməsəye avəya nə cəje ɓáɓa fan  ká: Cəje aməsləkəce məze (asme), cəje a ale pəɗococga (diabete), cəje a ɓərav (cardiaque), cəje amədəgele (l’hypertention arterielle). Məze ahay nehe ná asa vəyrəws ná, asa agas ta ná, azakataka ná gam.",,
"Fever Fatigue","-məbiye oko kavaka -məyeɗe",,
"Dry cough Muscle aches and pains","-məɓəsle sasəfəlak ga -alməwere aməkəɗe hərva",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Məwere ahay Məwere aməjəve anga koronavəyrəws ná tazaɗva nə cəje a mədegen: məbəye oko kə va aka, məɓəsle sasəfəlak ga, alməwere  aməkəɗe hərva ɗesl ɗesl ga nə məyeɗe. Ndam cəje enen ahay ná tanday tecen məwere, afərta a mococoŋ ava, anday angəzala nə hənder, awar mburlom bəyɗu məvəre azay. Məze enen ahay nə cəje ndana aməjəvatəvá ná, məwere ahàn azlərav dala bay, tətá pəyecece. Ndam cəje ahay ndana ná, ele malanga tanday tambar mənjaɗ həraf.",,
"Person with a cough","Məze amanday aməɓəsle",,
