source,translated,question,answer
"O Leleno Virusu Korona","About Coronavirus",,
"","",,
"","",,
"Amea paghalulu kakumonie nakee maimpae virusu korona ana  nopikalele","",,
"Bhobha","",,
"Ngo'o ","",,
"Mata","",,
"Nopisua i lalono","",,
"Mia mantaha","",,
"Mia kopanaki","",,
"Virusu iaana nopikalele nopilala i  tampisano ilu","",,
"Pikombelai. Ciabhe naghumatoso tampisano ilu sumano cumianda-anda i kambelai ghua meteghe.","",,
"1","",,
"0,5 m - 2 m","",,
"Tamiaciho ‘Haaachi’","",,
"Jari, ane cumita mia nakokudha/namiaciho/ nakopananaki, isoo cumimbali uka:","",,
"Dhawuisie maskere. Jari moia namimbali namiaciho atawa nakokudha ilalono maskereno dhiaaso napasalamati mia I lepe-lepeno. ","",,
"2","",,
"Tarima kasi “SROOT”","",,
"Atawa","",,
"Itaano kabilanga mia iaana cia nakopanaki. Hawite nopajaga kuluno.","",,
"Ane mia nokovirusumo agaa cia nacikoni, hawali nopimbali nopolimba panakino (imia agaano ‘orang lain’).","",,
"Kaumelasano hake, kolie kapoghompu-ghompu hulanomo cia takumonie Inde-indeeno kopanakino.","",,
"Maataa","",,
"Kauntaano kereta","",,
"Kaisono lifu","",,
"Tisu","",,
"Tonde","",,
"Paghewano digitala","",,
"Mohake italikuno maskere","",,
"Kauntaano ea","",,
"Mousu","",,
"Pena","",,
"Limano bhobha","",,
"Limano moia","",,
"Hawali, agaa iluno mia kopanaki nopimbali nopika i...","",,
"Siambalimbalisimiu cukakopanaki","",,
"Atawa hulano mia tatangkuno mai isoo ","",,
"Cugigisimo matamu","",,
"Mohake cia cukamaghadhami cukaghumuncu  bara-bara longkee pooliwange cukaghumuncumo hulamiu.","",,
"Ame-meano Lala dhiaso tamikawulu virusu iaana towanuiisie sabo, pemutih, atawa alkoholo.","",,
"Virusu iaana nodhadhi padhai ghua pulu pato jamu i wiwino bara-bara.","",,
"Sabo","",,
"lala niumelaaso doghi.","",,
"Longkeenomo, umelano pali tahumokoloe","",,
"Wanuiisie sabo padhai kanakee","",,
"Mina i palano lima padha i siku","",,
"Kolie mughuncu hulamu(atawa hulano mia). Ane ciamo nacitaghai, wanuiepo pangulu limamiu kapakeisie sabo.","",,
"Kabilanga topilaguaso “Lakadhandio” ghua mpalinga","",,
"I woghuno kunusu","",,
"I lalono 20 deti","",,
"I lapitano wunga lima","",,
"Towanui toghukuno  lima","",,
"Maimpae towaanui lima sampe nomongkilo?","",,
"Ane nocidhingkumo, kolie katokinda. Kawanuie maghimba limamiu kapakeisie sabo.","",,
"Kolie kaghuncu talikuno maskere.","",,
"Tampisano ilu","",,
"Bakteri iaana nokoana-ana i lalono maskere ane topakee nomelengo pali.","",,
"Kakabhiemo maskeremiu ane nojahanamo. Kolie kapake maskere nakolabhimo aalo.","",,
"Kapake kasidhuno pikughi","",,
"Ana/ ungkaka ","",,
"Ama","",,
"Ina","",,
"Kapake handu amia-amia","",,
"Kolie kapikabhawaaso kamaa, maataa, tonde, mai handu.","",,
"Cia cumooli cughumuncu hulamu cupakeisie sikumu.. sobaepo.","",,
"Ane namimbali, cukamambe atawa cukahomompo bhobha kapakeiisie siku atawa bhobhose.","",,
"I kaana","",,
"Kamina i kaghamaea","",,
"Mina ciapo cukamaa","",,
"Pikaneaisiie wanuie limamu kapakeisie sabo","",,
"Pupusiano","",,
"Kajaganie kamantaha- (miu kalian’)!","",,
"Kabacae kopomba agaano dhoghi i wawo","",,
""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","",,
""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan 25, 2020)","",,
""How to avoid the coronavirus? Wash your hands", by Elizabeth Rosenthal, in the New York Times, Opinion (Jan 28, 2020)","",,
"Kapoomba Dhiaaso Tamantahaaso:","",,
"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com","",,
"","Diterjemahkan dalam Bahasa Ciacia oleh La Yani Konisi",,
"","Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org",,
"","Created by Weiman Kow, instagram: weimankow",,
