source,translated,question,answer
"Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19","Anwɔ̀ɔ yə ghò teʼe mɨ̀ zaà a nɔ àghɔɔ yə adzwì abè bə̀ tɔg̀ɔ̀ ni CORONAVIRUS kə̀ ni COVID-19",,
"","",,
"","Cameroon Association for Bible Translation and Literacy",,
"","",,
"","",,
"","",,
"                                                  SOMMAIRE","                      MƗ̀ TSÈTÌ MƗ̀NWƆƆ ",,
"- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles","- Àghɔɔ wu (coronavirus) - Bə̀bəə kaʼa àghɔɔ wù azàŋsi ngàga a wə̀ - Bɨ̀ məndum mɨ zà ngə̀ àghɔ wù dzwi a nò ŋwè - Loʼowə̀ bu àghɔɔ wù a lèm - Ìloʼo mɨ̀ tòʼònì ni ìno yò - Ànwɔɔ yə̀ fu ghò gè tə̀fu àghɔɔ wù a gàgà ghò ",,
"p.2 p.3 p.4 p.5 p.6 p.7 p.8","p.2  p.3  p.4  p.5 p.6  p.8 ",,
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Àghɔɔ wu (coronavirus)  Àghɔɔ wu (COVID-19) tə bɨ bè ntɔgə̀ ni COVID-19, là àghɔɔ fi. A mbəə la no ŋwɨ̀ clìsì (31 december, 2019) a làʼà China tə̀ bɨ̀ nchyəmbì i shɨgə̀ a nɔ  àghɔɔ wù. A dzà là no ŋwɨ̀, kə̀ nò àkwe tə̀ngtì kàʼa a jwìlə̀ ŋwè. Àghɔɔ wù zaalì a nò ìtùm ghàʼannì a mbì wè. Bɨ bì tìni zà ngə̀ àghɔɔ wù a lwoo là ìfə̀ lə̀.",,
"Personne âgée","Bɨ̀təŋkaŋ bə̀",,
"Personne cardiaque ou souffrant de maladie","Ŋwè wə tə aghɔɔnə nʼaghɔɔ ntim",,
"Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus.","Bə̀bəə̀ kàꞋa àghɔɔ wù zàŋsì ngàgà a wə̀  Bwò àghɔɔ fì ze a gàgà a ŋwè ntsàm. Ìlwè bə̀, nì bə̀bəə̀ tə̀ bɨ̀ ghɔ̀nə̀ nʼàkwe ndzòʼò, àlèbə̀ ghàʼa, diatetes, nʼàghɔɔ ntìm. Yə̀ bə̀bəə̀ tə̀ fù àghɔɔ zè lòtì fɨ̀ ǹgə̀ʼə a mbuu bù naa tìkaŋ.",,
"- Fièvre - Fatigue","-nò ŋimni no -nikɔɔ",,
"- Toux sèche - Douleurs musculaires","-àkwe zhubɨ̀li -zàŋnì no",,
