source,translated,question,answer
"Penngissangngiqi naia nioaang Virus Corona","About Coronavirus",,
"","",,
"","",,
"Mesade de neiq pepahangngi umba noa caranan virus corona mellele. ","",,
"Sua","",,
"Pudung","",,
"Mata","",,
"Mettama laling","",,
"To magassing","",,
"To masaki","",,
"Indediq virus mellele moaq diang to tibarassi","",,
"Dako sikadukku beka pano tau. Moaq meloq tau amang Annaq uqde tau naroa elunna pano sola muaq tibarassi, dako sikdukku beka pano, allaqi sudangmmeteq.","",,
"1","",,
"2m - 0,5m","",,
"Haaachii!!","",,
"Aka deneiq namu babe muaq mangita tau to seqdeng, to tibarassi:","",,
"BENGNGI PANO MASKER. Jari mala kasiq tibarassi/Seqdeng laling di maskerna annaq malai mappasalamaq rupa tau.","",,
"2","",,
"Tarima kasih “SROOT”","",,
"Mala tobande","",,
"Uqde kapang masaski/mapiqdi indo tau. Napaparoa kalettuneiq kalaena annaq uqde naroa indeqe piqdiq.","",,
"Akaq indo to naleleimi inde piqdiq, uqde leqbaq tiqi nadiang nita pano makkuallaq-allaq dibatang kalaena. Aka deneiq memmanya-manya tau akaq indo pano tonaleleimi inde piqdi, mala toi neiq mambahaang piqdi pano rupa tau.  ","",,
"Aka deneiq, dako pano di tomaroaq, akaq uqdemi muissang mennami inde pano pesalasaohongang mamanya kasiq masaki/mapiqdiq.","",,
"Andeang","",,
"To Magassing","",,
"Pettuqgalanganna kereta","",,
"Pepesseqna lif","",,
"Palluqluq/ Tissu","",,
"Kaca/gallas","",,
"Pareba digital","",,
"Annaq disulihanna masker","",,
"Pettuqgalangan endeq","",,
"Mos","",,
"Polopeng","",,
"Ahona baqba","",,
"Tajena","",,
"Moa umba noa, akaq mala toi elunna sola mendekkeq pano ...","",,
"Namasaki/namapiqdiq nasakkoaq","",,
"Anna rupanna pano rupa tau to musikadukkuang,","",,
"Mupojoqi matammu","",,
"Muaq uqde mutumbanga mangatti indo pano barang-barang, annaq muatti bumi rupammu kalaemu.","",,
"Mesa kale deneiq mala nipogau annaq mala malai indeq pidiq, anna mala mate inde pambaha piqdi. akami indoqo, nibasei annaq nisabungngi, mala toi nipake indo pano anu mala mepamapute, annaq alkohol.","",,
"Indediq piqdiq nakulle tuho pano dinahang sambengi sangallo (24 jam) pano diahona barang-barang.","",,
"Sabung","",,
"aka nipogauq annaq malai malai inde piqdiq.","",,
"Akade neiq pengissangngi mating","",,
"Baseiqi, mappake tau sabung tandaq dinde.","",,
"Sikkung","",,
