source,translated,question,answer
"What you need to know about the CORONAVIRUS or COVID-19","Yɔ́ yá pɔ̂ wé mǝ́ zínǝ́ nǒ kolona vilʉsǝ kɛ́ COVID-19",,
"","",,
"","Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation",,
"","",,
"","",,
"","",,
"                    SUMMARY","                    Tsét'tsét'wě",,
"- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ","- Kolona vilʉsǝ - Pǝ pɔ́t’nǝ́ - Mǝntyamé - Ntya lɔndɛ́mǝ - Ntya lɔ̌ mba’ ? - Ntya lɔ̌ mba’ ? - Á wé ŋó pǝ́ wút lyé ? - Mǝkɛnǝ mǝdítsáp tǝ̌nǝ ",,
"p.2 p.3 p.4 p.5 p.6 p.7   p.8","p.2 p.3 p.4 p.5 p.6 p.7 p.8 p.9",,
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Kolona vilʉsǝ kɛ́ COVID tsópnǝpú á ghǒ fí, á ta’ vilʉsǝ fǐ. Pǝ nǝ ndɛnǝ wé nǒ mbíshʉ̂ nǝshu sɩ́nǝ nǒ lyé’mbí tsopmǒ nǝ mǒmǝ ntyénǝ́ fwo syé kǝt’sǝmét. Mǝ́ntya mé ndǔ cwétyǝ́ lǝ̂ mbí á ghyǝ́ tǝ́ njwé ŋó nǒ mǝcyǝ mǝ́ntya gha’nǝ. Á fwo nǝghá mǝtɔmbí. Pǝ nká zí nǝfɛ’ ghɔ̌.",,
"Elderly person","Ntǝ́nkyé ŋó",,
"Person with a heart condition or disease","Ŋó nzɔ’ zónǝ kɛ́ mba ghyé ghɔ̌",,
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pǝ́ pɔ́t’nǝ   Mbí pǝ́ na wé ghɔ̌ fǐ ghywǝ. Pǝ ntǝ́nkyé nǝ pǝghyéghɔ̌ pa pǒ nǝ mbǝ́nǝ ngwé ghɔ̌ (ndǔ nghǝ̌nǝ, ghɔ̌ sǝ́ka, ghɔ̌ nzɔ’, ghɔ̌ mǝ́shʉ́) fí ndú mǝ́nkwɛnǝ ghá ǒ mvǝ ghɔ̌ gha’nǝ ntya vilʉsǝ ghywǝlyé.",,
"Fever Fatigue","Ghʉ́nǝ Nkǎ ",,
"Dry cough Muscle aches and pains","Nkwɛ́ nzomǝ Mǝ́zhʉ́ mbê nzɔ́’nǝ",,
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Mǝ́ntyamé   Mǝ́ntya koloná vilʉsǝ fi ndú pǝ́ cywítyǝ́ : Ghʉ́nǝ, Nkwɛ́ nzomǝ, Mǝ́zhʉ́ mbǝ̌ nzɔ́’nǝ, nkǎ. Pǝcyǝ pǝghyéghɔ̌ zhwo mǝzɔnǝ, mǝlwí nanǝ, mǝlwí tsǝnǝ́, mwolwo’ nzɔ́’nǝ kɛ́ nǝpófa’nǝ. Pǝcyǝ, mba ka pǒ wé ghɔ̌ mǝntyamé ma kǝ nǝt mbǝ pǒ pó pǝ shʉ́’nǝ. Nǝzé pǝ̂ ponǝ kǝ nkwɛt’ fwǝ̂. ",,
"Person with a cough","Nó wá á nkwɛ’nǝ",,
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Mǝntya lɔ́ ndɛ’mǝ kɔlɔ́na vilʉsǝ  COVID-19 lɛ’mǝ pǝ̂ pa pǒ wé vilʉsǝ. Ta’ ghɔ̌ nkwɛ kɛ́ ntsɛ’nǝ, á fě mǝtwǝ nǝ mǝlwí mé kɛ́ nǝ tsǝt’ wǝ́. Ŋó njwɛnǝ mǝtwǝ mǝwó mbí á wé kolona vilʉsǝ. Nó kɔ̂ yɔ̌ yá mǝtwǝ mǝwó nǒ lǝ mbɛnǝ ndɔ̂ kɔ̂ mǐ mé, mǝlwí mé kɛ́ tsǝt’ wǝ́, mbí á ntɛ̌ ghɔ̌. ",,
"How to protect yourself","Pǝ mpǎ ghɔ̌ nga’kǝ ?",,
"1. Avoid touching eyes, nose, mouth.","1. Mǝpǎnǝ mǝkɔ̂nǝ mǐ, mǝlwí, tsǝt’.",,
"2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.","2. Mǝsónǝ mbwǎ nǝ nkǐ po ntsǐ. Ngut lǝ nzǐ mbwǎ nǝ yɔ̌njwǐ lǎnǝ.",,
"3. Cough and sneeze into the crook of your arm. ","3. Mǝkwɛ’nǝ po mǝtsɛ’nǝ fwo ghǝ́ pwǎ yó.",,
"4. Avoid eating raw meat and touching live animals.","4. Mǝpǎnǝ mǝkunǝ na’ pʉ̌ mbɛnǝ kɔ̂ mǝnɛ̌ ŋǎnǝ.",,
"5. Keep at least one meter away from a person who is cou- ghing or sneezing. ","5. Má mbanǝ ŋó wá á nkwɛ’nɛ kɛ́ á ntsɛ’nǝ. ",,
"6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.","6. Mpǎ mǝntsɛ’nǝ nǝ mpwǎ. Ntsɛ’nɛ ŋó nǝ ntyǝ kɛ́ lɔ́ ntsǝt’ ntsɛ’nǝ. ",,
"7. Avoid gatherings. ","7. Mǝpǎnǝ mǝ́cu’nǝ.",,
"8. Restrict movement.","8. Mbǎ wá nkǝmǝ mǝnǐnǝ mé.",,
"9. Keep informed and verify the source of information.","9. Ntǝ nzhwo’ mǝnǝ́ má á lénǝ mnenǝ nzǐ nǝfɛ’ yé.",,
