source,translated,question,answer
"Indik Virus Corona","About Coronavirus",,
"","",,
"","",,
"Wantah wenten asiki sane patut irage uningin indik sapunapi virus Corona","",,
"NGLIMBAK","",,
"Cangkem","",,
"Irung","",,
"Penyingakan","",,
"ngeranjing ke tengah ","",,
"Anak sane seger","",,
"Anak sane sungkan","",,
"Virus pacang nglimbak yening ketelan paes puniki","",,
"Nyaga jarak.  Irage pacang aman saking ketelan paes yening nyaga jarak 2m.","",,
"1","",,
"2m-0,5m","",,
"Haaachii!!","",,
"Dadosne, yening manggihin anak kokoan/mebangkes/ sungkan, irage patut: ","",,
"Icen ipun masker. Dadosne ipun praside mebangkes/kokoan ring maskerne mangda ngelindungin anak sane wenten ring sampingnyane.","",,
"2","",,
"Matur suksma “SROOT” ","",,
"Utawi,","",,
"Minab ipun nenten sungkan. Ipun Wantah ngalindungin dewekne.","",,
"Sane sampun keni tular minab nenten nyinahang cirin-cirine, sekawale tetep praside nularang penyakitne.","",,
"Sampun ketah, pinih becik ejohin keramaian, seantukan irage nenten uning sire sane sungkan.","",,
"Pengajengan","",,
"Gegamelan kereta ","",,
"Tombol lift","",,
"Tisu","",,
"gelas","",,
"Piranti digital","",,
"Yadiapin, ring sisin masker","",,
"Gegamelan undag","",,
"Maus","",,
"Pulpen ","",,
"Gagang jelanan ","",,
"Liman ipune","",,
"Diastun punika, paes anake sane sungkan pacang neket ring …..","",,
"Ide dane sami janten sareng sungkan.","",,
"utawi prerai semetone sane nampek","",,
"Ngucek penyingakan","",,
"Yening irage nenten uning tur ngusud barang-barang punika, raris ngusud preraine,","",,
"permargi asiki sane pinih becik antuk ngilangang virus wantah ngumbah nganggen sabun, pemutih, utawi alkohol.","",,
"Virus praside tetep hidup ngantos 24 jam ring permukaan barang,","",,
"Sabun","",,
"pemargi nyegah grubug puniki.","",,
"Nike mawinan, pinih becik nyarengin","",,
"Umbah nganggen sabun ngantos iriki.","",,
"Siku tangan","",,
"Sampunang ngusud prarai (utawi prarai anak lianan). Yening wyakti kapatutang, wajikin dumun tangane kantos resik nganggen sabun.","",,
"Sekadi nembangang “Selamat Ulang Tahun”  ping kalih","",,
"Ring beten kuku","",,
"Sawatara 20 detik","",,
"Ring sela-sela jarine","",,
"Umbah tundun tangane","",,
"Punapi carane ngumbah tangan mangde ngantos kedas ?","",,
"Yening sampun ngusud, sampunang sangsaya. Gelisin umbah tangane nganggen sabun.","",,
"Sampunang ngusud sisin masker.","",,
"Ketelan paes","",,
"Bakteri praside pacang manak pinak ring tengah masker yening sampun suwe keanggen.","",,
"Rarisang kutang masker druene yening sampun menyi.","",,
"Anggen sendok jukut","",,
"Pianak","",,
"Bapa","",,
"Meme","",,
"Anggen handuk soang-soang ","",,
"Sampunang  mepatung sareng-sareng ngajeng, nganggen peralatan ngajeng, gelas, lan handuk.","",,
"Irage nenten preside ngusud prarai nganggen siku druwene, tegarang. ","",,
"Sebisan-bisan, ampakan utawi ubetang jelananne ngangge siku utawi bahu.","",,
"Ring jumahan","",,
"Serauhe saking lelunganan ","",,
"Sedurunge ngajeng","",,
"Setata ngumbah tangan ngangge sabun ….","",,
"Pinih untad,","",,
"sabun","",,
"Ngiring jaga keresikan! ","",,
"Wacen pitutur lianan saking artikel ring ungkur!","",,
""This animation shows how far your sneeze can actually travel" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)","",,
""The Wuhan Virus: How to stay safe", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)","",,
""How to avoid the coronavirus? Wash your hands", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)","",,
"Sumber utama gatra medis:","",,
