source,translated,question,answer
"A Experiencia de Uma Familia com COVID-19 em Casa","A Family’s Experience with COVID-19 at Home",,
"","",,
"","Easily understood and accurate guidance for families and communities who must care for COVID-19 patients at home without medical help.",,
"","Illustrated by Mark Marcuson, © 2021 SIL International. CC BY-NC 4.0.",,
"","translated by Joy Eastridge and Luciane Giampietro",,
"","Adapted with permission from COVID-19 Home Based Care: How to do it best for the patient and the family, 2020, Difaem - German Institute for Medical Mission, www.difaem.          This resource has been developed using reputable public health sources for educational purposes only. It is not a substitute for professional medical advice. For questions or concerns about any topic described here, please consult a health professional. ",,
"Anita e sua família moram em uma cidade pequena. Ela trabalha como professora. A escola está fechada por causa do vírus COVID-19.","Anita and her family live in a small town. She loves her job as teacher but the school is closed because of the COVID-19 virus.",,
"Em casa, Anita escuta programas de radio e tem aprendido muito sobre o vírus e o que fazer para que o vírus não se espalhe.","At home, Anita has listened to radio programs and has learned a lot about the virus and how to keep it from spreading.",,
"Com as informações que ela tem aprendido, Anita ajuda seus vizinhos a se manterem com saúde, e não pegarem o vírus.","With all that she has learned Anita helps to teach her community how to keep themselves safe from the virus.",,
"Mesmo que ela corra algum risco pessoal em se encontrar com outros, ela sabe que é importante para todos saberem como evitar pegar o vírus. Ela ensina os vizinhos: “Nós temos que lavar as mãos com frequência.”"," Even though going out and talking with lots of people increases her risk of getting the virus, she knows that it’s important for everyone to know how to prevent the virus from spreading. She teaches her neighbors, “We must be careful to wash our hands often".",,
"Ela também explica: “Nós temos que usar máscaras quando sairmos de casa e frequentarmos lugares com pessoas que não são da nossa casa e família”.","Then she explains, “We need to wear masks when we  leave our homes or when we are with people who do not live in the same house as us".",,
"“Nós também temos que ter cuidado em não ficarmos muito tempo com pessoas que não moram com a gente”.",""We also must try to avoid spending lots of time with people outside of our own household".",,
"“Devemos ficar a uma distância de dois metros de outras pessoas quando conversamos com os vizinhos, e também quando estamos fazendo compras”.",""Also, we need to keep two meters away from other people when we shop, work or talk to neighbors".",,
"“Essas precauções ajudarão a parar o vírus de se propagar de uma pessoa para outra”. ",""Doing these things will help to stop the virus from spreading from person to person”.",,
"Um dia, Anita não esta se sentindo bem. Ela tem uma tremenda dor de cabeça, febre, e começa a tossir muito. Ela também nota que perdeu o senso de cheiro e gosto. Ela sabe que está doente com COVID-19.","One day, Anita doesn’t feel well. She has a bad headache, a fever, and has begun to cough. Also, she notices that she cannot taste or smell her food. Anita realizes that she has Covid-19. ",,
"Imediatamente, ela chama a família e explica a situação: “Nós todos precisamos ficar em casa e longe de outras pessoas. Vocês também podem ter o vírus apesar de não estarem passando mal agora. Vocês podem passar o vírus para outras pessoas, mesmo sem terem sintomas”.","Right away she tells her family and says, “We all need to stay home and keep away from others. You might have the virus, too, even though you do not feel sick. You could easily spread the virus to others.”",,
"Anita fica sozinha num quarto separado, longe do resto da família. Ela não quer que eles também fiquem doentes.","Then Anita goes and stays alone in a separate room, away from the family. She does not want to give them the sickness.",,
"O marido da Anita, Davi, toma conta dela. Ele traz comida para ela e separa os pratos e talheres dela, para que não corra risco de causar infecção para o resto da família.","Anita’s husband, David, takes care of her. He brings her food and takes away the empty dishes. He keeps her dishes separate and only Anita uses them.",,
"Davi sempre usa uma máscara quando ele entra no quarto dela. Ele lava as mãos todas as vezes que ele traz qualquer coisa para ela. Anita também usa uma máscara quando ele entra no quarto.","David always wears a mask whenever he goes into her room. He also washes his hands every time he does anything for her. Anita also wears a mask when he comes into the room.",,
"A casa só tem um banheiro. Quando Anita usa o banheiro, ela sempre usa uma máscara.","The family shares one bathroom. So whenever Anita uses it, she always wears a mask. ",,
"Quando ela termina, ela limpa tudo com disinfetante para proteger a familia.","When she is done, she wipes down the bathroom with a disinfectant solution before going back to her room.",,
"Depois de alguns dias, Marcos, o filho de oito anos, começa a passar mal. A mãe de Anita, também fica doente com febre. Os três ficam no mesmo quarto para tentar proteger o resto da família.    O marido da Anita continua bem, traz comida e ajuda os que estão doentes.      O quarto onde Anita, o filho e a mãe dela estão é pequeno.","After a couple of days, Marcos, Anita’s 8 year old son, starts feeling bad too. Then her mother, who lives with them, develops a fever. They both move into the same room with Anita to try to keep the rest of the family safe.  Anita’s husband continues to be the only one in the family who brings food and cares for the three sick family members.  The room where Anita, her mother, and Marcos stay is small and crowded.",,
"O quarto é pequeno, mas tem uma porta que dá para o quintal. Davi faz um lugar lá fora onde os três que estão doentes podem se sentar, descansar e aproveitar o ar fresco.","Happily, it has a door to the outside. David sets up a place outside the door where the three sick family members can rest and enjoy the fresh air.",,
"As filhas do Davi e da Anita cozinham e lavam as roupas para ajudar.","Anita and David’s daughters cook and do the laundry to help out.",,
