source,translated,question,answer
"Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu","",,
"","",,
"","",,
"","Ilustraciones:  Claudia Rugamas  Traducido por: Lambayeque OT translation Team  La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020 Imágenes por Claudia Rugamas, © 2020 Claudia Rugamas.",,
"","OT Translation Team ",,
"","Ilustraciones: Claudia Rugamas ﻿Traducción: Lambayeque OT translation Team",,
"Jabonwan makiykitaqa qashan qashan paqakuy. Manaqa alcohol gelwan makiykitaqa kupay.","Lávese varias veces las manos con jabón y agua. O frótese las manos con gel en base a alcohol.",,
"Manaraq makiykita paqarqa, nawiykita, sinqaykita, shimiykitapis ama aypaychu.","No se toque los ojos, la nariz y la boca.",,
"Qusukunar manaqa aqchikunarqa, sinqaykiwan shimiykita rikraykiwan arkay. ","Al toser o estornudar, tápese la boca y la nariz con el brazo. O tápese con un pañuelo descartable. Una vez usado, deséchelo.",,
"Wakinkunamanqa ama qimikarchu ishkay metrokaqllapi kay. Yanqallaqa ama uklawkunataqa riychu. Achka runakunamantaqa karukaqllapi kay.","No se acerque a otros y mantenga dos metros de distancia. Si no tiene necesidad, no vaya a otros lugares. Manténgase lejos de grupos grandes de personas.",,
"Qishaq yupay karqa, wasiykipi samay. Rupawan kar, qusukuyar manaqa amayniykita mana lluqshichiyta puytiyarqa, dasla postaman riy.","Al sentirse enfermo, quédese en casa. Si tiene fiebre, tose o no puede respirar bien, vaya rápido a la posta.",,
"COVID-19 shutiq qishaypaq  yaĉhakuy. Ministerio de salud willashushanta uyakuy.","Infórmese sobre las últimas noticias sobre el COVID-19.  Busque información confiable. Obedezca los consejos del Ministerio de salud.",,
"Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu    Imanutaq COVID-19 shutiq qishayqa mana aypamashunchu      Jabonwan makiykitaqa qashan qashan paqakuy. Manaqa alcohol gelwan makiykitaqa kupay. Manaraq makiykita paqarqa, nawiykita, sinqaykita, shimiykitapis ama aypaychu. Qusukunar manaqa aqchikunarqa, sinqaykiwan shimiykita rikraykiwan arkay.  Wakinkunamanqa ama qimikarchu ishkay metrokaqllapi kay. Yanqallaqa ama uklawkunataqa riychu. Achka runakunamantaqa karukaqllapi kay. Qishaq yupay karqa, wasiykipi samay. Rupawan kar, qusukuyar manaqa amayniykita mana lluqshichiyta puytiyarqa, dasla postaman riy. COVID-19 shutiq qishaypaq  yaĉhakuy. Ministerio de salud willashushanta uyakuy.  ","     Ilustraciones:  Claudia Rugamas  Traducido por: Lambayeque OT translation Team  La información se tomó de los sitios web﻿de la Organización Mundial de la Salud (OMS), como:﻿https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Versión 27.3.2020 Imágenes por Claudia Rugamas, © 2020 Claudia Rugamas. OT Translation Team  Ilustraciones: Claudia Rugamas ﻿Traducción: Lambayeque OT translation Team   Lávese varias veces las manos con jabón y agua. O frótese las manos con gel en base a alcohol. No se toque los ojos, la nariz y la boca. Al toser o estornudar, tápese la boca y la nariz con el brazo. O tápese con un pañuelo descartable. Una vez usado, deséchelo. No se acerque a otros y mantenga dos metros de distancia. Si no tiene necesidad, no vaya a otros lugares. Manténgase lejos de grupos grandes de personas. Al sentirse enfermo, quédese en casa. Si tiene fiebre, tose o no puede respirar bien, vaya rápido a la posta. Infórmese sobre las últimas noticias sobre el COVID-19.  Busque información confiable. Obedezca los consejos del Ministerio de salud.  ",,
